en_first_half,en_second_half,en_word_count,en_results_raw
"“I think I’m all set here,” he says, and lol of course he isn’t going","to kiss me. “But if I forgot anything, you can have Jake come pick it up.”",31,"to admit it, but I can tell by the way he's fidgeting with his backpack straps that he's still got a few things on his mind. He looks around the small apartment, taking in the familiar sights of the worn couch and the faded poster on the wall, and for a moment I think I see a flicker of uncertainty in his eyes. But then his face sets in a determined expression, and he gives me a nod. ""Yeah, I'm good,"" he says again, this time with a bit more conviction. I raise an eyebrow, but I don't push the issue. We've been over this a million times already, and I know he's made up his mind. Still, I can't help but feel a twinge of worry as I watch him sling his backpack over his shoulder and head for the door."
"Jake: younger brother to West (and only slightly less good-looking) and that type of college friend who knows everything about my life at UCLA but has never met my father, who lives only an hour away.","Jake introduced me to West; now Jake will be my sole remaining connection to West. The thought makes me a little sad, but then I remember I have the couch and T-virus zombies waiting for me inside.",73,"He's the kind of friend who knows my favorite coffee order, my go-to karaoke song, and the intricacies of my on-again, off-again relationship with Rachel, but has never set foot in my childhood home or met the man who taught me how to ride a bike and throw a baseball. It's a strange dynamic, but one that I've grown accustomed to over the years. Despite the distance between our families, Jake and I have formed a bond that transcends geographical boundaries, one that is rooted in late-night conversations, silly jokes, and a deep affection for each other's company. As we sit on the couch, swapping stories and sharing laughs, I'm reminded of the countless memories we've created together, and I'm grateful for the presence of this pseudo-brother in my life."
"“You, too.” West smiles that eye-crinkling smile again, and","damn, I really wish I’d seen it more. “Bye, Anna.”",19,"he leans in, his voice taking on a conspiratorial tone as he says, ""I think we're going to get along just fine, you and I."" His words are laced with a hint of mischief, and I find myself wondering what exactly he has in mind, but before I can ask, he's already turning to lead me out of the room, his long strides forcing me to hurry to keep up with him."
"I feel her attention move from the empty apartment to the side of my face, and when I smile","over at her, her blue eyes are round with worry. “Holy shit, Anna, I had no idea. Are you okay?”",39,"she smiles back, and for a moment, the emptiness of the apartment is filled with the warmth of our shared amusement. Her eyes sparkle with curiosity, and I can sense her wondering what I'm thinking, what I'm feeling in this moment. I take a deep breath, and my gaze drifts back to the empty space, my mind wandering to the memories we've yet to create within these walls. The silence between us is comfortable, a testament to the ease with which we've settled into each other's presence. As I turn back to her, I notice the way the fading light dances across her features, casting a soft glow on her skin, and I feel my heart swell with affection. The apartment may be empty, but with her by my side, it feels full of possibility."
"“That is wonderful news, sweetheart! Oh, I’m so thrilled! Why don’t you fly down to John Wayne the night","before, stay at the house, and we’ll all take the plane over together? The flight to Singapore is a bear.”",39,"before your birthday and we can celebrate together. I'll pick you up from the airport and we can head straight to the beach house. We can spend the weekend relaxing and catching up. I've missed you so much, and I just can't wait to see you and give you a big hug. We'll have to plan a special birthday dinner at that new restaurant you've been wanting to try. And of course, we'll have to make some time for shopping and maybe even a spa day. I just know it's going to be the best birthday ever! I love you, sweetie, and I'm so proud of you. You deserve all the happiness in the world."
"“Anna?” he says, like he’s not entirely sure, and then does a full top-to-bottom sweep of my body, which recalls the lack of pants.","When he digs his hand into his luscious head of hair, I forget to be embarrassed again, because it all comes back to me.",48,"His eyes widen slightly as he takes in my bare legs, and for a moment, we just stare at each other, the air thick with unspoken thoughts. I can feel my face heat up, and I'm torn between covering myself and standing my ground. He clears his throat, breaking the spell, and takes a step back, his eyes darting around the room as if searching for an escape or a distraction. ""I, uh, I didn't mean to intrude,"" he says, his voice low and rough, and I can tell he's trying to sound casual, but his eyes keep drifting back to me. I take a deep breath and try to play it cool, but my heart is racing, and I can feel my pulse pounding in my veins. ""It's okay,"" I say, trying to sound nonchalant, ""I was just... um... getting ready for bed."" I gesture vaguely towards the bed, hoping he'll buy it, but he raises an eyebrow, clearly skeptical."
The expression he makes is like the meme of that one kid who smiles and then immediately bursts into tears.,West is staring at me like he’s doomed but must pretend to be happy about it. “Anna. You look… great?”,40,"His face contorts in a mix of emotions, as if he's trying to hold back laughter, but his eyes betray him, welling up with tears that threaten to spill over at any moment, making everyone around him feel a pang of awkwardness and sympathy."
"Stepping aside, I let him pass, and he pulls up short at what’s on the television screen. Conan is",enthusiastically fucking a witch in a cave. We both clear our throats and look up at the ceiling instead.,38,"on, and the show is in the middle of a heated debate about the latest celebrity scandal. The guest, a well-known actress, is defending her recent actions, and the audience is divided in their opinions. My roommate's eyes are glued to the screen, and he's completely absorbed in the drama unfolding before him. I take the opportunity to grab a snack from the kitchen, trying not to disturb him as he watches the show with rapt attention. As I munch on a handful of chips, I can hear the actress's voice rising in indignation, and the audience's murmurs of agreement or disagreement. It's clear that this is a topic that's got everyone talking, and my roommate is no exception. He's always been a fan of celebrity gossip, and I'm not surprised to see him so engrossed in the show. I shake my head good-naturedly, smiling to myself as I head back to my room to let him have his moment of guilty pleasure."
"He adjusts his posture on the sofa, turning slightly to face me. Oh, right. He came here to","ask me for help. I sit up, too, tucking a loose strand of hair behind my ear. Focus, Anna.",37,"talk to me about something, I remember now. His eyes lock onto mine, and I can sense a mix of emotions swirling beneath the surface. He takes a deep breath, and I can tell he's choosing his words carefully, trying to find the right way to express whatever it is that's been weighing on his mind. The air in the room seems to thicken, heavy with anticipation, as I wait for him to begin. His voice is low and measured when he finally speaks, and I lean forward, my heart beating just a little bit faster, as I prepare to listen to what he has to say."
"“I knew what Jake ordered for lunch and what kinds of stupid movies would make him laugh, and I could predict all his pickup lines","at parties, but we didn’t ever, like, sit down and do backstory. He didn’t even mention he had a brother until he suggested I marry you.”",51,"by heart. But I had no idea what he was thinking when he stared out the window, his eyes squinting against the sun, his jaw clenched in a way that made me want to reach out and smooth the tension away. I didn't know what he dreamed about at night, or what his biggest fears were, or what he wanted to be when he grew up. And I certainly didn't know what he was thinking when he looked at me, his eyes locking onto mine with an intensity that made my heart skip a beat. I thought I knew Jake, but the more I looked at him, the more I realized how little I actually knew. And that realization was both exhilarating and terrifying."
"“I definitely need to go back to the beginning,” I say, wiping my eyes. I mime an explosion at my temples. “Like—my mind is blown right now. You dressed like a middle schooler around the house. All basketball shorts, all the time. You drove a Honda! West, you’re incognito rich!","No wonder Jake never told me anything about his family! I would have made him pay for Jersey Mike’s every fucking time! Wait. Why did you need to live on campus? If you’re the grandson of the founder of Weston’s, you could probably buy an entire apartment building on Sunset.”",100,"I stare at him, trying to reconcile the image of the laid-back, casual guy I thought I knew with the reality of his wealth. West chuckles and shrugs, seeming to enjoy my shock. ""I like to keep a low profile,"" he says with a grin. ""I don't need everyone knowing my business. Plus, it's just more comfortable this way."" I shake my head, still trying to wrap my mind around this new information. ""I had no idea,"" I repeat, feeling a little silly for not picking up on the clues sooner. West laughs and takes a step closer to me. ""That's what I like about you,"" he says, his voice low and smooth. ""You don't care about any of that stuff. You like me for who I am, not for my bank account."" I look up at him, feeling a flutter in my chest. Is that really true? Do I like him for who he is, or am I just caught up in the excitement of it all? I push the thought aside, not wanting to ruin the moment. ""So, what's the plan now?"" I ask, trying to sound casual. West smiles and holds out his hand. ""Now, we go on a real date. No more hiding, no more secrets. Just us, out in the open."" I take his hand, feeling a spark of electricity as our palms touch. I have a feeling that this is just the beginning of a wild ride."
"That lands in a puddle of silence, and it hits me after a couple of seconds filled only",with the sound of Conan kicking someone’s ass on TV that West expects me to catch his meaning.,36,"with the sound of raindrops hitting the pavement, that I've been standing here for what feels like an eternity, frozen in a moment that refuses to move forward. The world around me seems to be holding its breath, waiting for something to shatter the stillness, but I'm not sure what that something is or when it will come. The silence is oppressive, a heavy blanket that's suffocating me, making it hard to breathe. I try to take a step forward, but my feet feel rooted to the spot, unable to move, unable to escape the weight of this moment. And then, just as suddenly as it started, the silence is broken by the sound of a car driving by, its tires splashing through the puddles on the road, and the world comes back to life, leaving me feeling shaken and disoriented."
“Correct.” He looks down to his lap. “Only Jake knew the real situation. The rest of my family was disappointed that,"I didn’t let them throw me a big wedding, but I guess they weren’t all that surprised. I’ve always been private.”",42,"they couldn't understand why I had to leave so suddenly. My mom kept asking me if everything was okay, but I just shook my head and told her I needed some time to think. My dad, on the other hand, was furious. He thought I was being irresponsible and that I was throwing away my future. My siblings just looked at me with confusion and concern, not knowing what to make of the situation. But Jake, he just nodded and said he understood. He was the only one who knew the truth, and I was grateful to have him by my side. I remember the look on his face, a mix of sadness and determination, as he promised to help me through this difficult time. Little did I know, that was only the beginning of a long and challenging journey."
"He looks me over again, top to bottom, and the defeat in his eyes makes me realize the true extent of my unshowered, feral chaos. “Actually,","Anna,” he says, “I need you to come with me to my sister’s wedding in Indonesia and convincingly play the part of my very loving wife.”",52,"“I think I'll just take your word for it,” he says, a small, wry smile playing on his lips. He steps back, his eyes never leaving mine, and I feel a strange sense of disappointment wash over me. I'm not sure what I was expecting - for him to magically see past the grime and the tangles and the general air of dishevelment, maybe, and declare me a radiant beauty beneath? - but it wasn't this. This feeling of being seen, truly seen, and found wanting. He turns to leave, and I feel a pang of panic. “Wait,” I say, my voice barely above a whisper. He turns back, his eyebrows raised in inquiry. “Can I...can I ask you something?” I take a deep breath, the words tumbling out in a rush. “How did you end up here? I mean, in this place, at this time? You don't exactly...blend in.” He raises an eyebrow, a hint of amusement dancing in his eyes. “And you do?” he asks, his voice low and smooth. I feel a flush rise to my cheeks, but I press on. “I mean, you're...you're not like the others. You're not...broken.” His expression changes, the amusement fading into something else. Something almost like sadness. “I'm not unbroken, either,” he says, his voice barely above a whisper. “I'm just...different. And I think, maybe, that's what you are too.”"
