en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"Peter said this felt like an invitation. Laughed, almost self-deprecatingly,","as he added, “I’d never believed in fate before that.”","he shook his head and continued, ""I mean, who wouldn't",20,"he shook his head and continued, ""I mean, who wouldn't want to spend their Saturday afternoon in a dusty, old antique shop?"" The store's owner, an elderly woman with a kind smile, chuckled and replied, ""Well, I suppose it's not for everyone, but I'm glad you're here. I think I might have just the thing for you."" She disappeared into the back room, leaving Peter to wander the narrow aisles, running his fingers over the intricate carvings on an old wooden chest and the delicate patterns on a set of antique china. The air was thick with the scent of old books and stale air, but Peter felt a sense of excitement, of possibility, as he waited for the owner to return."
"My hat landed atop a pile of discarded lo mein, the lip of the can smashed into","my rib cage, and I did a wheezing pratfall into the grass. Peter described this as “adorably clumsy.”","the soggy noodles, a sad and limp mess that seemed to mirror my own defeated state. I let out a deep sigh,",35,"the soggy noodles, a sad and limp mess that seemed to mirror my own defeated state. I let out a deep sigh, the sound echoing through the deserted alleyway as I trudged forward, my eyes scanning the ground for any sign of my lost dignity. The flickering streetlights above cast long shadows, making it seem as though the very darkness itself was closing in around me. I kicked at a stray pebble, sending it skittering across the cracked pavement, and wondered how things had come to this. One minute I was walking home from the restaurant, enjoying the cool night air and the promise of a good meal, and the next I was standing amidst a trash-filled alley, my hat askew and my stomach growling with hunger. It was as though the universe had decided to play a cruel joke on me, and I was the unwitting punchline."
“I fell in love with Daphne the moment I looked up from,"her hat,” he’d say, no mention of the trash-noodles in my hair.","my book and saw her standing in the doorway, her bright blue eyes",24,"my book and saw her standing in the doorway, her bright blue eyes sparkling with amusement as she watched me trip over my own feet. It was a clumsy, awkward moment, but there was something about the way she laughed, a throaty, husky sound that sent shivers down my spine, that made me feel like I was home. I stumbled to my feet, my face burning with embarrassment, but she just smiled and walked towards me, her long, curly brown hair bouncing with each step. We collided, quite literally, and I felt a jolt of electricity as our hands touched, a spark of connection that I couldn't ignore. And that was it, I was hooked. I knew, in that moment, that I would do anything to make her mine."
"Over the last three years, Peter dusted off Our Story every chance he got.",I was sure he’d work it into both our vows and his wedding reception speech.,"He would often sit in his favorite armchair, surrounded by the familiar comforts",29,"He would often sit in his favorite armchair, surrounded by the familiar comforts of his study, and let the memories wash over him as he delicately turned the pages of the worn, leather-bound book. The words within, penned by his own hand, told the tale of his life with Emily, from the moment they first met to the day she left this world behind. As he read, the lines on his face would soften, and a warm, gentle smile would spread across his lips, as if the love they shared was still alive, still vibrant, still pulsing through his very being. The memories, though bittersweet, brought him solace, reminding him of the beauty and joy that life had to offer, even in its darkest moments. And so, he would sit, lost in the past, yet finding comfort in the love that would forever be etched in his heart."
“Could you just turn it down?” I say. “All the plates are rattling,in the cabinets and Mr. Dorner’s trying to bust down the living room wall.”,"and the glasses are clinking against each other. My mom looks up from her book,",27,"and the glasses are clinking against each other. My mom looks up from her book, a mixture of annoyance and concern on her face. ""What's wrong, sweetie?"" she asks, but I just shake my head and point to the stereo. My dad, engrossed in his favorite album, doesn't seem to notice the commotion he's causing. I walk over to the stereo and turn the volume down myself, the sudden silence a welcome relief. My dad looks up, startled, and smiles sheepishly. ""Sorry, kiddo,"" he says, ""I got a bit carried away."" I roll my eyes good-naturedly and head back to my room, the sound of my dad's music still echoing in my mind, albeit at a much more reasonable decibel."
"Petra is also a stoner without a college degree, but I guess it’s different when you’re a perfect",ten with a picturesque family and well-padded bank account. Then you’re not a stoner; you’re a free spirit.,"ten and have a trust fund to fall back on. I mean, Petra's parents are loaded, and she's always talking about",36,"ten and have a trust fund to fall back on. I mean, Petra's parents are loaded, and she's always talking about how she's going to start her own business or travel the world, but so far, she's just been working at the same coffee shop for years. I'm not judging her, though - she's happy, and that's all that matters, right? But sometimes I feel like we're just living in different worlds, you know? She's got this carefree spirit that I can only dream of, while I'm over here stressing about student loans and job applications. Still, I love her to death, and I'm always down to grab a drink or see a movie with her, even if we don't always see eye to eye."
"When I jolted awake at the click of the front door, it was full","bright in the living room, so I could see Peter’s surprise at finding me there.","dark outside, the moon hidden behind a veil of thick clouds, and the silence was",29,"dark outside, the moon hidden behind a veil of thick clouds, and the silence was oppressive, punctuated only by the sound of my own ragged breathing. I lay there, frozen, as the creaks and groans of the old house seemed to take on a sinister tone, my mind racing with worst-case scenarios. The clock on my nightstand read 2:47 AM, and I knew I had to get out of bed to investigate, but my body felt heavy, as if rooted to the mattress. Slowly, I threw off the covers and swung my legs over the side of the bed, my feet dangling in the cold air. I fumbled for the bedside lamp, but my hand hesitated, unsure if I really wanted to see what was out there. The darkness seemed to be watching me, waiting for me to make a move, and I felt a shiver run down my spine as I finally turned on the light, casting a warm glow over the room."
"“No!” he said. “I mean, it wasn’t like that. We’re . . . She told me she’s in","love with me, Daphne. And I realized I am too. In love. With her. Fuck, I’m so sorry.”","a relationship, but it’s not serious. She said they’re just having fun, and she’s not looking",36,"a relationship, but it’s not serious. She said they’re just having fun, and she’s not looking for anything long-term. I believed her, I really did. But then I saw them together, and it was like a punch to the gut. They were laughing and smiling, and it looked so real. I felt like I was the only one who didn’t know what was going on. I tried to brush it off, to tell myself that I was just being paranoid, but I couldn’t shake the feeling that I was being lied to. And then, to make matters worse, she had the nerve to tell me that I was overreacting, that I was being possessive and controlling. Like I was the one who was crazy. It was infuriating, and it made me realize that I didn’t know her as well as I thought I did."
"“Are you fucking kidding me, Peter?” I jumped up. I didn’t",feel hurt then. That would come later. First it was all rage.,"mean to shout, but my voice echoed through the small apartment,",23,"mean to shout, but my voice echoed through the small apartment, and I could feel my face burning with anger. Peter, who had been sitting calmly on the couch, now looked up at me with a mixture of surprise and amusement, his eyes crinkling at the corners as he raised an eyebrow. ""What's wrong, Emily?"" he asked, his voice low and even, but I could detect a hint of a smirk lurking beneath the surface. I took a deep breath, trying to calm myself down, but my mind was racing with the implications of what he had just told me. ""You can't be serious,"" I said, trying to keep my tone even, but it came out shaking with rage. ""You're actually considering this?"""
"“Of course she fucking meant for this to happen, Peter! She had twenty-five",years to tell you she was in love with you and chose last night!”,"years to plan this, to manipulate everyone around her, to make sure",27,"years to plan this, to manipulate everyone around her, to make sure that she would be the one standing when the dust settled. And now, with her eyes fixed on you, she's waiting for you to make your move, to see if you'll fall into her trap or if you'll find a way to outsmart her. The air is thick with tension as you try to read her expression, to decipher the secrets hidden behind her smile. But one thing is certain: this is a game of cat and mouse, and only one of you will emerge victorious."
