en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"“I think I’m all set here,” he says, and lol of course he isn’t going","to kiss me. “But if I forgot anything, you can have Jake come pick it up.”","to admit it, but I can tell by the way he's fidgeting with his backpack straps",31,"to admit it, but I can tell by the way he's fidgeting with his backpack straps that he's still got a few things on his mind. He looks around the small apartment, taking in the familiar sights of the worn couch and the faded poster on the wall, and for a moment I think I see a flicker of uncertainty in his eyes. But then his face sets in a determined expression, and he gives me a nod. ""Yeah, I'm good,"" he says again, this time with a bit more conviction. I raise an eyebrow, but I don't push the issue. We've been over this a million times already, and I know he's made up his mind. Still, I can't help but feel a twinge of worry as I watch him sling his backpack over his shoulder and head for the door."
"Jake: younger brother to West (and only slightly less good-looking) and that type of college friend who knows everything about my life at UCLA but has never met my father, who lives only an hour away.","Jake introduced me to West; now Jake will be my sole remaining connection to West. The thought makes me a little sad, but then I remember I have the couch and T-virus zombies waiting for me inside.","He's the kind of friend who knows my favorite coffee order, my go-to karaoke song, and the intricacies of my on-again, off-again relationship with Rachel, but has never set foot in my childhood home",73,"He's the kind of friend who knows my favorite coffee order, my go-to karaoke song, and the intricacies of my on-again, off-again relationship with Rachel, but has never set foot in my childhood home or met the man who taught me how to ride a bike and throw a baseball. It's a strange dynamic, but one that I've grown accustomed to over the years. Despite the distance between our families, Jake and I have formed a bond that transcends geographical boundaries, one that is rooted in late-night conversations, silly jokes, and a deep affection for each other's company. As we sit on the couch, swapping stories and sharing laughs, I'm reminded of the countless memories we've created together, and I'm grateful for the presence of this pseudo-brother in my life."
"“You, too.” West smiles that eye-crinkling smile again, and","damn, I really wish I’d seen it more. “Bye, Anna.”","he leans in, his voice taking on a conspiratorial tone",19,"he leans in, his voice taking on a conspiratorial tone as he says, ""I think we're going to get along just fine, you and I."" His words are laced with a hint of mischief, and I find myself wondering what exactly he has in mind, but before I can ask, he's already turning to lead me out of the room, his long strides forcing me to hurry to keep up with him."
"I feel her attention move from the empty apartment to the side of my face, and when I smile","over at her, her blue eyes are round with worry. “Holy shit, Anna, I had no idea. Are you okay?”","she smiles back, and for a moment, the emptiness of the apartment is filled with the warmth of our",39,"she smiles back, and for a moment, the emptiness of the apartment is filled with the warmth of our shared amusement. Her eyes sparkle, and I can sense her curiosity, her desire to know what I'm thinking, to understand the joke that's playing on my lips. I take a deep breath, and my smile widens, inviting her to share in the humor, to be a part of this moment, this connection that's forming between us. As we stand there, the silence is no longer awkward, but a comfortable pause, a moment of anticipation, a promise of something more to come."
"“That is wonderful news, sweetheart! Oh, I’m so thrilled! Why don’t you fly down to John Wayne the night","before, stay at the house, and we’ll all take the plane over together? The flight to Singapore is a bear.”",before your birthday and we can celebrate together? I can pick you up from the airport and we can head straight,39,"before your birthday and we can celebrate together? I can pick you up from the airport and we can head straight to the beach house. We can spend the weekend relaxing and catching up. I've missed you so much, and I just can't wait to see you and give you a big hug. I've got everything planned out, and I think you're going to love the surprise I have in store for you. We can take long walks on the beach, have picnics, and just enjoy each other's company. It'll be just like old times. I'll make all the arrangements, so all you have to do is show up and be ready for a wonderful time. I love you, sweetie, and I'm counting down the days until I see you again."
"“Anna?” he says, like he’s not entirely sure, and then does a full top-to-bottom sweep of my body, which recalls the lack of pants.","When he digs his hand into his luscious head of hair, I forget to be embarrassed again, because it all comes back to me.","His eyes linger on my legs for a moment before he looks away, clearing his throat, and I can feel my face heat up with embarrassment.",48,"His eyes linger on my legs for a moment before he looks away, clearing his throat, and I can feel my face heat up with embarrassment. I try to play it cool, like I'm not standing in front of him in my underwear, but it's hard when he's looking at me like that. ""Yeah, it's me,"" I say, trying to sound casual, but my voice comes out a little shaky. He takes a step closer, his eyes locked on mine, and I can feel the tension between us build. ""What are you doing here?"" I ask, trying to break the silence, but he just shrugs and looks around the room, taking in the scattered clothes and the open suitcase. ""I could ask you the same thing,"" he says, his voice low and husky, and I feel a shiver run down my spine."
The expression he makes is like the meme of that one kid who smiles and then immediately bursts into tears.,West is staring at me like he’s doomed but must pretend to be happy about it. “Anna. You look… great?”,"His face contorts in a mixture of emotions, as if he's trying to hold back a tidal wave of feelings, but",40,"His face contorts in a mixture of emotions, as if he's trying to hold back a tidal wave of feelings, but it's clear that he's on the verge of a breakdown. The resemblance to the meme is uncanny, and it's almost as if he's about to shout ""I'm not crying, I'm just allergic to feelings!"" The absurdity of the situation is not lost on me, and I find myself struggling to stifle a laugh, but at the same time, I feel a pang of sympathy for this person who's clearly struggling to keep it together. It's a delicate balance between humor and empathy, and I'm not sure which one will win out in the end."
"Stepping aside, I let him pass, and he pulls up short at what’s on the television screen. Conan is",enthusiastically fucking a witch in a cave. We both clear our throats and look up at the ceiling instead.,"on, and the show is in the middle of a heated debate about the latest celebrity scandal. The guest, a well-known",38,"on, and the show is in the middle of a heated debate about the latest celebrity scandal. The guest, a well-known actress, is defending her recent actions, and the audience is divided in their opinions. My roommate's eyes are glued to the screen, and he's completely absorbed in the drama unfolding before him. I take the opportunity to grab a snack from the kitchen, trying not to disturb him as he watches the show with rapt attention. As I munch on a handful of chips, I can hear the actress's voice rising in indignation, and the audience's murmurs of agreement or disagreement. It's clear that this is a topic that's got everyone talking, and my roommate is no exception. He's always been a fan of celebrity gossip, and I'm not surprised to see him so engrossed in the show. I shake my head good-naturedly, smiling to myself as I think about how predictable he can be sometimes."
"He adjusts his posture on the sofa, turning slightly to face me. Oh, right. He came here to","ask me for help. I sit up, too, tucking a loose strand of hair behind my ear. Focus, Anna.","talk to me about something, I recall, and I'm suddenly curious about what it could be. His",37,"talk to me about something, I recall, and I'm suddenly curious about what it could be. His eyes lock onto mine, and I sense a mix of determination and nervousness in his gaze. He takes a deep breath, and I can tell he's choosing his words carefully. ""I've been thinking a lot about us lately,"" he begins, his voice low and measured, ""and I wanted to discuss some things that have been on my mind."" I feel a flutter in my chest as I wonder what he's going to say next, my mind racing with possibilities. Is this about our relationship, or is it something entirely different? I lean forward slightly, my eyes fixed intently on his, as I wait for him to continue."
"“I knew what Jake ordered for lunch and what kinds of stupid movies would make him laugh, and I could predict all his pickup lines","at parties, but we didn’t ever, like, sit down and do backstory. He didn’t even mention he had a brother until he suggested I marry you.”","by heart. But despite all this, I couldn't help but feel like I was just going through the motions, pretending to be the perfect girlfriend.",51,"by heart. But despite all this, I couldn't help but feel like I was just going through the motions, pretending to be the perfect girlfriend. It was as if I had been playing a role for so long that I'd forgotten who I really was. I longed for something more, something that would shake me out of this monotony and make me feel truly alive. Little did I know, that something was just around the corner, waiting to turn my world upside down. It started with a chance encounter at a coffee shop, a brief conversation that left me feeling seen and heard in a way that Jake never had. And then, there was the stranger's smile, which lingered in my mind long after our parting words. It was the spark that ignited a fire within me, a flame that would burn brighter with each passing day, illuminating the emptiness of my relationship and guiding me towards a new path, one that was uncertain, yet exhilarating."
