en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"“I’m Adela,” she said. She had an eye patch and blond",hair the same color and texture as hay. “I’m the Vice Secretary.”,"was over her left eye, and a mischievous grin spread across her face",23,"was over her left eye, and a mischievous grin spread across her face as she extended a hand in greeting, her voice husky and confident."
“The Wellness team think their adjustment will be negatively impacted if they’re,"held on the wards any longer,” said Adela, dry as a filing system.","not able to maintain a healthy work-life balance, which is a major",25,"not able to maintain a healthy work-life balance, which is a major concern for many employees in today's fast-paced environment, where burnout and stress are increasingly prevalent, and the team's overall morale and productivity may suffer as a result, potentially leading to a decrease in job satisfaction and an increase in turnover rates, which could have long-term consequences for the organization's success and reputation."
"Graham Gore (Commander, Royal Navy; c.1809–c.1847) had been in the twenty-first century for five weeks, though, like the other expats, he’d been lucid for only a handful of those days. The extraction process had merited a fortnight of hospitalization. Two of the original seven expats had died because of it, and","only five remained. He’d been treated for pneumonia, for severe frostbite, for the early stages of scurvy, and two broken toes on which he had been blithely walking. Lacerations too, from a Taser—he’d shot at two of the team members who’d come to expatriate him, and a third was forced to fire.","their bodies had been returned to the twenty-first century, but the remaining five were still struggling to adapt to the vastly different environment. Graham's memories of his life in the past were hazy, but he vaguely recalled being a skilled naval officer, serving under the command of a seasoned",103,"their bodies had been returned to the twenty-first century, but the remaining five were still struggling to adapt to the vastly different environment. Graham's memories of his life in the past were hazy, but he vaguely recalled being a skilled naval officer, serving under the command of a seasoned admiral. The memories of his time in the twenty-first century were fragmented, but he remembered the sensation of being in a hospital bed, surrounded by beeping machines and sterile white walls. He tried to piece together the events that had led him to this strange new world, but his mind was a jumble of disjointed images and half-remembered conversations. The other expats seemed to be experiencing similar difficulties, and the group's leader, a woman named Sarah, had taken it upon herself to try and help them adjust to their new reality. She had been a historian, and her knowledge of the past seemed to be helping her navigate the complexities of this new world. Graham was grateful for her guidance, but he couldn't shake the feeling that there was something more to their situation than met the eye. As he lay in his bed, he couldn't help but wonder what other secrets lay hidden beneath the surface of this strange new world."
"The house that the Ministry had provided was a late-Victorian redbrick, originally designed for local workers. Gore would have seen them built, if he’d lived into","his eighties. As it was, he was thirty-seven years old and had not experienced crinolines, A Tale of Two Cities, or the enfranchisement of the working classes.","The late 19th century, but it had been converted into a government office building decades ago, its original charm and character somewhat lost in the process. The",53,"The late 19th century, but it had been converted into a government office building decades ago, its original charm and character somewhat lost in the process. The interior was a labyrinth of cramped corridors and drab, beige-colored offices, each one filled with rows of dusty filing cabinets and the faint scent of stale air. It was a far cry from the grand, sweeping architecture of the Ministry's central headquarters, but it served its purpose as a humble outpost for the local authorities. Gore, however, was not here to admire the décor. He had a mission to complete, and he was running out of time."
“Mm. Beside your elbow is a white box with a handle. It’s a refrigerator—a,"fridge, we call it. Could you open the door and take out the milk, please?”","contains a note that reads: ""Do not open until 3 PM today. The contents are",29,"contains a note that reads: ""Do not open until 3 PM today. The contents are perishable and require refrigeration at a precise temperature to maintain their potency and freshness."""
"Gore was already fully dressed and sitting on the edge of the bath, smoking. The bottom of the bath",had a low-tide mark of cigarette ash and soap scum. Two cigarettes were crushed out in the soap dish.,"was covered in a fine layer of soap suds, which he occasionally flicked off with his free hand, his eyes",38,"was covered in a fine layer of soap suds, which he occasionally flicked off with his free hand, his eyes fixed intently on the newspaper he held in the other, scanning the headlines with a mixture of amusement and concern, the water level having dropped significantly since he'd begun reading, the sound of the water still dripping into the tub the only sound in the otherwise quiet morning atmosphere."
"All this was to come. On that first morning, there was Gore chain-smoking and a bleeding water-supply line. The","toilet’s cistern lay on the floor, gleaming like a slain whale. A vile smell was seeping up from the floor.","was a faint hum of the air conditioning system, which seemed to be struggling to keep up with the sweltering",39,"was a faint hum of the air conditioning system, which seemed to be struggling to keep up with the sweltering heat of the summer, and the smell of freshly brewed coffee wafted through the air, mingling with the acrid scent of Gore's cigarette smoke, as he stood at the sink, staring blankly at the dripping faucet, his mind preoccupied with the impending doom that was to come."
"Gore was an officer from the dusk of the Age of Sail, not an engineer. I’m sure he knew plenty about ship’s rigging, but he’d probably never handled an instrument more technologically complex than a sextant. Men in their right minds are","not usually overcome with a mania for pulling the plumbing apart. I suggested he might like to wash his hands at the sink downstairs, and I could, perhaps, call a plumber, and we could, potentially, take a constitutional walk on the nearby heath.","not prone to romanticize the past, but there's something about the era that still captivates us, perhaps it's the sense of adventure, the thrill of the unknown, or the nostalgia for a time when the world seemed a much simpler place. Gore's fascination",85,"not prone to romanticize the past, but there's something about the era that still captivates us, perhaps it's the sense of adventure, the thrill of the unknown, or the nostalgia for a time when the world seemed a much simpler place. Gore's fascination with the old sailing ships was no exception, and as he stood on the deck, he couldn't help but feel a sense of awe at the intricate network of ropes, pulleys, and masts that seemed to stretch on forever. The salty sea air filled his lungs, and the cries of the gulls overhead only added to the sense of excitement that had been building inside him for weeks. He had always been drawn to the sea, and now, as he gazed out at the endless expanse of blue, he felt a sense of restlessness, a feeling that there was something out there waiting for him, something that only the sea could provide."
"The more I got to know him, the more I discovered Gore was the most entirely realized person I’d ever met. In his own time, he had liked hunting, sketching, flute playing (he was very good at this), and","the company of other people. Hunting was out of the question, and socializing was limited by order of the Ministry. By the end of the first week he was visibly going bonkers with no one but me to talk to.","reading widely, from Shakespeare to Dickens, and had even dabbled in writing his own poetry, which, though not always polished, showed a deep understanding of the human condition. His love for nature was evident",79,"reading widely, from Shakespeare to Dickens, and had even dabbled in writing his own poetry, which, though not always polished, showed a deep understanding of the human condition. His love for nature was evident in the way he spoke about the beauty of a sunrise or the tranquility of a forest glade, and his passion for music was contagious, often drawing others into the circle to join in a lively rendition of a folk tune. Despite his many talents, however, it was his kindness and empathy that truly set him apart, a quality that made everyone feel seen and heard in his presence, and which I found myself drawn to more and more as I got to know him better."
"Gore was internally displaced in this way. I could sometimes see him regarding the modern world as if through a telescope. He stood forever on the deck of a ship somewhere in the early 1800s. He must have done it even in his own era, coming down from the ports to note","with alarm that women were wearing their sleeves wide again, that some European country had declared war on another again, while he was months or years away at sea. He told me stories as if he were trying to catch himself in amber. Just like my mother, though I didn’t tell him that.","The intricacies of the human experience, the mannerisms of people, and the way they interacted with one another. He must have been a keen observer, always taking note of the minute details that often went unnoticed by others. His eyes would scan the crowds, taking in the vibrant colors",105,"The intricacies of the human experience, the mannerisms of people, and the way they interacted with one another. He must have been a keen observer, always taking note of the minute details that often went unnoticed by others. His eyes would scan the crowds, taking in the vibrant colors of the market stalls, the sounds of merchants hawking their wares, and the smells of exotic spices wafting through the air. He would see the beauty in the mundane, the poetry in the everyday, and the stories that lay hidden beneath the surface of the bustling streets. And yet, despite his fascination with the world around him, he remained detached, a man out of time, forever stuck in his own era, yet simultaneously observing the world with a sense of wonder and awe. His thoughts would often drift back to the sea, to the vast expanse of the ocean, and the endless possibilities that lay beyond the horizon. He would ponder the mysteries of the deep, the secrets that lay hidden beneath the waves, and the stories of the sailors who had braved the unknown. His mind would wander to the far-off lands he had visited, the strange customs he had encountered, and the people he had met along the way. And as he stood there, frozen in time, he would feel a sense of longing, a yearning for a world that was rapidly disappearing, a world that he could never truly be a part of. His gaze would linger on the people around him, the way they lived their lives, the way they interacted with one another, and the way they navigated the complexities of the modern world. He would see the good, the bad, and the ugly, and he would wonder what the future held for humanity, and whether the world would ever be able to reconcile its past, present, and future."
