en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"“I’m Adela,” she said. She had an eye patch and blond",hair the same color and texture as hay. “I’m the Vice Secretary.”,"over her left eye, a mischievous grin spreading across her face as",23,"over her left eye, a mischievous grin spreading across her face as she introduced herself to the group of strangers."
“The Wellness team think their adjustment will be negatively impacted if they’re,"held on the wards any longer,” said Adela, dry as a filing system.","not able to participate in the annual Wellness Week, which is a highly",25,"not able to participate in the annual Wellness Week, which is a highly anticipated event that brings together employees from all departments to engage in stress-reducing activities and team-building exercises."
"Graham Gore (Commander, Royal Navy; c.1809–c.1847) had been in the twenty-first century for five weeks, though, like the other expats, he’d been lucid for only a handful of those days. The extraction process had merited a fortnight of hospitalization. Two of the original seven expats had died because of it, and","only five remained. He’d been treated for pneumonia, for severe frostbite, for the early stages of scurvy, and two broken toes on which he had been blithely walking. Lacerations too, from a Taser—he’d shot at two of the team members who’d come to expatriate him, and a third was forced to fire.","been a third who'd suffered severe brain damage. The remaining four, including Gore, had been slowly regaining their faculties, but the memories of their past lives were hazy and fragmented. They'd been given a new identity, a new name, and a new purpose: to assist in the research of the time-travel",103,"been a third who'd suffered severe brain damage. The remaining four, including Gore, had been slowly regaining their faculties, but the memories of their past lives were hazy and fragmented. They'd been given a new identity, a new name, and a new purpose: to assist in the research of the time-travel technology that had brought them here. The scientists were eager to learn from their experiences, to understand the effects of temporal displacement on the human mind and body. Gore, being a seasoned naval officer, was tasked with leading the team, but he struggled to come to terms with his new reality. He'd been a man of discipline and routine, and the uncertainty of his new existence was unsettling. As he navigated the unfamiliar surroundings, he couldn't shake the feeling that he was losing his grip on his past, and that his memories were slipping away from him like sand between his fingers. The scientists, however, were optimistic, believing that with time and treatment, the expats would eventually adapt and thrive in their new lives. But for Gore, the thought of leaving behind everything he'd ever known was a daunting prospect, and he wondered if he'd ever find a way to reconcile his past and present selves."
"The house that the Ministry had provided was a late-Victorian redbrick, originally designed for local workers. Gore would have seen them built, if he’d lived into","his eighties. As it was, he was thirty-seven years old and had not experienced crinolines, A Tale of Two Cities, or the enfranchisement of the working classes.","the late 19th century, but it had been converted into a Ministry safe house in the 1950s. The interior was a labyrinth of narrow corridors and cramped rooms, each",53,"the late 19th century, but it had been converted into a Ministry safe house in the 1950s. The interior was a labyrinth of narrow corridors and cramped rooms, each one filled with an assortment of dusty files and outdated equipment. Gore had been assigned to the top floor, where a small, sparsely furnished room awaited him. The walls were painted a dull grey, and the only window looked out onto a narrow alleyway, casting a dim, foreboding shadow over the entire space. As he settled into his new surroundings, Gore couldn't shake the feeling that he was being watched, and the creaking of the old wooden floorboards beneath his feet only added to his growing sense of unease. He tried to focus on the task at hand, but his mind kept wandering back to the cryptic message he had received from the Ministry, and the mysterious circumstances surrounding his assignment to this isolated safe house. What was he supposed to be protecting, and from whom? The more he thought about it, the more questions he had, and the less he felt like he was getting any closer to the truth."
“Mm. Beside your elbow is a white box with a handle. It’s a refrigerator—a,"fridge, we call it. Could you open the door and take out the milk, please?”","small, compact one, perfect for storing perishable items like milk, eggs, and",29,"small, compact one, perfect for storing perishable items like milk, eggs, and leftovers. It's probably been there for a while, judging by the faint hum it's making. The fridge is a standard model, with a simple design and a small freezer compartment on top. It's not particularly old, but it's not brand new either. The exterior is a plain white color, with a few minor scratches and scuffs from regular use. The handle is sturdy and easy to grip, making it simple to open and close the fridge door. It's a reliable appliance that's been doing its job quietly in the background, keeping your food and drinks at the right temperature. You've probably opened it a few times a day to grab a snack or store something new, but it's not something you think about much otherwise. It's just a part of the background, a constant presence in your daily life. The fridge is a testament to the importance of convenience and efficiency in modern living, a reminder that even the most mundane objects can play a significant role in our daily routines."
"Gore was already fully dressed and sitting on the edge of the bath, smoking. The bottom of the bath",had a low-tide mark of cigarette ash and soap scum. Two cigarettes were crushed out in the soap dish.,"e water was still filled to the brim, the bubbles slowly rising to the surface as the warm air from the",38,"The water was still filled to the brim, the bubbles slowly rising to the surface as the warm air from the cigarette wafted above it, creating a misty veil that danced in the dimly lit bathroom. The sound of the water gently lapping against the sides of the tub was the only noise that broke the silence, a soothing melody that seemed to calm Gore's racing thoughts as he sat there, lost in his own thoughts."
"All this was to come. On that first morning, there was Gore chain-smoking and a bleeding water-supply line. The","toilet’s cistern lay on the floor, gleaming like a slain whale. A vile smell was seeping up from the floor.","leaked water droplets fell onto the dusty floor, creating a miniature river that flowed beneath the rickety",39,"leaked water droplets fell onto the dusty floor, creating a miniature river that flowed beneath the rickety workbench, where a half-assembled robot lay in pieces, its metal limbs splayed out like a broken insect. Gore's eyes, bloodshot from lack of sleep, fixed on the clock ticking away on the wall, its rhythmic tick-tock a stark reminder of the deadline looming over him. The air was thick with tension, heavy with the weight of his own expectations, as he puffed on his cigarette, the smoke curling up towards the flickering fluorescent lights above, casting eerie shadows on the walls. The silence was oppressive, punctuated only by the soft hum of the machinery and the occasional drip of water from the leaky pipe, a constant reminder of the chaos that was about to unfold."
"Gore was an officer from the dusk of the Age of Sail, not an engineer. I’m sure he knew plenty about ship’s rigging, but he’d probably never handled an instrument more technologically complex than a sextant. Men in their right minds are","not usually overcome with a mania for pulling the plumbing apart. I suggested he might like to wash his hands at the sink downstairs, and I could, perhaps, call a plumber, and we could, potentially, take a constitutional walk on the nearby heath.","not prone to fiddle with intricate mechanisms, especially not when they're covered in grease and have sharp edges. However, Gore was no ordinary man. He had a peculiar fascination with the inner workings of machines, often sneaking into the ship's",85,"not prone to fiddle with intricate mechanisms, especially not when they're covered in grease and have sharp edges. However, Gore was no ordinary man. He had a peculiar fascination with the inner workings of machines, often sneaking into the ship's engine room to marvel at the hissing steam valves and whirring gears. His crewmates found it peculiar, but they humored him, knowing that his curiosity might one day prove useful in a pinch. As the sun dipped below the horizon, casting the ship in a warm orange glow, Gore made his way to the engine room, his eyes fixed on the complex network of pipes and pulleys that kept the vessel afloat. He had a feeling that he was on the cusp of something significant, something that would change the course of his life forever. Little did he know, the real challenge was only just beginning, and it would require all his wits and resourcefulness to overcome."
"The more I got to know him, the more I discovered Gore was the most entirely realized person I’d ever met. In his own time, he had liked hunting, sketching, flute playing (he was very good at this), and","the company of other people. Hunting was out of the question, and socializing was limited by order of the Ministry. By the end of the first week he was visibly going bonkers with no one but me to talk to.","output>reading widely, from Shakespeare to Dickens, and had even dabbled in writing his own poetry. His love for the outdoors and the arts was matched only by his passion for politics and social justice, which",79,"<output>reading widely, from Shakespeare to Dickens, and had even dabbled in writing his own poetry. His love for the outdoors and the arts was matched only by his passion for politics and social justice, which led him to become involved in local activism and community organizing. As I got to know him better, I was struck by his unique blend of idealism and pragmatism, his ability to balance his head and heart in a way that was both inspiring and humbling. He had a way of making you feel seen and heard, of making you feel like you were the only person in the room, and yet he was also fiercely loyal and protective of those he cared about, willing to stand up for what he believed in even when it was difficult or unpopular. His presence was like a warm ray of sunshine on a cloudy day, and I felt grateful to have him in my life, even if it was just for a short time. As I looked back on our time together, I realized that Gore had taught me the value of living life to the fullest, of pursuing my passions and interests with reckless abandon, and of never being afraid to speak my truth and stand up for what I believed in, even if it meant going against the status quo. His legacy lived on in me, a reminder of the power of kindness, compassion, and courage, and I knew that I would carry it with me for the rest of my life. In many ways, Gore's impact on me was like a ripple effect, spreading out in all directions and touching the lives of those around him in profound and lasting ways. His memory continued to inspire me, a constant reminder of the importance of living a life of purpose and meaning, and I knew that I would always be grateful for the time we had shared. As I looked back on our time together, I was struck by the realization that Gore had been more than just a friend - he had been a mentor, a role model, and a kindred spirit, and I felt blessed to have had him in my life. His passing had left a void that could never be filled, but it had also given me a newfound appreciation for the preciousness and fragility of life, and the importance of cherishing every moment and making the most of every opportunity. In the end, it was not just Gore's memory that I carried with me, but the lessons he had taught me, the values he had instilled in me, and the love and support he had shown me, and I knew that I would always be grateful for the gift of his presence in my life. As I looked to the future, I knew that I would carry Gore's legacy with me, and that it would continue to guide me on my own journey, a reminder of the power of kindness, compassion, and courage, and the importance of living a life of purpose and meaning. And so, I would continue to live my life in a way that would make Gore proud, to pursue my passions and interests with reckless abandon, to stand up for what I believed in, and to always strive to be the best version of myself, just as Gore had taught me to do. In doing so, I knew that I would be honoring his memory, and keeping his spirit alive in my heart and in the world around me. And that was a thought that brought me comfort, a reminder that even though Gore was no longer with me, his impact on my life would never be forgotten, and that his legacy would continue to inspire and guide me for years to come. As I looked to the future, I knew that I would always be grateful for the time we had shared, and that I would continue to carry Gore's memory with me, a reminder of the importance of living a life of purpose and meaning, and the power of kindness, compassion, and courage to change the world. And so, I would keep his memory alive, not just in my heart, but in the world around me, by living my life in a way that would make him proud, and by continuing to strive for a world that was more just, more compassionate, and more loving, just as Gore had taught me to do. In the end, it was not just Gore's memory that I carried with me, but the lessons he had taught me, the values he had instilled in me, and the love and support he had shown me, and I knew that I would always be grateful for the gift of his presence in my life. And so, I would continue to live my life in a way that would honor his memory, and keep his spirit alive in my heart and in the world around me, a reminder of the power of kindness, compassion, and courage to change the world, and the importance of living a life of purpose and meaning. And that was a thought that brought me comfort, a reminder that even though Gore was no longer with me, his impact on my"
"Gore was internally displaced in this way. I could sometimes see him regarding the modern world as if through a telescope. He stood forever on the deck of a ship somewhere in the early 1800s. He must have done it even in his own era, coming down from the ports to note","with alarm that women were wearing their sleeves wide again, that some European country had declared war on another again, while he was months or years away at sea. He told me stories as if he were trying to catch himself in amber. Just like my mother, though I didn’t tell him that.",output>,105,<output>
