en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"Yet his books continued to sell, so his business affairs continued. I went over the contract renewals, cover concepts, and the occasional movie or TV option","with him, and I dutifully read every interview proposal once he was incapable of reading them himself. He always said no, and that included Ruth Crawford’s proposal.","that had been negotiated, but it was clear that the real money was in the merchandising, with tie-in products and theme park attractions generating millions of dollars",53,"that had been negotiated, but it was clear that the real money was in the merchandising, with tie-in products and theme park attractions generating millions of dollars in revenue each year, and the author's team was working tirelessly to capitalize on the franchise's enduring popularity, even as the author himself seemed increasingly detached from the process, his creative output dwindling as the commercial machine he had created continued to churn out bestsellers."
"“Give her the standard response, Mark—flattered to be asked, but no","thanks.” He hesitated, though, because this one was a little different.","consideration of the offer, and a polite decline, with a hint of gratitude",22,"consideration of the offer, and a polite decline, with a hint of gratitude for the suggestion."
"“Butch and I were kids going to a one-room schoolhouse before the Second World War. We grew up in a no-stoplight dirt-road town fixing cars, patching them up, playing sports and then coaching them. As men we took part in town politics and maintained the town dump—very similar jobs, now that I think about it. We hunted, we fished, we put out grassfires in the summer and plowed the town roads in the winter. Knocked over a right smart of mailboxes doing it, too. I knew","him when no one knew his name—or mine—outside of a twenty-mile radius. I should have come to see him these last years, but I was busy with my own affairs. I thought to myself, there’s time. We always think that, I guess. Then time runs out. Butch was a fine artist, but he was also a good man. I think that’s more important. Maybe some here don’t and that’s all right, that’s all right. Thing is, I always had his back and he always had mine.”","that Butch's dad was the town's postmaster, and I'd often help him sort the mail, which is how I got to know the postmaster's daughter, Emily, who was a year or two older than us. She was the prettiest girl in town, with long blonde hair and a smile that could light up the whole main street. We'd often sneak glances at her as we worked, and I remember feeling a flutter in my chest whenever she'd catch my eye and smile back. Butch, on the other",172,"that Butch's dad was the town's postmaster, and I'd often help him sort the mail, which is how I got to know the postmaster's daughter, Emily, who was a year or two older than us. She was the prettiest girl in town, with long blonde hair and a smile that could light up the whole main street. We'd often sneak glances at her as we worked, and I remember feeling a flutter in my chest whenever she'd catch my eye and smile back. Butch, on the other hand, was more interested in the postmaster's old truck, which he'd often take out for spins down the dirt roads, doing donuts in the town square and scaring the living daylights out of the local shopkeepers. I'd join in on the fun sometimes, but my mom would always scold me for being a bad influence. As we got older, our lives started to diverge, and I began to take on more responsibilities around the farm, while Butch started working at the local garage, learning the ins and outs of mechanics from the gruff but kind old man who owned it. We'd still hang out, but it wasn't the same as it used to be, and I think that's when I started to realize that our paths were leading us in different directions. The war changed everything, of course, and when it was over, Butch enlisted in the army, while I stayed behind to help my family with the farm. I'd hear from him sporadically, but it wasn't the same as having him around, and I often found myself wondering what had become of my old friend. Years went by, and I'd occasionally think about reaching out to him, but I never did, and I'm not sure why. Maybe I was afraid of what I might hear, or maybe I just didn't know how to reconnect after all that time. Whatever the reason, I never did, and I've often wondered what would have happened if I had. The not knowing has always left a bit of a hole in my heart, and I'm not sure I'll ever fully understand why things turned out the way they did."
“Has to be a reason?” Pop asked when I finished reading him Ms. Crawford’s letter. “Is that what she’s suggesting? I guess,she never heard about the twin brothers who won large sums of money in their respective state lotteries on the same day.”,"that it's not just a coincidence, but a deliberate attempt to manipulate us, to make us doubt our own memories and question",44,"that it's not just a coincidence, but a deliberate attempt to manipulate us, to make us doubt our own memories and question the truth about what really happened all those years ago."
“Just that I can understand this woman’s interest in exploring the fact of you and Dave both coming from Nowheresville and blossoming,in the middle of your lives.” I raised my hands beside my head as if framing a headline. “Could it be… fate?”,"in the same small town, but I still can't fathom why she would think that has any bearing on the current situation,",44,"in the same small town, but I still can't fathom why she would think that has any bearing on the current situation, or how it could possibly be relevant to the case at hand, especially given the vastly different circumstances that have led us to this point, and the fact that Dave has been living in the city for over a decade now, and has built a completely new life for himself, one that has little to no connection to his humble beginnings in Nowheresville."
"So that was what I did, although something about the way Pop looked just then stuck with me. It was the look of a man who could say quite","a lot on the subject of how he and his friend Butch had achieved fame and fortune… but who chose not to. Who chose, in fact, to keep it close.","not a word, but who was silently screaming for help, and I couldn't shake the feeling that I had just witnessed something that would change everything,",59,"not a word, but who was silently screaming for help, and I couldn't shake the feeling that I had just witnessed something that would change everything, a feeling that only intensified as I watched him walk away, his eyes fixed on the ground, his shoulders slumped in a way that seemed to convey a weight he couldn't bear, and I found myself wondering what had really happened between him and his sister, and what secrets they might be hiding from the rest of us, secrets that I was now a part of, whether I liked it or not."
"“They used to pal around together back in grade school,” Alden told her. “Just a couple of boys who liked to fish or go hunting with their daddies. They grew up around hard work and","didn’t expect nothing different. You might talk to folks my age who’ll tellya those boys were going to amount to something, but I’m not one of em. They were ordinary fellas right up until they weren’t.”","the values of rural life, where a man's word was his bond and a handshake sealed a deal. But as they entered their teenage years, they began to drift apart, each taking different paths that would ultimately",71,"the values of rural life, where a man's word was his bond and a handshake sealed a deal. But as they entered their teenage years, they began to drift apart, each taking different paths that would ultimately shape the course of their lives. Alden's family had always been rooted in the community, while his friend's family had moved away, seeking better opportunities in the city. The distance and differing circumstances had taken a toll on their friendship, but Alden still remembered the good times they had shared, and the lessons he had learned from his friend's father, a wise and kind man who had taught him the importance of hard work and integrity."
"I read a review of Pop’s first book, The Lightning Storm, and the reviewer said this: “Not much happens in the","first hundred or so pages of Mr. Carmody’s suspenseful yarn, but the reader is drawn on anyway, because there are violins.”","completion, but the author's masterful use of language and vivid descriptions of the characters' inner turmoil more than make",42,"completion, but the author's masterful use of language and vivid descriptions of the characters' inner turmoil more than make up for the lack of external plot events, and the novel's exploration of themes such as grief, guilt, and redemption is both poignant and thought-provoking, leaving a lasting impact on the reader long after the final page has been turned."
"I knew a lot of this. I learned more from Ruth Crawford herself at the Korner Koffee Kup, across the street from the Gateway Motel and just about a block down from the post office. That’s where Pop got his mail,","and there was usually a pretty damn good budget of it. I always stopped at the Koffee Kup after grabbing the post. The Kup’s java is strictly okay, no more than that, but the blueberry muffins? You never had a better one.","where he would often meet with the locals, sipping on a cup of coffee and swapping stories about the town's history, its people, and the mysteries that still lingered in the shadows. It was a place where time seemed to stand",83,"where he would often meet with the locals, sipping on a cup of coffee and swapping stories about the town's history, its people, and the mysteries that still lingered in the shadows. It was a place where time seemed to stand still, where the past and present collided, and where the truth was often hidden in plain sight, waiting to be uncovered by those with the patience and curiosity to seek it out. I had spent countless hours sitting at the counter, listening to Ruth's tales of the town's early days, of the pioneers who settled here, and of the struggles they faced in building a community from scratch. She had a way of bringing the past to life, of making the people and events feel so real that I could almost smell the smoke from the woodstove and hear the sound of the wind rustling through the trees. And it was there, at the Korner Koffee Kup, that I first heard the whispers of the legend of the missing girl, a story that would haunt me for years to come."
"It was Ruth Crawford, looking slim and trim in white slacks, a pink shell top, and a matching mask—that was the second year","of Covid. She was already sliding into the other side of the booth, which made me laugh. “You don’t give up, do you?”","that the pandemic had become a part of our lives, and people were still trying to find ways to cope with the new normal,",46,"that the pandemic had become a part of our lives, and people were still trying to find ways to cope with the new normal, as she walked into the crowded restaurant, her eyes scanning the room for a familiar face, and that was when she spotted him, standing by the bar, sipping a drink, his eyes fixed on her, a hint of a smile playing on his lips, and for a moment, time stood still, as their gazes met, and the world around them melted away, leaving only the two of them, suspended in a moment of pure connection."
"“Not bad. As you must know, since you’re staying right across the street.","The muffins are better. But still no interview. Sorry, Ms. Crawford, can’t do it.”","from the window of your apartment, you can see the faint glow of the neon sign outside,",27,"from the window of your apartment, you can see the faint glow of the neon sign outside, which seems to be the only thing that's still lit up in this deserted alleyway at this late hour, and I'm guessing you've probably heard the rumors about the old warehouse on the corner, how it's been abandoned for years, but the locals claim to have seen strange lights flickering from its windows on certain nights, and I'm not saying I believe it, but it's definitely an interesting story, don't you think?"
"“I swear. I found out that Dave won the annual town fair pie-eating contest from 1960 to 1966, when he retired from competition. I learned that your father sat","on the ducking stool at Old Home Days until 1972. There are amusing pictures of him in one of those old-fashioned bathing suits and a derby hat… waterproof, I assume.”","on the judging panel from 1962 to 1965, and it's possible that his influence may have contributed to the consistent results, as the contest rules remained largely unchanged",59,"on the judging panel from 1962 to 1965, and it's possible that his influence may have contributed to the consistent results, as the contest rules remained largely unchanged during that period, with the only notable exception being the introduction of a time limit in 1964, which was intended to prevent contestants from consuming pies at an alarming rate, but may have inadvertently favored those with a more strategic eating style, such as Dave, who was known for his ability to pace himself and maintain a steady flow of food throughout the contest."
"“I learned that when Dave went west, he packed everything he felt he needed into the saddlebags of his Harley-Davidson motorcycle and just took off.",Your father and mother sold everything else he owned at a yard sale and sent him the money. Your dad also sold his house for him.”,"left behind a note for his family, which read: 'I'm chasing the open road and the freedom it brings, and I'll be back when the wind",51,"left behind a note for his family, which read: 'I'm chasing the open road and the freedom it brings, and I'll be back when the wind stops calling my name.' Little did they know, this was only the beginning of a journey that would take him to the farthest reaches of the American West, and test the limits of his resolve and his trusty motorcycle."
"“At a pretty nice profit,” I said. “Which was good. By then Uncle Butch","was painting full-time, and he used that money until he started selling his work.”",had already begun to realize that his business ventures were not as lucrative as he,28,"had already begun to realize that his business ventures were not as lucrative as he had initially thought, and the losses were starting to add up, but he refused to give up, convinced that his next big deal would turn everything around."
