en_first_half,en_second_half,en_results,en_word_count,en_results_raw
I made sure to insert myself between Autumn and Jack last night for this very reason. It was clear that,"we were crashing at my house, and I felt it was my duty to be the one to take the blows.","he was getting too close to her, and I couldn't let that happen, not after everything we've",41,"he was getting too close to her, and I couldn't let that happen, not after everything we've been through. I've been watching them for weeks now, studying their interactions, and I'm convinced that Autumn is the key to unlocking the secrets of the mysterious disappearance of Jack's sister. I've seen the way he looks at her, the way he talks to her, and I know he's hiding something. I've been trying to get closer to Autumn, to get her to open up to me, but she's been elusive, always staying one step ahead. I've tried to dig up dirt on her, to find out what she's hiding, but so far, nothing has panned out. I'm starting to get desperate, and I know I need to tread carefully, but I'm not sure how much longer I can keep this up. The more I learn about Autumn, the more I realize that she's not what she seems, and I'm starting to wonder if I've made a huge mistake by getting involved in this. But I'm not one to back down from a challenge, and I'm determined to uncover the truth, no matter what it takes."
"A couple of weeks ago, after we went to see that silly horror movie that made Autumn scream three times, both of them—Jack and","Autumn—said they had fun. They said they could understand why I liked my other friend so much, and sure, maybe we could do it again.","Emily, who had been hesitant at first, ended up enjoying the thrilling experience, and as we walked out of the cinema, they both agreed",49,"Emily, who had been hesitant at first, ended up enjoying the thrilling experience, and as we walked out of the cinema, they both agreed that it was one of the most entertaining films they had seen in a long time. However, the real excitement was yet to come, as they stumbled upon an old, mysterious-looking mansion on the outskirts of town, which seemed to be the perfect setting for their next adventure. The mansion, with its tall, dark spires and overgrown gardens, seemed to whisper secrets to them, drawing them in with an otherworldly allure. As they stood before the entrance, a chill ran down their spines, and they exchanged a nervous glance, wondering what lay ahead, but also feeling an inexplicable sense of curiosity and trepidation."
"Jack enters the room. I close my eyes. Though my penis remains somewhat optimistic, the blankets provide cover.","I should move, wake Autumn, pretend my arm was never around her, but I can’t bear to yet.",The dim light in the room casts an eerie glow on the walls as I wait for the sound of the,36,"The dim light in the room casts an eerie glow on the walls as I wait for the sound of the door closing, my heart racing with anticipation, the soft rustling of the blankets a stark contrast to the turmoil brewing inside me, the air thick with unspoken tension, and the silence a heavy weight that presses down on my chest, making it hard to breathe, the seconds ticking by like hours, each one a countdown to the unknown, and I can feel Jack's eyes on me, his presence a palpable force that makes my skin prickle with goosebumps, the anticipation building to a crescendo, and I wonder what he will do next, will he speak, will he touch me, or will he just stand there, frozen in time, his silence a deafening scream that echoes through my mind, and I strain to hear the slightest sound, my ears perked up like a rabbit on high alert, my senses on overdrive, and I feel like I'm trapped in a never-ending nightmare, unable to wake up, unable to escape, unable to move, unable to breathe, and the darkness closes in around me like a shroud, suffocating me, and I'm not sure if I'll ever find my way out, or if I'll be stuck in this purgatory forever, lost in a sea of uncertainty, with no lifeline to cling to, no anchor to hold onto, no safe haven to retreat to, and the thought sends a shiver down my spine, making me tremble with fear, and I wonder if I've made a terrible mistake, if I've stepped into a world that's beyond my control, a world that's beyond my understanding, a world that's beyond my comprehension, and I'm not sure if I'll ever find my way back to reality, or if I'll be forever lost in this labyrinth of uncertainty, with no escape in sight, no respite from the torment, no peace to be found, and the thought sends a wave of despair washing over me, threatening to consume me whole, and I'm not sure if I'll ever be able to find my way out of this darkness, or if I'll be forever trapped in this living hell, with no hope of redemption, no chance of forgiveness, and no escape from the torment that's been unleashed upon me."
"“What are you doing? And what about her?” Jack nods toward the tent. Even though we’re talking low, he starts",to whisper. “She would have to be the stupidest person on earth to not know you’re bonkers in love with her.”,"speaking in hushed tones, his eyes darting nervously toward the trees surrounding our campsite, as if he's worried",41,"speaking in hushed tones, his eyes darting nervously toward the trees surrounding our campsite, as if he's worried we're being watched. I follow his gaze, but all I see are the swaying branches of the willows and the occasional flash of a bird taking flight. ""I'm just gathering some firewood,"" I reply, trying to sound nonchalant, though my heart is racing with a mix of fear and confusion. Jack's expression is skeptical, and I can tell he doesn't believe me. He takes a step closer, his eyes locked on mine, and I can feel the tension between us building. ""You're not telling me the truth, are you?"" he asks, his voice barely above a whisper. I hesitate, unsure of how much to reveal, but something about his concerned expression makes me open up, and I find myself pouring out the entire story, from the strange occurrences in the woods to the feeling of being watched, and the eerie sensation that we're not alone in this place."
"Jack groans and rubs his face. He says something I don’t quite hear, but it ends with","the word “type.” Autumn makes a noise in the tent, and we both hold our breaths and listen.","something about needing a coffee, and I nod in agreement, knowing that a caffeine boost is just",35,"...something about needing a coffee, and I nod in agreement, knowing that a caffeine boost is just what he needs to tackle the long day ahead of us. We head to the kitchen to start the coffee maker, the aroma of freshly brewed coffee filling the air as we wait for it to finish. The silence between us is comfortable, a familiar silence that comes from years of working together. I glance over at Jack, his eyes still fixed on the floor, his expression a mix of frustration and exhaustion. I can tell he's still thinking about the project we're working on, the one that's been giving him trouble for weeks. I decide to break the silence, asking him about the latest developments, and he looks up, a hint of a smile on his face as he begins to explain."
"“Zoned out the way she does? You have been so, so…","Like last week!” Jack asks, “How could you have missed that game?”","distracted lately, I've noticed. It's like you're a million miles away,",23,"...distracted lately, I've noticed. It's like you're a million miles away, lost in thought, and nothing seems to bring you back to reality. Even when we're together, I feel like I'm talking to a ghost, and it's really starting to worry me. I've tried to talk to you about it, but you just brush it off and say you're fine, that everything's okay. But I know that's not true. You're not fine, and I'm starting to think that something's really wrong."
“Why don’t we restart the movie? We can all watch it.” Jack,gives me a look to remind me that our other conversation isn’t over.,"The others looked at him uncertainly, but Sarah spoke up, ""I don't know,",25,"The others looked at him uncertainly, but Sarah spoke up, ""I don't know, Jack, we've already seen it three times, and I'm not sure I can sit through it again, but I suppose it's better than playing charades."" The group fell silent, weighing their options, with some nodding in agreement and others looking unenthused, as they considered the prospect of reliving the cheesy 80s rom-com for the fourth time that weekend."
"I walk Jack to his car, and when he turns to me with that","look on his face, I know what he’s going to say. I open my mouth.","smile, I'm taken aback by the genuine warmth in his eyes, a stark",29,"smile, I'm taken aback by the genuine warmth in his eyes, a stark contrast to the usual stoic expression he wears, and for a moment, I'm caught off guard, unsure of how to respond to the sudden display of vulnerability."
"I met Jack on the first day of middle school. Autumn and I did not have a single class together—I would be less distracted, for one thing—but not having lunch","together seemed like a joke. Surely the school administrators knew we had always been together, were meant to be together. Surely, if I looked around the cafeteria, she would be there?","together was a different story. We would often sit at the same table in the cafeteria, and I would catch glimpses of him laughing with his friends or staring off into space, his eyes lost",61,"together was a different story. We would often sit at the same table in the cafeteria, and I would catch glimpses of him laughing with his friends or staring off into space, his eyes lost in thought. I found myself wondering what made him so introspective, and whether he was as lost in his own world as he seemed. As the days went by, I found myself looking forward to lunchtime, not just for the food, but for the chance to see Jack and try to decipher the mystery that was him. Little did I know, our lives were about to become intertwined in ways I never could have imagined."
"When I finally sat down next to Jack at a mostly empty table, he reacted as if he had been waiting for me. We had been in the morning gym class together and kicked a ball around with a few other guys after the teacher had given us","free time. I didn’t sit down because I recognized Jack though; I simply sat at the first empty seat, defeated. But Jack remembered me. He asked me if I ever watched pro soccer. I said yeah, not really interested in conversation, not really listening, wondering what Autumn was doing.","dismissed us early, and I had been looking forward to this break all day. Jack, with his messy brown hair and bright blue eyes, flashed me a warm smile as I sat down, and I couldn't help but return it. We had been friends since freshman year, and it was easy to fall into our usual banter.",97,"dismissed us early, and I had been looking forward to this break all day. Jack, with his messy brown hair and bright blue eyes, flashed me a warm smile as I sat down, and I couldn't help but return it. We had been friends since freshman year, and it was easy to fall into our usual banter. ""Hey, man, I'm starving,"" Jack said, gesturing to the menu on the table. ""I'm thinking about getting a burger and fries. You in?"" I scanned the menu, my stomach growling in agreement. We had just enough time to grab a quick bite before our next class, and I was down for whatever. As we ordered and waited for our food to arrive, Jack started telling me about his plans for the upcoming weekend. He was heading to his grandparents' house for a family barbecue, and he was excited to show off his new skateboard tricks. I listened intently, asking the occasional question and making supportive noises, but my mind started to wander. I had a project due soon, and I still needed to finish researching and outlining it. I made a mental note to ask Jack if he had any suggestions for sources, but for now, I just smiled and nodded along, enjoying the easy conversation and the warmth of the sun on my face through the window."
