en_first_half,en_second_half,en_word_count,en_results_raw
"Aside from Eager Beaver, there are fourteen of us starting today. Fourteen of us fresh out of top-five graduate programs, and prestigious internships, and CV-beefing industry","jobs accepted exclusively to look more attractive during NASA’s next round of recruitment. There’re fourteen of us, and the thirteen that aren’t me are all nodding enthusiastically.",53,"with a plethora of skills, yet somehow still uncertain about the true meaning of success, and the harsh realities of the corporate world that awaited us, as we stepped into the conference room, our eyes scanning the room for any sign of our new colleagues, and the daunting task that lay ahead, a task that would test our mettle, and push us to our limits, in ways we never thought possible, as we embarked on this journey, one that would change us forever, and leave an indelible mark on our lives, a mark that would be etched in our memories, long after we left the confines of this office, and ventured out into the world, armed with the knowledge, and the experience, that only this internship could provide."
"The truth, though, is quite the opposite. I hated school at first sight—with the direct consequence that school hated the sullen, listless child that I was right back. In the first grade, I refused to learn how to write my name, even though Hannah is only three letters repeated twice. In junior high, I set a school record for the highest number of consecutive detention days—what happens when","you decide to take a stand and not do homework for any of your classes because they are too boring, too difficult, too useless, or all of the above. Until the end of my sophomore year, I couldn’t wait to graduate and leave all of school behind: the books, the teachers, the grades, the cliques. Everything. I didn’t really have a plan for after, except for leaving now behind.",137,"you combine a rebellious spirit with an uncooperative attitude, and a dash of teenage angst, which, in my case, was a potent cocktail that left a lasting impression on my teachers and classmates alike. My disdain for authority and the rigidity of the school system only intensified as I progressed through the grades, and I found myself frequently at odds with my teachers, who seemed to view me as a lost cause. I was the kid who would rather spend recess reading a book in the library than participate in team sports, and I took great pleasure in pointing out the hypocrisy of the school's rules and policies. My parents, though well-meaning, were at a loss for how to handle my behavior, and I often found myself feeling like an outsider, a misfit in a world that seemed determined to mold me into a cookie-cutter version of itself. It wasn't until I stumbled upon a creative writing class in high school that I began to find my footing, and for the first time, I felt like I had a place where I belonged. The freedom to express myself through words was a liberating experience, and I threw myself into my writing, pouring my heart and soul onto the page. Little did I know, this was just the beginning of a journey that would take me to places I never could have imagined, and change me in ways I was still discovering."
"“It’s like space is your whole personality,” the girl I casually hooked up with during most of my sophomore year of undergrad told me. It was after I explained that no, thank you, I wasn’t interested in going out for coffee to meet her friends because of a lecture on","Kalpana Chawla I was planning to attend. “Do you have any other interests?” she asked. I threw her a quick “Nope,” waved good-bye, and wasn’t too surprised when, the following week, she didn’t reply to my offer to meet up. After all, I clearly couldn’t give her what she wanted.",100,"the societal pressures that often dictate our relationships and interactions, especially in the context of social media, where people feel the need to curate a perfect online persona that may not necessarily reflect their true selves. She looked at me with a mixture of confusion and curiosity, as if trying to understand why I wouldn't want to indulge in the typical college experience of getting to know someone over coffee. I couldn't blame her, really – it's a rite of passage that many people take for granted, and I was just trying to avoid the monotony of it all. But as I looked into her eyes, I saw a glimmer of something more, a spark of genuine interest that went beyond the superficiality of a casual coffee date. It was then that I realized that maybe, just maybe, I had been too quick to dismiss the idea of getting to know her, and that the lecture I had been so eager to attend might have been just the catalyst for a deeper connection."
"“Yeah, I’m not sure.” She shrugs and continues to make her way through a Tupperware of broccoli, an apple, and approximately two fucktons of Cheez-Its. “I don’t really know much about him. His parents divorced, then people in my family had arguments and stopped talking to each other. There was a lot of","prime Floyd dysfunction happening, so I haven’t actually spoken to him in years. But I heard from one of my other cousins that he was working on that thing that landed on Mars back when we were in high school. It was called something like . . . Contingency, or Carpentry, or Crudity—”",106,"silence that hung over us for years, and I never really got to know him as well as I would have liked. My mom would sometimes mention that he was a bit of a loner, but I never really understood what that meant until I was older. I remember seeing him around school, but he always seemed so distant, like he was observing us all from behind a veil of indifference. It wasn't until we were in our early twenties that I started to piece together the fragments of his story, and even then, it was more like a puzzle with missing pieces. I wish I had asked him more questions back then, but I was too caught up in my own life to really pay attention. Now, with him gone, I'm left with a sense of regret and a desire to understand him better, to know what made him tick, and what drove him to make the choices he did."
"“I think so. Do the dates add up? Maybe it was some kind of summer internship? But honestly, it might just be Floyd family lore. I have an aunt who insists that we’re related to","the Finnish royals, and according to Wikipedia there are no Finnish royals. So.” She shrugs and pops another handful of Cheez-Its in her mouth. “Would you like me to ask around, though? For the assignment?”",70,"some famous historical figure, but I've never been able to verify it. I've always been skeptical, but the more I think about it, the more I wonder if there's some truth to it. Maybe our family's history is more complicated than we think. I've heard stories about our ancestors being involved in some kind of business ventures, but they were always vague about the details. It's possible that our family's connection to the Floyd name is more than just a coincidence. I've been meaning to dig deeper into our family tree, see if I can find any concrete evidence. Do you think it's worth looking into?"
"“By the way, I sent you my cousin-or-something’s contact info a while ago,” Mara tells me one night. We’re at the",cheapest grad bar we’ve been able to find. She’s on her second Midori sour of the night. “Did you get it?”,42,"stuffy, dimly lit coffee shop on the outskirts of town, the smell of burnt coffee beans and stale air hanging heavy over our conversation. I vaguely remember receiving a message from her, but I hadn't gotten around to reaching out yet, and I'm not even sure why she's bringing it up now. ""Oh yeah, I think I saw it,"" I reply, trying to sound nonchalant, ""but I haven't had a chance to talk to them yet. What's the story with your cousin-or-something?"" Mara leans in, a mischievous glint in her eye, and I can tell that this is going to be a long night."
"He frowns, as if momentarily blanking on Mara’s name. “Ah, yes.” He nods. Only once. “Apparently,” he adds, which makes me laugh. He waits for me to take a seat","across from him before folding back in his chair. I notice that he doesn’t hold out his hand, nor does he smile. Interesting. “Thank you for agreeing to meet with me.”",61,"before he begins to explain, his eyes drifting to the stack of files on his desk, a mixture of curiosity and wariness etched on his face, as if he's not quite sure where to start or what to reveal, but feels compelled to try, the silence between us growing thicker and more oppressive with each passing moment, until finally, he speaks, his voice low and measured, like a man choosing his words with great care."
"“Officially: unclear. But I’m fairly sure my brother made CDs of it. Sent them to local TV stations and whatnot.” He gestures vaguely, and his forearm is dusted with freckles and pale-red hair. I want to grab his wrist, hold it in front","of my eyes, study it at my leisure. Trace, smell, touch. “I haven’t spent a holiday with the Floyd side of the family in twenty years, but I’m told that the video is a source of great entertainment for all age groups at Thanksgiving.”",87,"of the dim light, examine the freckles more closely, but I resist the urge, instead asking, ""What's the story behind these CDs?"" He shrugs, his eyes drifting off to the side, and I sense a mix of emotions: a hint of defensiveness, a dash of embarrassment, and a whole lot of uncertainty. ""I don't know, I guess he just wanted to share it with the world,"" he says finally, his voice barely above a whisper. ""Or maybe he was trying to prove something. I don't know, I wasn't really paying attention."" I press him for more information, but he just shakes his head, his eyes darting around the room as if searching for an escape route. I realize that he's not going to open up easily, and I make a mental note to tread carefully, to coax the truth out of him without pushing him further into his shell. The air in the room seems to thicken, heavy with unspoken words and unresolved questions, and I feel a shiver run down my spine as I wonder what secrets my friend's brother might be hiding."
"The section is in C++. Which happens to be the very first language I taught myself back in high school, when every single Google search for “Skills + Necessary + NASA” led to the sad result of “Programming.” Python came after. Then SQL. Then HAL/S. For each language, I started out convinced that chewing on","glass would surely be preferable. Then, at some point along the way, I began thinking in terms of functions, variables, conditional loops. A little after that, reading code became a bit like inspecting the label on the back of the conditioner bottle while showering: not particularly fun, but overall easy. I do have some talents, apparently.",111,"chewing on the syntax would somehow magically imbue me with the ability to solve complex problems, but in reality, it was the countless hours of trial and error, debugging, and frustration that ultimately made me proficient. The more I delved into the world of programming, the more I realized that it wasn't just about mastering a particular language, but about understanding the underlying concepts and principles that governed them. I began to see the beauty in the way a well-crafted algorithm could solve a problem that had seemed insurmountable just moments before, and the sense of accomplishment that came with it was addicting. As I continued to learn and grow, I started to explore different areas of programming, from web development to machine learning, and even dabbled in some game development on the side. Each new challenge pushed me to think creatively and outside the box, and I found that the more I learned, the more I realized how little I actually knew. It was a humbling experience, but one that drove me to keep pushing forward, always seeking to improve and expand my skills. The journey was far from over, and I was excited to see where it would take me next."
"My heart rate picks up. Warmth twists in my lower stomach. I lean forward with a smile, feeling like I’m finally in my element. This, this, is what I know best. Depending on how busy I am with school, or work, or binge-watching K-dramas,","I do this about once a week. Which amounts to quite a bit of practice. “Maybe I could come to your place?” I say, finding the sweet spot between comically suggestive and Let’s get together to play Cards Against Humanity. “And you could show me?”",89,"it's easy to get caught up in the mundane routine of daily life, but in this moment, I'm exactly where I'm meant to be – surrounded by the sights, sounds, and scents of the bustling market, the smell of sizzling street food wafting through the air, and the vibrant colors of the vendors' stalls, a kaleidoscope of textures and tastes that never fail to invigorate my senses. I take a deep breath, letting the excitement wash over me, and make my way through the crowded alleys, weaving past shoppers and vendors, my eyes scanning the stalls for the perfect find, the one thing that will make my day complete."
