en_first_half,en_second_half,en_results,en_word_count,en_results_raw
RG: She’s used to it. With Mum there’s drama 24/7. How often,did you speak to your dad when you were away at uni?,does she have to deal with a situation that doesn't involve,24,"does she have to deal with a situation that doesn't involve some kind of argument or confrontation, and what would happen if she were to ever find herself in a relationship where the drama level is significantly lower than what she's accustomed to?"
RG: Why am I the last one to find out that Eden isn’t coming to Hawaii? I find it hard to believe,that you wouldn’t want her beside you on your special day. Shall I talk to Mum? Happy to take the heat on this.,"that my best friend would keep such a significant detail from me, especially when we've been inseparable since college.",45,"that my best friend would keep such a significant detail from me, especially when we've been inseparable since college. I thought we shared everything, but I guess I was wrong. It's not like Eden to keep secrets, and now I'm left wondering what else she might be hiding from me. I tried calling her, but she's not answering, and I'm starting to get a little worried. Has something happened, or is she just avoiding me? I've been racking my brain trying to think of a reason why she wouldn't want to come to Hawaii, but I just can't seem to come up with anything. It's not like we're fighting or anything, so I'm at a loss. I'm starting to feel a bit left out, and I'm not sure how to deal with these mixed emotions. I guess I'll just have to wait and see what Eden has to say for herself when she finally decides to talk to me."
"They approached the altar positioned at the edge of the cliff and gazed out at the dramatic view of the Kona coastline just as the sun was dipping into the ocean. Gopal Das (Brimmer and May/Groton/Williams/UC Berkeley/Four Winds Shaman School), a tall, lanky Caucasian",man in his midforties with shoulder-length strawberry-blond hair and a matching beard stretched out his densely freckled arms in a godlike manner. “Let us welcome this blessed sunset. I’ve never seen a painting that captures the beauty of the ocean at a moment like this.”,"was a man in his mid-fifties with a wispy grey beard and a twinkle in his eye, dressed in a faded Hawaiian shirt and a pair of well-worn khaki shorts, his eyes fixed intently on the horizon as if lost in thought, his long fingers drumming a slow rhythm on the worn wooden staff",89,"was a man in his mid-fifties with a wispy grey beard and a twinkle in his eye, dressed in a faded Hawaiian shirt and a pair of well-worn khaki shorts, his eyes fixed intently on the horizon as if lost in thought, his long fingers drumming a slow rhythm on the worn wooden staff that leaned against the altar beside him, the staff adorned with feathers, shells, and other trinkets that seemed to hold some sort of significance for the man, who was known among his peers as a respected elder and a keeper of ancient knowledge, and as he stood there, the wind whipping his hair into a frenzy, he seemed to embody the very essence of the island itself, a living, breathing embodiment of the land and its secrets, and yet, despite his tranquil demeanor, there was a sense of restlessness about him, a feeling that he was waiting for something, or someone, to arrive, and as the sun dipped lower in the sky, casting the ocean in a warm, golden light, Gopal's eyes never wavered from the horizon, his gaze fixed on some point beyond the waves, his heart beating with a sense of anticipation, his spirit attuned to the rhythms of the land, and the whispers of the ancient ones."
"Gopal Das tucked the tight white tee that showed off his sinewy pecs into his camo-green cargo shorts and said, “Close your eyes. Now breathe","in deeply…. Let your first chakra connect with the ground, rooting in the earth, connecting with Gaia, connecting with spirit. Now, what do you feel?”","deeply, and let the scent of the forest wash over you. The trees towered above us, their leaves rustling softly in the gentle breeze, and the earthy smell",50,"deeply, and let the scent of the forest wash over you. The trees towered above us, their leaves rustling softly in the gentle breeze, and the earthy smell of damp soil filled the air. I could feel the tension in his body begin to ease as he took a deep breath, his shoulders relaxing slightly as he let go of his anxiety. ""Now, imagine that you're a part of this forest,"" he continued, his voice low and soothing. ""Imagine the trees as your roots, digging deep into the earth, and the wind as your breath, flowing in and out of your body. Feel the connection to the natural world, and let go of your worries and fears."""
"“Not likely. You’d be quite dead if that were the case,” Thomas said,[*5] looking down at the",machine. “You know your arm needs to be level with your heart when you take a reading.”,"case, his eyes scanning the ground where the bullet had struck, a faint smudge of dirt and",34,"case, his eyes scanning the ground where the bullet had struck, a faint smudge of dirt and blood still visible on the worn leather of his boot."
"Arabella bolted up from the chaise, her cashmere eye pillow falling to the floor. “Spectacular? Seeing that almost killed me! That lava you",see is a volcanic fissure that opened up earlier today—right in the middle of the garden where Augusta’s wedding ceremony is supposed to be!”,"was spewing forth from the volcano's mouth like a liquid fire, its intense heat radiating towards us, and the ground beneath our feet began to",47,"was spewing forth from the volcano's mouth like a liquid fire, its intense heat radiating towards us, and the ground beneath our feet began to tremble ominously, as if the very foundations of the earth were being rent asunder by some unseen force, and I could feel the hairs on the back of my neck standing on end, my heart racing with a mix of fear and awe, as we watched the pyroclastic flow engulf the nearby village, reducing it to a smoldering ruin in a matter of minutes, and I couldn't help but wonder if we had narrowly escaped a similar fate, and the memory of that harrowing experience still lingered in my mind like an open wound, refusing to heal, and I couldn't shake off the feeling that we had been given a second chance, a chance to appreciate the beauty and power of nature, and to learn from our narrow escape, and to never take our lives or our safety for granted again."
*3 Although “cottage” could be rather misleading for the spacious four-bedroom house with a thatched roof,"that was decomposing so perfectly, Thomas was constantly finding DIY influencers taking selfies by the garden gate.","that stood proudly at the end of the winding driveway, its white walls and large windows giving it a more elegant appearance",33,"that stood proudly at the end of the winding driveway, its white walls and large windows giving it a more elegant appearance than the humble name suggested, and it was here that Emily had grown up surrounded by the rolling hills and lush green forests of the countryside."
"*4 Though Arabella was raised speaking the Queen’s English in what was then the British Crown Colony of Hong Kong and spoke with the poshest of accents, whenever she came into contact with other Asians—particularly","family members and service people—her accent would take on the inflections and sentence structuring that were peculiar to upper-crust Hong Kongers. Linguistic experts call this phenomenon code-switching, while others might call it snobby tai tai syndrome.","the Cantonese-speaking vendors and rickshaw pullers in the crowded streets of Kowloon, her refined demeanor would instantly give way to a more rustic, colloquial tone, as if she had been born and raised in the very alleys she now navigated with such ease,",71,"the Cantonese-speaking vendors and rickshaw pullers in the crowded streets of Kowloon, her refined demeanor would instantly give way to a more rustic, colloquial tone, as if she had been born and raised in the very alleys she now navigated with such ease, her words dripping with a subtle blend of British sophistication and the rough-around-the-edges charm of the local dialect, a linguistic schizophrenia that both fascinated and intimidated those who witnessed it, a true reflection of the complex cultural identity that lay at the heart of this enigmatic young woman, a product of two worlds, yet belonging to neither, a true cosmopolitan of the East and the West."
"“That’s because I’m the only one around here who eats carbs,” Eden said as she took","a bite of her chocolate croissant, still warm from the oven. “You really ought to try one.”","smirking at her sister, who was sipping on a protein shake, and began to rummage through the",33,"smirking at her sister, who was sipping on a protein shake, and began to rummage through the kitchen cabinets in search of something to satisfy her cravings."
"Suddenly Arabella’s eyes lit up and she seemed to recover slightly. “Yes, she will be good","for OS, won’t she? Eden, you’ll offer your assistance, won’t you, in our time of need?”","for the child, and I am sure she will make a wonderful mother, but we must also consider",32,"for the child, and I am sure she will make a wonderful mother, but we must also consider the father's influence, as it is often said that a child's upbringing is a delicate balance of both parents' qualities, and in this case, the father's troubled past may have a lasting impact on their child's life, and it is our responsibility as guardians to ensure that the child receives the love and care they deserve, despite the challenges that may lie ahead."
