en_first_half,en_second_half,en_results,en_word_count,en_results_raw,vi_first_half,vi_second_half,vi_results,vi_word_count,vi_results_raw,es_first_half,es_second_half,es_results,es_word_count,es_results_raw,tr_first_half,tr_second_half,tr_results,tr_word_count,tr_results_raw
George unslung his bindle and dropped it gently on the bank.,"“I ain’t sure it’s good water,” he said. “Looks kinda scummy.”","As he did so, the worn leather creaked softly, releasing a faint",22,"As he did so, the worn leather creaked softly, releasing a faint scent of sweat and dried earth into the crisp afternoon air, and George let out a deep sigh, feeling the weight of his journey thus far slowly begin to lift from his shoulders, like the gentle lapping of the river's waters against the shore.","George gỡ ba lô, khẽ đặt xuống đất:",- Tao không chắc. Nước có vẻ dơ lắm.,"rồi nhẹ nhàng tháo dây an toàn, lấy một",17,"rồi nhẹ nhàng tháo dây an toàn, lấy một hơi sâu và bắt đầu kiểm tra từng món đồ một cách cẩn thận, từ bộ đàm cho đến la bàn, đảm bảo rằng mọi thứ đều trong tình trạng hoạt động tốt trước khi bắt đầu hành trình qua địa hình khó khăn.",George desató su hatillo y lo posó suavemente en la orilla.,—No estoy seguro de que esté buena –dijo—. Parece un poco sucia.,"Donde el río fluía con suavidad, reflejando el cielo azul y las nubes",23,"Donde el río fluía con suavidad, reflejando el cielo azul y las nubes blancas que parecían haberse detenido en el tiempo, y sacó de él una serie de objetos que habían estado cuidadosamente envueltos en un paño de lino, revelando poco a poco su contenido, que incluía una pequeña caja de madera, un libro encuadernado en cuero y una carta sellada con un sello de cera roja.","George sırtından dengini indirip usulca yere koydu. ""Pek","temize benzemiyor bu su,"" dedi. ""Köpükleri var baksana.","rahat değilim,"" dedi ve gözlerini kapatarak derin bir nefes",16,"rahat değilim,"" dedi ve gözlerini kapatarak derin bir nefes aldı, aniden ortaya çıkan bu durumun neden olduğu gerginliği yatıştırmaya çalışıyordu, sonra yavaşça ayağa kalktı ve etrafına bakındı."
"“Oh, sure, George. I remember that now.” His hands went quickly into his side coat pockets. He said","gently, “George … I ain’t got mine. I musta lost it.” He looked down at the ground in despair.","nothing more, but his eyes darted back and forth, as if searching for an escape or a distraction",37,"nothing more, but his eyes darted back and forth, as if searching for an escape or a distraction from the conversation that was starting to make him uncomfortable, and his fingers began to fidget with the coins in his pocket, a habit he had when he was nervous or deep in thought, and it was then that I noticed the faint glimmer of sweat on his forehead, a subtle sign that he was hiding something, and I couldn't help but wonder what it was that he was trying to conceal, and why he was being so evasive all of a sudden, his demeanor a stark contrast to the carefree and jovial person I had known for so long.","- Ờ! Bây giờ tôi nhớ ra rồi. Nó vội thọc tay vào túi áo. Nó nói, giọng","run sợ: - Thôi chết rồi, anh George ơi, tôi đánh mất rồi. Nó nhìn xuống đất thất vọng.","nhẹ nhàng và dứt khoát, như thể đang cố gắng thuyết phục chính mình hơn là người đối diện,",37,"nhẹ nhàng và dứt khoát, như thể đang cố gắng thuyết phục chính mình hơn là người đối diện, rằng điều nó sắp nói ra là sự thật, và rằng nó đã nhớ ra một chi tiết quan trọng nào đó, một manh mối có thể giúp giải quyết vấn đề đang khiến nó bối rối.","—Ah, claro, George. Ahora me acuerdo. Introdujo rápidamente las manos en los bolsillos de su chaquetón y",agregó suavemente: —George... No tengo mi tarjeta. Debo de haberla perdido. Miró al suelo lleno de desesperación.,"sacó un pequeño reloj de bolsillo, que consultó con una mirada rápida y precisa, como si el tiempo fuera algo que",34,"sacó un pequeño reloj de bolsillo, que consultó con una mirada rápida y precisa, como si el tiempo fuera algo que se pudiera controlar con solo un vistazo. Luego, con un movimiento igual de rápido, guardó el reloj y miró a su alrededor, como si buscara algo o a alguien en el entorno que los rodeaba. Su expresión era de concentración, y su postura denotaba una mezcla de impaciencia y expectativa, como si estuviera a la espera de algo que estaba a punto de suceder.","""Tabii George, tabii hatırladım şimdi. Birdenbire ellerini ceketinin cebine daldırdı. Usulca mırıldandı:","""George... benim kartım yok. Kaybettim galiba. Büyük bir üzüntü içinde gözlerini yerden kaldırmıyordu.","Evet, evet, hatırladım,"" dedi ve cebinden bir şeyler çıkardı. Gözleri parladı ve yüzünde bir anlık bir",25,"""Evet, evet, hatırladım,"" dedi ve cebinden bir şeyler çıkardı. Gözleri parladı ve yüzünde bir anlık bir heyecan belirdi. ""Şurada, bak,"" dedi ve elini uzattı. Bir anlık bir duraklama oldu, sonra konuştu: ""Bu, o gün aldığım küçük bir not. Unutmuşum, ama şimdi hatırladım."""
"“I … I,” Lennie thought. His face grew tight with",thought. “I … ain’t gonna say nothin’. Jus’ gonna stan’ there.”,concentration as he struggled to recall the exact words he was supposed,21,"concentration as he struggled to recall the exact words he was supposed to say, the ones George had repeatedly told him to remember in case they got into trouble, but now they seemed to have vanished from his mind, leaving him with a sense of panic and desperation that made his large frame tremble with anxiety.",Lennie ấp úng. Mặt dài ra vì có vẻ nghĩ lung : -,Ta... Tôi... Tôi không được nói gì hết. Tôi sẽ đứng im đấy.,"đang cố gắng nhớ lại điều gì đó, và rồi đột nhiên khuôn mặt",26,"ông đang cố gắng nhớ lại điều gì đó, và rồi đột nhiên khuôn mặt của ông sáng lên với một nụ cười nhẹ nhàng, như thể ông vừa nhớ ra một điều gì đó rất quan trọng, và ông bắt đầu nói với giọng nói chậm rãi, đầy suy nghĩ.",—Yo... yo —empezó Lennie pensativo. Su rostro quedó tenso de tanto pensar—.,"Yo... no voy a decir nada. Me quedo allí quieto, sin decir nada.","De repente, su expresión se suavizó y una sonrisa leve asomó en sus",25,"De repente, su expresión se suavizó y una sonrisa leve asomó en sus labios, como si hubiera encontrado la respuesta a una pregunta que llevaba mucho tiempo buscando. Sus ojos, que habían estado fijos en algún punto lejano, regresaron al presente y se encontraron con los de su interlocutor, llenos de una profunda reflexión. La tensión en su rostro se disipó, reemplazada por una sensación de paz y comprensión, como si finalmente hubiera encontrado la pieza que faltaba en el rompecabezas de sus pensamientos.","""Ben... ben..."" Lennie, düşünüyordu. Düşünmekten yüzünün çizgileri","geriliyordu. ""Ben bir şey söylemeyeceğim. Hiç ağzımı açmayacağım.","kasılmıştı ve gözleri sanki uzak bir yerlere bakıyordu, sanki orada",15,"kasılmıştı ve gözleri sanki uzak bir yerlere bakıyordu, sanki orada bir şeyler arıyordu, ama bulamıyordu ve bu onu daha da endişelendirmişti."
"Lennie droned to himself softly, “I ain’t gonna say nothin’ …",I ain’t gonna say nothin’ … I ain’t gonna say nothin’.”,"and he repeated it over and over, like a mantra, as he walked",22,"and he repeated it over and over, like a mantra, as he walked along the dusty road, his eyes fixed on some point in the distance, his massive frame swaying gently from side to side, lost in a world of his own, where the only sound was the soft murmur of his own voice, reassuring himself that he would indeed keep the secret, no matter what happened, and that George would be proud of him for being strong and quiet, just like he had promised.",Lennie lí nhí: - Không được nói gì hết...,Không được nói gì hết... Không được nói gì cả.,"c, thầy sẽ giận mà đánh chúng ta, và bây giờ chúng",19,"được, thầy sẽ giận mà đánh chúng ta, và bây giờ chúng ta cần phải giữ bí mật để không làm cho mọi thứ trở nên tồi tệ hơn, vì vậy hãy im lặng và không nói gì với ai, nhất là với thầy.",Lennie canturreó suavemente: —No voy a decir nada... No,voy a decir nada... No voy a decir nada.,"voy a decir nada, se lo prometo, George,",18,"voy a decir nada, se lo prometo, George, no voy a abrir la boca, no importa lo que me pregunten, me limitaré a callar y a mirar al suelo, como tú me has enseñado, para que no nos metamos en problemas y podamos seguir soñando con tener nuestra propia granja un día.","Lennie, kendi kendine mırıldandı. ""Bir şey",söylemeyeceğim... bir şey söylemeyeceğim... bir şey söylemeyeceğim...,"yerinde değildi, ama ne olduğunu tam olarak bilemezdi, sadece bir hissi",13,"yerinde değildi, ama ne olduğunu tam olarak bilemezdi, sadece bir hissi vardı ve bu hissin onu huzursuz ettiğini hissediyordu."
"“Run us out, hell,” said George disgustedly. “We run.","They was lookin’ for us, but they didn’t catch us.”","out of town, out of state, out of the country if that's",19,"out of town, out of state, out of the country if that's what it takes to get away from this madness, but we don't get run out by the likes of them, no sir, not without a fight, and George's eyes flashed with determination as he turned the key in the ignition and put the car in gear, ready to make their escape.",George đầy vẻ chán chường: - Trời! Tống cổ! Đấy là may mình trốn,"thoát nước. Tụi nó lùng riết lắm mà không thấy đấy thôi, con ạ","c, nếu không thì chắc chắn là tôi đã bị bắt rồi. Anh ta lẩm bẩm",28,"được, nếu không thì chắc chắn là tôi đã bị bắt rồi. Anh ta lẩm bẩm và bắt đầu đi loanh quanh trong phòng, cố gắng tìm một cách nào đó để làm cho bản thân cảm thấy tốt hơn. Nhưng dường như không có gì có thể làm giảm bớt cảm giác thất vọng và bất lực đang ập đến với anh ta. George cảm thấy như mình đang bị đẩy vào một góc tường, không có lối thoát và không biết phải làm gì tiếp theo.","—No nos echaron, qué diablos —dijo George con rabia—. Nosotros","fuimos los que corrimos. Nos buscaban, pero no nos encontraron.",nos fuimos porque no queríamos seguir viviendo en un lugar donde,20,"nos fuimos porque no queríamos seguir viviendo en un lugar donde no éramos bienvenidos, donde cada mirada y cada palabra parecían estar cargadas de desconfianza y resentimiento, y donde la sensación de no pertenecer se había vuelto insoportable, así que decidimos dejar atrás aquella vida y buscar un nuevo comienzo en un lugar donde pudiéramos ser nosotros mismos sin miedo a ser juzgados o rechazados.","George, tiksinti ile: ""Ne kovdular, ulan saloz,""","dedi. ""Biz yağladık tabanları. Bizi aradılar ama, bulamadılar.","dedi ve elini yüzüne geçirdi, sanki bu hareketle tüm duyduğu iğrenme",15,"dedi ve elini yüzüne geçirdi, sanki bu hareketle tüm duyduğu iğrenme ve öfkeyi silip atmaya çalışıyordu, ama yüz ifadesi değişmedi, hâlâ aynı tiksinti ve kızgınlıkla doluydu."
George still stared morosely at the fire. “When I think of the swell,"time I could have without you, I go nuts. I never get no peace.”","party we're going to have to give, and all the people who will be",27,"party we're going to have to give, and all the people who will be coming, I get a sinking feeling in my stomach, wondering how we're going to pull it all off without any major disasters, and whether our humble little house will be able to accommodate the throngs of guests that my wife has invited, not to mention the mountains of food and drink that will be required to keep them all satisfied, it's a daunting prospect, to say the least, and one that fills me with a sense of dread and foreboding, as if we're standing on the precipice of some great catastrophe, staring into the abyss, with no safety net to catch us if we fall.","George vẫn càu nhàu, nhìn vào bếp lửa: - Thật là điên đầu khi tao nghĩ là tao có",thể thỏa thuê như thế nào nếu không vướng mày. Tao có được một phút nào yên đâu !,"thể làm được việc đó, nhưng rồi tao lại nhớ đến những lời khuyên của bố, về việc kiên",38,"thể làm được việc đó, nhưng rồi tao lại nhớ đến những lời khuyên của bố, về việc kiên nhẫn và không bỏ cuộc, và tao quyết định tiếp tục cố gắng, dù cho mọi thứ có vẻ tuyệt vọng đến đâu, và rồi, từ từ, tao bắt đầu thấy được ánh sáng ở cuối đường hầm, và tao biết rằng mình có thể vượt qua được mọi khó khăn, chỉ cần tao tin vào bản thân và không bỏ cuộc.",George seguía mirando empecinadamente el fuego. —Cuando pienso lo bien que lo,"pasaría sin ti, me vuelvo loco. No me dejas en paz nunca.","pasamos juntos, me duele aún más la idea de que todo haya",24,"pasamos juntos, me duele aún más la idea de que todo haya terminado de esta manera. La memoria de aquellos días me persigue, recordándome la felicidad que ya no volveré a experimentar. El fuego que arde ante mí parece burlarse de mi tristeza, sus llamas danzando con una alegría que yo ya no puedo sentir. Me pregunto si algún día podré encontrar la paz, o si quedaré atrapado para siempre en este abismo de dolor y nostalgia.","George, hep o asık suratla ateşe bakıyordu. ""Başımda sen olmasan ne",eğlenirdim. Düşündükçe aklımı oynatacağım geliyor. Bir dakika bile rahatım yok senin yüzünden.,"yerde olurdum?"" dedi ve sesi titreyerek sustu. Odanın loş ışığında, yüzü bir an için belirsizleşti,",23,"yerde olurdum?"" dedi ve sesi titreyerek sustu. Odanın loş ışığında, yüzü bir an için belirsizleşti, sonra yine o familiar, katı ifadeye dönüştü. Ateşin çıtırtısı ve dışardan gelen uzak bir köpeğin havlaması dışında, bir süre boyunca hiçbir ses olmadı."
"Lennie avoided the bait. He had sensed his advantage. “If you don’t want me, you only jus’ got to say so, and I’ll",go off in those hills right there—right up in those hills and live by myself. An’ I won’t get no mice stole from me.”,"go on my way,"" he said, his voice firm but laced with a hint of vulnerability, as if he had been preparing himself for",47,"go on my way,"" he said, his voice firm but laced with a hint of vulnerability, as if he had been preparing himself for this moment, anticipating the rejection he had grown accustomed to, yet still holding onto a glimmer of hope that this time, things might be different, that he might finally find a place where he belonged, where his strength and simplicity would be valued, rather than seen as a liability, and as he stood there, his eyes fixed on the other man, he seemed to be searching for a sign, a nod, a word, anything that would indicate he was wanted, that he had found a home at last, and the silence that followed was oppressive, heavy with unspoken words and unresolved emotions, as the two men stood there, locked in a silent understanding, the air thick with tension, waiting for the other to make the next move, to break the spell that had been cast, and shatter the uncertainty that hung between them like a challenge.","Lennie không muốn chui vào tròng. Nó cảm thấy nó đang được lợi thế. - Anh mà chán tôi, anh cứ việc nói ra,","tôi sẽ đi vào rừng, tít trên đỉnh đồi kia rồi tôi sống một mình. Và chẳng ai vứt chuột của tôi đi được nữa.","thôi, Lennie nói, giọng nói của cậu trầm xuống, như thể cậu đang cố gắng thuyết phục chính mình. Cậu không muốn",49,"thôi, Lennie nói, giọng nói của cậu trầm xuống, như thể cậu đang cố gắng thuyết phục chính mình. Cậu không muốn làm cho George giận, nhưng đồng thời, cậu cũng không muốn bỏ cuộc. Cậu cảm thấy có một sức mạnh kỳ lạ trong người, một sức mạnh mà cậu không thể kiểm soát được. Cậu nhìn vào George, hy vọng tìm thấy một dấu hiệu nào đó, một sự đồng ý hoặc một sự từ chối, nhưng khuôn mặt của George vẫn im lặng, như một bức tường đá không thể xuyên thủng.","Lennie eludió el cebo. Había intuido que tenía ventaja. —Si no quieres estar conmigo, no tienes más que decirlo y en seguida","me marcho a las montañas, a esas de allá... Subo a las montañas y vivo solo. Y nadie me robará los ratones.","me iré, pero no me dejes solo, porque me da miedo la oscuridad y no sé qué hacer sin ti, George, eres mi amigo,",44,"me iré, pero no me dejes solo, porque me da miedo la oscuridad y no sé qué hacer sin ti, George, eres mi amigo, mi único amigo, y juntos podemos hacer cualquier cosa, podemos encontrar un lugar donde vivir y trabajar, y tener conejos, muchos conejos, y vivir felices para siempre, como siempre has dicho, y no me importa que seas el jefe, porque eres un buen jefe, y me tratas bien, y me das consejos, y me ayudas a recordar las cosas, y sin ti me sentiría perdido, como un niño pequeño en un bosque oscuro, así que por favor, no me dejes, George, no me dejes solo.","Lennie, yutmadı. Ağır bastığını hissetmişti. ""Eğer beni istemiyorsan, açık açık söyle, nah şu","dağlara... Şu yukarıki dağlara çıkarım, tek başıma yaşarım. Parelerimi de kimse çalmaz benden.","anlaşmazlık çıkmasın diye seni kovmak istemem ama seninle çalışmak da artık dayanılır gibi değil,",26,"anlaşmazlık çıkmasın diye seni kovmak istemem ama seninle çalışmak da artık dayanılır gibi değil, her an bir şey olabilir ve ben sorumlu tutulmak istemem, belki de senden kurtulmanın bir yolunu bulmalıyım diye düşünmeye başlamıştı, ama Lennie'nin yüzündeki ifadeyi görünce içinden geçenleri söyleyemez ve ona karşı daha da merhametli davranmaya karar verdi."
George went on. “With us it ain’t like that. We got a future. We got somebody to talk to that gives a damn about us. We don’t have to sit in no bar,room blowin’ in our jack jus’ because we got no place else to go. If them other guys gets in jail they can rot for all anybody gives a damn. But not us.”,"room with a bunch of strangers who don't know us from Adam, wondering if we'll ever find someone who truly cares. We got a place to call home, where we can",66,"room with a bunch of strangers who don't know us from Adam, wondering if we'll ever find someone who truly cares. We got a place to call home, where we can be ourselves without fear of judgment. And we got each other, which is more than most people can say. We can share our dreams, our hopes, and our fears with someone who'll listen and offer a helping hand. That's what makes life worth living, and that's what we've got. It's a feeling that's hard to describe, but it's like having a weight lifted off your shoulders, knowing that you're not alone in this crazy world. And when the going gets tough, we can face it together, as a team, as friends, as brothers. That's the kind of bond that can't be broken, and it's what gets us through the tough times. So, yeah, we may not have much, but we've got what counts, and that's something to be proud of.","Geroge tiếp: - Riêng hai đứa mình thì lại khác. Tương lai mình đã vạch sẵn rồi, chúng ta có thể tâm sự than thở với nhau và giúp đỡ lẫn nhau. Việc gì phải ra quán",ngồi phung phí hết số tiền kiếm được vì không còn chỗ nào để lui tới. Bọn họ mà không may thì có thể ở tù rục xương vì chẳng ai để ý tới. Mình thì khác.,"xảy ra với mình thì mình có thể chia sẻ với nhau, cùng nhau giải quyết và vượt qua. Chúng ta có thể cùng nhau xây dựng một tương lai tươi sáng hơn, nơi mà",74,"xảy ra với mình thì mình có thể chia sẻ với nhau, cùng nhau giải quyết và vượt qua. Chúng ta có thể cùng nhau xây dựng một tương lai tươi sáng hơn, nơi mà chúng ta có thể hỗ trợ và động viên nhau trong mọi hoàn cảnh. Với sự hiểu biết và tin tưởng lẫn nhau, chúng ta có thể tạo ra một mối quan hệ sâu sắc và ý nghĩa, một mối quan hệ mà trong đó chúng ta có thể cùng nhau phát triển và trưởng thành. Và khi chúng ta có thể tâm sự than thở với nhau, chúng ta sẽ cảm thấy nhẹ nhõm và thoải mái hơn, biết rằng chúng ta không đơn độc trong cuộc sống này.","George prosiguió: —Con nosotros no pasa así. Tenemos un porvenir. Tenemos alguien con quien hablar, alguien que piensa en nosotros. No tenemos que sentarnos en un café malgastando","el dinero sólo porque no hay otro lugar adonde ir. Si esos otros tipos caen en la cárcel, pueden pudrirse allí porque a nadie le importa. Pero nosotros, no.","nuestro tiempo y dinero en cosas sin sentido, como hacen muchos de los que se sientan solos en la ciudad. Tenemos un hogar, una familia, amigos que se preocupan",57,"nuestro tiempo y dinero en cosas sin sentido, como hacen muchos de los que se sientan solos en la ciudad. Tenemos un hogar, una familia, amigos que se preocupan por nosotros, y eso es algo que no podemos olvidar. La soledad es un sentimiento que puede invadir a cualquiera, pero cuando se tiene una red de apoyo como la nuestra, es más fácil superarla. Además, tenemos metas y objetivos que nos motivan a seguir adelante, a trabajar duro y a mejorar cada día. La vida no se trata solo de existir, sino de vivir, y nosotros hemos aprendido a aprovechar cada momento, a disfrutar de las pequeñas cosas y a no dar nada por sentado. En resumen, nuestra vida es rica en experiencias, en amor y en conexión con los demás, y eso es algo que nos llena de gratitud y de propósito.","George devam etti: ""Bize gelince iş değişir. Bizim umduğumuz var. Bizim konuşacak, bize ilgi gösterecek bir kimsemiz var. Gidecek başka yeri olmadığı için,","bir meyhanede oturup bütün parasını harcayanlar gibi değiliz biz. Ötekiler kodese girecek olsalar, geberip gitseler de kimsenin umurunda olmaz. Ama biz öyle değiliz.","herhangi bir tehlike veya zorlukla karşılaştığımızda, umudumuz ve birbirimize olan güvenimiz sayesinde her şeyi aşabileceğimize inanıyoruz. Bu nedenle, hayatın getirdiği",46,"herhangi bir tehlike veya zorlukla karşılaştığımızda, umudumuz ve birbirimize olan güvenimiz sayesinde her şeyi aşabileceğimize inanıyoruz. Bu nedenle, hayatın getirdiği tüm zorluklara rağmen, umudumuzu kaybetmemeli ve birbirimize olan bağlılığımızı güçlendirmeliyiz. İşte bu sayede, gelecekte bizi bekleyen tüm zorlukları aşabileceğimize inanıyorum."
"“’Course you did. Well, look. Lennie—if you jus’ happen to get in trouble like you","always done before, I want you to come right here an’ hide in the brush.”","did before, you just remember what I told you, and don't you go telling nobody",30,"did before, you just remember what I told you, and don't you go telling nobody nothing, or else you'll be in a whole heap of trouble, and I'll have to come after you myself, and you know I will, 'cause I'm the only one who can take care of you, and I always have, ain't I, Lennie, and you can count on me to get you out of any scrape you get yourself into, just like I always do, so you just keep your mouth shut and your ears open, and we'll get through this, together, like we always do.",- Tốt lắm! Nghe tao hao nữa đây! Lennie... nếu chẳng may mày có gây chuyện,"lôi thôi như lần trước, mày lập tức tìm chỗ này và nấp vào trong bụi rậm.","thì mày sẽ làm cho chúng ta gặp rắc rối lớn, và chúng ta sẽ không bao giờ",33,"thì mày sẽ làm cho chúng ta gặp rắc rối lớn, và chúng ta sẽ không bao giờ có thể mua được nông trại như chúng ta đã mơ ước. George sẽ phải bỏ rơi mày, và mày sẽ lại một mình, lang thang không mục đích như trước kia. Mày không muốn điều đó xảy ra, đúng không Lennie?","—Claro que sí. Bueno, oye, Lennie... Si llegas a verte en aprietos, como siempre","te ocurre, quiero que vengas a este lugar y te escondas en el matorral.","cuerda que puedes contar conmigo, ¿entiendes? Estaré allí para ayudarte,",28,"recuerda que puedes contar conmigo, ¿entiendes? Estaré allí para ayudarte, no importa lo que pase. Solo mantén la calma y piensa con claridad, que juntos podremos superar cualquier obstáculo que se nos presente, como hemos hecho siempre.","""Tabii. Peki öyleyse, dinle, Lennie... Geçen seferki gibi başını yine","belaya sokacak olursan, hemen koşup buraya gelir, çalıların arasında saklanırsın.","belki de kaldığın yerden devam edeceğiz ve sen de bana o güzel hikayeleri anlatacaksın,",20,"belki de kaldığın yerden devam edeceğiz ve sen de bana o güzel hikayeleri anlatacaksın, küçük dostum, ve ben de sana yeni şeyler öğreteceğim, birlikte güneşin altında yürüyeceğiz ve hayallerimizin peşinden gideceğiz, tıpkı çocukluğumuzda yaptığımız gibi, özgür ve mutlu, dünyanın tüm sorunlarından uzak, sadece biz ve doğa, ve sen bana o güzel, masalsı sözlerini söyleyeceksin, Lennie, ve ben de sana gülümseyeceğim, çünkü sen benim en iyi dostumsun, benim küçük, sevgi dolu kardeşimsin."
George stepped over and threw his blankets down on the burlap sack of straw that was a mattress. He,looked into his box shelf and then picked a small yellow can from it. “Say. What the hell’s this?”,"lay down, feeling the rough texture of the burlap beneath him, and gazed up at the dimly lit ceiling,",38,"lay down, feeling the rough texture of the burlap beneath him, and gazed up at the dimly lit ceiling, his mind wandering to the events that had led him to this humble abode, a small, rustic cabin on the outskirts of town, where he had been residing for the past few weeks, trying to escape the turmoil that had been brewing inside him, and the memories that haunted him still, the smell of straw and earth filling his nostrils as he drifted off into a restless sleep, the sound of crickets and the occasional hooting of an owl outside providing a soothing background melody to his troubled thoughts.",George bước lại gần và ném bó chăn lên chiếc nệm rơm. Nó nhìn cái hòm,"và với lấy một cái hộp sắt màu vàng. - Này cụ, gì đây hả trời?","của chiếc giường và thấy nó đã được khóa chặt, nhưng anh ta không",32,"của chiếc giường và thấy nó đã được khóa chặt, nhưng anh ta không để ý đến điều đó, vì anh ta quá mệt mỏi và chỉ muốn nằm xuống nghỉ ngơi, quên đi mọi thứ đã xảy ra trong ngày hôm nay, và mayhaps tìm được một giấc ngủ ngon sau một ngày dài làm việc vất vả.",George se acercó a un camastro y arrojó sus mantas en el saco de arpillera lleno de paja que formaba,el colchón. Miró el cajón de sus estantes y sacó de dentro una latita amarilla. —¡Eh! ¿Qué diablos es esto?,"su cama, y luego se sentó en el borde, mirando a su alrededor con una mezcla de curiosidad y desconfianza, como",40,"su cama, y luego se sentó en el borde, mirando a su alrededor con una mezcla de curiosidad y desconfianza, como si estuviera evaluando el lugar y a las personas que lo rodeaban, mientras su mirada se detenía en cada detalle, desde la débil luz que se filtraba por las ventanas hasta el olor a humedad y moho que impregnaba el aire, y finalmente, su atención se centró en el hombre que estaba sentado en la esquina, con la cabeza baja y los ojos cerrados, como si estuviera sumido en sus propios pensamientos, ajeno a todo lo que lo rodeaba.",George yaklaştı ve şilte vazifesini gören saman çuvalının üstüne battaniyesini attı. Raflık,"sandığına baktı ve içinden sarı bir teneke kutu aldı: ""Hey, bu da nesi?","zerinde duran küçük sandık, George'un yatağının başucunda bir masa gibi",25,"üzerinde duran küçük sandık, George'un yatağının başucunda bir masa gibi duruyordu ve üzerinde bir kandil, bir su bardağı ve George'un piposu vardı. George battaniyesini düzelttikten sonra piposunu yakmak için kandile uzandı ve piposunu yaktıktan sonra sandığa geri koydu. Odanın loş ışığında George'un yüzü, pipodan çıkan dumanın arasından belirdi ve o an, George'un yüzü, bir an önce uyuyabileceği bir yer bulduğu için mutluydu."
