en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"Aside from Eager Beaver, there are fourteen of us starting today. Fourteen of us fresh out of top-five graduate programs, and prestigious internships, and CV-beefing industry","jobs accepted exclusively to look more attractive during NASA’s next round of recruitment. There’re fourteen of us, and the thirteen that aren’t me are all nodding enthusiastically.","positions. We're the cream of the crop, the best and brightest, ready to revolutionize the industry. The air is thick with ambition and the scent of new leather from our briefcases.",53,"positions. We're the cream of the crop, the best and brightest, ready to revolutionize the industry. The air is thick with ambition and the scent of new leather from our briefcases. As we gather in the conference room, the chatter is a mix of nervous excitement and confident banter. We're all eager to make our mark, to prove that we're not just another face in the crowd. The company's CEO, a woman known for her sharp intellect and even sharper suits, strides in. Her presence commands immediate silence. ""Welcome,"" she begins, her voice steady and authoritative. ""Today marks the beginning of a new era for our company. You've been selected because of your exceptional skills and innovative ideas. But remember, in this industry, brilliance alone isn't enough. It's about teamwork, resilience, and the ability to adapt. We face challenges unlike any before, and it will require every ounce of your dedication and creativity. So, let's get to work. The future waits for no one."" The room buzzes with renewed energy as we realize the weight of our opportunity. This is our moment to shine, to prove that we're not just part of the fourteen, but the leaders of tomorrow."
"The truth, though, is quite the opposite. I hated school at first sight—with the direct consequence that school hated the sullen, listless child that I was right back. In the first grade, I refused to learn how to write my name, even though Hannah is only three letters repeated twice. In junior high, I set a school record for the highest number of consecutive detention days—what happens when","you decide to take a stand and not do homework for any of your classes because they are too boring, too difficult, too useless, or all of the above. Until the end of my sophomore year, I couldn’t wait to graduate and leave all of school behind: the books, the teachers, the grades, the cliques. Everything. I didn’t really have a plan for after, except for leaving now behind.","you consistently arrive late, skip classes, and fail to complete assignments. My teachers were at their wits' end, and my parents were called in for conferences more times than I care to remember. The turning point came unexpectedly. During one of those mandatory detention sessions, the school librarian, Mrs. Jenkins, noticed my perpetual boredom and disinterest. She took it",137,"you consistently arrive late, skip classes, and fail to complete assignments. My teachers were at their wits' end, and my parents were called in for conferences more times than I care to remember. The turning point came unexpectedly. During one of those mandatory detention sessions, the school librarian, Mrs. Jenkins, noticed my perpetual boredom and disinterest. She took it upon herself to introduce me to the world of books beyond the curriculum. It was through her that I discovered the magic of stories, the escape they offered, and the companionship of characters who understood me more than anyone else did. "
"“It’s like space is your whole personality,” the girl I casually hooked up with during most of my sophomore year of undergrad told me. It was after I explained that no, thank you, I wasn’t interested in going out for coffee to meet her friends because of a lecture on","Kalpana Chawla I was planning to attend. “Do you have any other interests?” she asked. I threw her a quick “Nope,” waved good-bye, and wasn’t too surprised when, the following week, she didn’t reply to my offer to meet up. After all, I clearly couldn’t give her what she wanted.","my upcoming exam on astrophysics. She shook her head, a look of amused exasperation painting her features. ""You know, not everyone can understand that. Most people need something more... tangible."" ",100,"my upcoming exam on astrophysics. She shook her head, a look of amused exasperation painting her features. ""You know, not everyone can understand that. Most people need something more... tangible."" "
"“Yeah, I’m not sure.” She shrugs and continues to make her way through a Tupperware of broccoli, an apple, and approximately two fucktons of Cheez-Its. “I don’t really know much about him. His parents divorced, then people in my family had arguments and stopped talking to each other. There was a lot of","prime Floyd dysfunction happening, so I haven’t actually spoken to him in years. But I heard from one of my other cousins that he was working on that thing that landed on Mars back when we were in high school. It was called something like . . . Contingency, or Carpentry, or Crudity—”","confusion and hurt feelings. I think he moved around a lot after that. He's got this accent that I can't quite place, so maybe he's lived in a few different places. Anyway, he showed up at school last semester, and he's in a couple of my classes. He's pretty quiet, but when he does talk,",106,"confusion and hurt feelings. I think he moved around a lot after that. He's got this accent that I can't quite place, so maybe he's lived in a few different places. Anyway, he showed up at school last semester, and he's in a couple of my classes. He's pretty quiet, but when he does talk, it's like he's seen things or knows things that most of us don't. It's kind of intriguing, you know? He's not the type to just blend into the background. There's something about him that makes you want to pay attention, even if you're not sure why. "
"“I think so. Do the dates add up? Maybe it was some kind of summer internship? But honestly, it might just be Floyd family lore. I have an aunt who insists that we’re related to","the Finnish royals, and according to Wikipedia there are no Finnish royals. So.” She shrugs and pops another handful of Cheez-Its in her mouth. “Would you like me to ask around, though? For the assignment?”","some long-lost European nobility. She's got all these old documents and family trees that she claims trace back to some duke or baron. But when you look closely, it's all a bit too convenient, the lines are",70,"some long-lost European nobility. She's got all these old documents and family trees that she claims trace back to some duke or baron. But when you look closely, it's all a bit too convenient, the lines are too straight, and the dates are suspiciously round numbers. It's like she's connecting dots that aren't really there. Anyway, Floyd family history is full of these kinds of stories. They're entertaining, but I wouldn't stake my reputation on their accuracy. The real history of the Floyd family is probably a lot less glamorous but certainly more interesting in its own right. It's the everyday struggles, triumphs, and the genuine connections we've made over the generations that truly define us, not some fanciful tales of distant, dubious royalty."
"“By the way, I sent you my cousin-or-something’s contact info a while ago,” Mara tells me one night. We’re at the",cheapest grad bar we’ve been able to find. She’s on her second Midori sour of the night. “Did you get it?”,"local diner, our usual spot for late-night chats. The jukebox plays a soft melody in the background, and the",42,"local diner, our usual spot for late-night chats. The jukebox plays a soft melody in the background, and the smell of greasy fries wafts through the air. ""Yeah, I got it,"" I reply, sipping my coffee. ""I've been meaning to reach out, but things have been crazy. How's she doing?"" Mara's face lights up, her eyes sparkling with excitement. ""Oh, you won't believe it! She's been accepted into this amazing art program in New York. It's her dream come true!"" Her enthusiasm is infectious, and I can't help but smile. ""That's fantastic news! I'm really happy for her."" Mara leans in, her voice dropping to a conspiratorial whisper. ""But that's not all. She's also started dating this guy she met at a gallery opening. He's an artist too, and they're like, totally into each other."" I chuckle, shaking my head. ""Mara, you make it sound like a soap opera. But seriously, it's great to hear she's moving forward with her passions and finding happiness."" We continue to chat, the night slipping away as we delve into the details of her cousin's life, the warmth of friendship enveloping us."
"He frowns, as if momentarily blanking on Mara’s name. “Ah, yes.” He nods. Only once. “Apparently,” he adds, which makes me laugh. He waits for me to take a seat","across from him before folding back in his chair. I notice that he doesn’t hold out his hand, nor does he smile. Interesting. “Thank you for agreeing to meet with me.”","before continuing. ""So, you're here about the job,"" he says, his tone shifting from the previous casualness to something more businesslike. ""Yes,"" I affirm, trying to keep",61,"before continuing. ""So, you're here about the job,"" he says, his tone shifting from the previous casualness to something more businesslike. ""Yes,"" I affirm, trying to keep my excitement in check. ""I've heard about the opportunity from a friend and I'm very interested."" His frown momentarily returns, as if he's considering something deeply. ""We've had a lot of applicants,"" he starts, his gaze piercing through me. ""But what sets you apart?"" The question hangs in the air, heavy with expectation. I take a deep breath, ready to articulate why I'm the perfect candidate for this job. ""Well,"" I begin, ""I've always been passionate about this field. My education and previous experience have equipped me with the necessary skills, and I'm eager to bring fresh ideas and dedication to your team."" His expression softens slightly, a hint of approval flickering in his eyes. ""That's good to hear,"" he says, leaning back in his chair. ""We value passion and innovation here. Tell me, what do you think you can bring to this position that others might not?"" The question is challenging, but I'm ready. I delve into specifics about my unique qualifications, experiences, and how I plan to contribute to the company's goals. His nodding suggests he's impressed, and as I finish, he smiles genuinely. ""You've made a strong case,"" he acknowledges. ""We'll be in touch soon with the next steps."" The meeting ends on a hopeful note, and as I leave his office, I can't help but feel optimistic about my chances. This job could be the perfect next step in my career, and I'm eager to see where this journey leads."
"“Officially: unclear. But I’m fairly sure my brother made CDs of it. Sent them to local TV stations and whatnot.” He gestures vaguely, and his forearm is dusted with freckles and pale-red hair. I want to grab his wrist, hold it in front","of my eyes, study it at my leisure. Trace, smell, touch. “I haven’t spent a holiday with the Floyd side of the family in twenty years, but I’m told that the video is a source of great entertainment for all age groups at Thanksgiving.”","of me like a mirror reflecting the sun, so I can see every detail, every tiny imperfection. But I resist the urge. Instead, I nod, my curiosity piqued. ",87,"“of me like a mirror reflecting the sun, so I can see every detail, every tiny imperfection. But I resist the urge. Instead, I nod, my curiosity piqued. "
"The section is in C++. Which happens to be the very first language I taught myself back in high school, when every single Google search for “Skills + Necessary + NASA” led to the sad result of “Programming.” Python came after. Then SQL. Then HAL/S. For each language, I started out convinced that chewing on","glass would surely be preferable. Then, at some point along the way, I began thinking in terms of functions, variables, conditional loops. A little after that, reading code became a bit like inspecting the label on the back of the conditioner bottle while showering: not particularly fun, but overall easy. I do have some talents, apparently.","syntax manuals would be more enjoyable than actually coding in it. Yet, with time, each one became a familiar tool in my mental toolbox. C++ was no exception. Its complexity, its strictness, and its ability to allow a programmer to get as close to the metal as possible were both daunting and exhilarating. The language demanded precision, discipline,",111,"chewing on syntax manuals would be more enjoyable than actually coding in it. Yet, with time, each one became a familiar tool in my mental toolbox. C++ was no exception. Its complexity, its strictness, and its ability to allow a programmer to get as close to the metal as possible were both daunting and exhilarating. The language demanded precision, discipline, and a deep understanding of how computers work at a fundamental level. "
"My heart rate picks up. Warmth twists in my lower stomach. I lean forward with a smile, feeling like I’m finally in my element. This, this, is what I know best. Depending on how busy I am with school, or work, or binge-watching K-dramas,","I do this about once a week. Which amounts to quite a bit of practice. “Maybe I could come to your place?” I say, finding the sweet spot between comically suggestive and Let’s get together to play Cards Against Humanity. “And you could show me?”","my schedule can vary, but I always make time for this. The thrill of the chase, the adrenaline rush, it's intoxicating. I meticulously plan my routes, studying maps and satellite images to ensure I'm not just prepared but over-prepared. My gear is",89,"my schedule can vary, but I always make time for this. The thrill of the chase, the adrenaline rush, it's intoxicating. I meticulously plan my routes, studying maps and satellite images to ensure I'm not just prepared but over-prepared. My gear is always ready, a backpack filled with essentials: a headlamp for the darker nights, a multi-tool for unexpected obstacles, a first aid kit because safety comes first, and a small notebook to jot down notes or sketch landmarks. "
