en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"Aside from Eager Beaver, there are fourteen of us starting today. Fourteen of us fresh out of top-five graduate programs, and prestigious internships, and CV-beefing industry","jobs accepted exclusively to look more attractive during NASA’s next round of recruitment. There’re fourteen of us, and the thirteen that aren’t me are all nodding enthusiastically.","positions. We are the cream of the crop, the chosen few, handpicked from a sea of applicants. The air is thick with anticipation and the scent of new leather from our briefcases. We",53,"positions. We are the cream of the crop, the chosen few, handpicked from a sea of applicants. The air is thick with anticipation and the scent of new leather from our briefcases. We gather in the grand lobby of the corporate headquarters, a building that pierces the sky and symbolizes success. The CEO's speech hangs in the air, a mix of encouragement and challenge. We listen intently, our minds racing with ambition and the desire to make our mark. The day ahead promises not only the start of our careers but also the beginning of a journey filled with learning, growth, and hopefully, triumph. As the meeting concludes, we break into smaller groups, assigned to different departments. The initial nervousness is replaced by a surge of excitement. We exchange contact details, promising to keep in touch, to support each other through the inevitable ups and downs. This is it, the moment we've all been waiting for. The moment where theory meets practice, and our academic knowledge is put to the test. The path ahead is uncertain, but the potential rewards are immense. We are ready to dive in, to prove ourselves, and to become the leaders of tomorrow."
"The truth, though, is quite the opposite. I hated school at first sight—with the direct consequence that school hated the sullen, listless child that I was right back. In the first grade, I refused to learn how to write my name, even though Hannah is only three letters repeated twice. In junior high, I set a school record for the highest number of consecutive detention days—what happens when","you decide to take a stand and not do homework for any of your classes because they are too boring, too difficult, too useless, or all of the above. Until the end of my sophomore year, I couldn’t wait to graduate and leave all of school behind: the books, the teachers, the grades, the cliques. Everything. I didn’t really have a plan for after, except for leaving now behind.","output>you combine a stubborn streak with a complete lack of interest in the curriculum. My teenage years were a blur of indifference and rebellion, marked by a series of suspensions for various acts of defiance. It wasn't until much later, when I was well into my twenties, that I began to understand the value of education. It was a slow realization, sparked by a series of life",137,"<output>you combine a stubborn streak with a complete lack of interest in the curriculum. My teenage years were a blur of indifference and rebellion, marked by a series of suspensions for various acts of defiance. It wasn't until much later, when I was well into my twenties, that I began to understand the value of education. It was a slow realization, sparked by a series of life events that forced me to confront my own ignorance and the limitations it imposed."
"“It’s like space is your whole personality,” the girl I casually hooked up with during most of my sophomore year of undergrad told me. It was after I explained that no, thank you, I wasn’t interested in going out for coffee to meet her friends because of a lecture on","Kalpana Chawla I was planning to attend. “Do you have any other interests?” she asked. I threw her a quick “Nope,” waved good-bye, and wasn’t too surprised when, the following week, she didn’t reply to my offer to meet up. After all, I clearly couldn’t give her what she wanted.","output>space exploration that I had to attend. She looked at me with a mix of confusion and amusement, her eyes reflecting the same stars that had always captivated me. ""Space is vast, endless,"" I continued, my voice carrying the weight of my passion. ""It's not just a subject; it's",100,"<output>space exploration that I had to attend. She looked at me with a mix of confusion and amusement, her eyes reflecting the same stars that had always captivated me. ""Space is vast, endless,"" I continued, my voice carrying the weight of my passion. ""It's not just a subject; it's a universe of possibilities, of questions waiting to be answered. It's the thrill of the unknown, the beauty of the cosmos laid bare. It's the feeling of being a tiny speck in an immense expanse, yet knowing that this speck can dream of reaching the stars."""
"“Yeah, I’m not sure.” She shrugs and continues to make her way through a Tupperware of broccoli, an apple, and approximately two fucktons of Cheez-Its. “I don’t really know much about him. His parents divorced, then people in my family had arguments and stopped talking to each other. There was a lot of","prime Floyd dysfunction happening, so I haven’t actually spoken to him in years. But I heard from one of my other cousins that he was working on that thing that landed on Mars back when we were in high school. It was called something like . . . Contingency, or Carpentry, or Crudity—”","confusion and hurt feelings. I think he moved around a lot after that, but I'm not certain. He's always been a bit of a mystery to me. We weren't close growing up, and even now, we're more like acquaintances than friends. I know he's into photography, which is how we ended up talking",106,"confusion and hurt feelings. I think he moved around a lot after that, but I'm not certain. He's always been a bit of a mystery to me. We weren't close growing up, and even now, we're more like acquaintances than friends. I know he's into photography, which is how we ended up talking again recently. He posted some photos on social media that caught my eye. They were really good, you know? There was this one of an old, abandoned house that just stopped me in my tracks. It was like the photo had a story of its own, full of secrets and forgotten moments. After I commented on it, he messaged me, and we started chatting more. He's actually pretty cool, very laid back and easy to talk to. We've met up a couple of times for coffee, just to catch up and talk about photography. He's been teaching me some techniques, which is awesome. I never really thought about getting into photography before, but now I'm really enjoying it. It's funny how life works, isn't it? You go through years without much contact with someone, and then suddenly, there's a connection. I guess it just goes to show that people can come back into your life when you least expect it, and sometimes, it's for the better. Anyway, that's pretty much all I know about him. If you want to get to know him better, maybe you should just talk to him directly. People are usually more open than we think.” She takes a sip of her water, her expression thoughtful. “I hope that helps, and good luck with your project!”"
"“I think so. Do the dates add up? Maybe it was some kind of summer internship? But honestly, it might just be Floyd family lore. I have an aunt who insists that we’re related to","the Finnish royals, and according to Wikipedia there are no Finnish royals. So.” She shrugs and pops another handful of Cheez-Its in her mouth. “Would you like me to ask around, though? For the assignment?”","some distant, noble lineage, despite no concrete evidence. The Floyd family tree is full of such stories, each more fantastical than the last. My grandfather, in his later years, would regale us with tales of",70,"some distant, noble lineage, despite no concrete evidence. The Floyd family tree is full of such stories, each more fantastical than the last. My grandfather, in his later years, would regale us with tales of a great-great-grandfather who supposedly sailed with Captain Cook, despite the historical inaccuracy. It's fascinating how these narratives evolve over time, becoming a part of family identity, even if they're more fiction than fact. Perhaps the internship story is another such embellishment, a way to add a touch of glamour or intrigue to our otherwise ordinary lineage. In any case, it's these stories that make family gatherings lively and memorable, even if they're not grounded in historical truth. They serve as a reminder of our shared past, however embellished it may be, and the bonds that tie us together. "
"“By the way, I sent you my cousin-or-something’s contact info a while ago,” Mara tells me one night. We’re at the",cheapest grad bar we’ve been able to find. She’s on her second Midori sour of the night. “Did you get it?”,"local coffee shop, the warm glow of fairy lights casting a cozy ambiance over our table. The scent of freshly",42,"local coffee shop, the warm glow of fairy lights casting a cozy ambiance over our table. The scent of freshly ground coffee beans mingles with the sweet aroma of baked goods, creating a comforting backdrop to our conversation. ""Yeah, I remember,"" I say, sipping my latte. ""I haven't had a chance to reach out yet. How's she doing?"" Mara's face softens, a hint of worry creasing her forehead. ""She's been struggling a bit. The divorce hit her harder than I thought it would. She's trying to find her footing again, but it's tough."" I nod, understanding the weight of such a life change. ""I'll give her a call tomorrow. Maybe she just needs someone to listen."" Mara's eyes light up with gratitude. ""That would mean the world to her. Thanks."" We sit in comfortable silence for a moment, each lost in our thoughts about Mara's cousin and the complexities of life's transitions. The night continues with easy banter and shared laughter, but the promise of reaching out hangs between us, a small gesture of support in a vast sea of challenges."
"He frowns, as if momentarily blanking on Mara’s name. “Ah, yes.” He nods. Only once. “Apparently,” he adds, which makes me laugh. He waits for me to take a seat","across from him before folding back in his chair. I notice that he doesn’t hold out his hand, nor does he smile. Interesting. “Thank you for agreeing to meet with me.”","before continuing, ""she's quite the character, isn't she? Always full of surprises. I heard she managed to turn the entire gardening club meeting into a spontaneous dance",61,"before continuing, ""she's quite the character, isn't she? Always full of surprises. I heard she managed to turn the entire gardening club meeting into a spontaneous dance party last week. That's Mara for you."" He chuckles, shaking his head in amusement. ""Anyway, I suppose you're here about the upcoming project? I've got some new ideas I think you'll find quite interesting. Let's dive into it."" He gestures towards the chairs, inviting me to take a seat as he prepares to delve into the details of our upcoming collaboration."
"“Officially: unclear. But I’m fairly sure my brother made CDs of it. Sent them to local TV stations and whatnot.” He gestures vaguely, and his forearm is dusted with freckles and pale-red hair. I want to grab his wrist, hold it in front","of my eyes, study it at my leisure. Trace, smell, touch. “I haven’t spent a holiday with the Floyd side of the family in twenty years, but I’m told that the video is a source of great entertainment for all age groups at Thanksgiving.”","output>of me, to feel the warmth of his skin, to anchor myself in this surreal conversation. But I resist, tucking my hands into my pockets instead. ""And what happened then? Did they play it?"" I ask, trying to keep the curiosity out of",87,"<output>of me, to feel the warmth of his skin, to anchor myself in this surreal conversation. But I resist, tucking my hands into my pockets instead. ""And what happened then? Did they play it?"" I ask, trying to keep the curiosity out of my voice, but it's clear I'm hanging on his every word."
"The section is in C++. Which happens to be the very first language I taught myself back in high school, when every single Google search for “Skills + Necessary + NASA” led to the sad result of “Programming.” Python came after. Then SQL. Then HAL/S. For each language, I started out convinced that chewing on","glass would surely be preferable. Then, at some point along the way, I began thinking in terms of functions, variables, conditional loops. A little after that, reading code became a bit like inspecting the label on the back of the conditioner bottle while showering: not particularly fun, but overall easy. I do have some talents, apparently.","output>chewing on the syntax would be akin to gnawing on a piece of code-infused beef jerky. But as I delved deeper, I discovered that each language was more like a different flavor of ice cream, with its unique texture and taste. C++ was my rocky road, full of nuts (classes and objects) and chocolate chunks (pointers and memory management).",111,"<output>chewing on the syntax would be akin to gnawing on a piece of code-infused beef jerky. But as I delved deeper, I discovered that each language was more like a different flavor of ice cream, with its unique texture and taste. C++ was my rocky road, full of nuts (classes and objects) and chocolate chunks (pointers and memory management). The initial crunch of syntax was daunting, but as I grew accustomed to its robustness, I appreciated how it forced me to think about the machine's raw capabilities."
"My heart rate picks up. Warmth twists in my lower stomach. I lean forward with a smile, feeling like I’m finally in my element. This, this, is what I know best. Depending on how busy I am with school, or work, or binge-watching K-dramas,","I do this about once a week. Which amounts to quite a bit of practice. “Maybe I could come to your place?” I say, finding the sweet spot between comically suggestive and Let’s get together to play Cards Against Humanity. “And you could show me?”","the timing of when I can fully immerse myself in this passion varies. But when the opportunity arises, I seize it with both hands. The thrill of the chase, the adrenaline rush, it's all intoxicating. I meticulously plan my route, checking the weather,",89,"the timing of when I can fully immerse myself in this passion varies. But when the opportunity arises, I seize it with both hands. The thrill of the chase, the adrenaline rush, it's all intoxicating. I meticulously plan my route, checking the weather, the tides, and any potential obstacles. The equipment is meticulously prepared, each piece checked and rechecked for functionality. As I stand at the edge of the water, the early morning mist still lingering, I feel a profound sense of calm. This is my sanctuary, my escape. The boat is ready, the rod is in hand, and the bait is set. With a deep breath, I push off, the silence of the dawn enveloping me. The gentle lapping of the waves against the hull is a soothing rhythm, a prelude to the potential symphony of a catch. I navigate with practiced ease, knowing the spots where the fish are most likely to be. The anticipation builds as I cast my line, the weight of the lure pulling it gracefully through the air before it splashes into the water. I wait, patient and still, the only sounds are the natural world around me. Hours can pass like moments in this state of serene focus. And then, suddenly, the line tugs. My heart leaps. This is it. The battle begins. I reel in with calculated force, feeling the resistance, the struggle of the fish on the other end. It's a dance, a test of strength and wits. Sometimes, the fish escapes, darting away with a flick of its tail. But other times, with a final, triumphant pull, it's brought into the boat. The satisfaction of landing a catch is unparalleled. Whether it's a small, silver fish or a larger, more challenging catch, each one is a victory. I take a moment to admire my prize, the vibrant colors and the life that still flickers in its eyes. Then, with a practiced hand, I release it back into the water, watching as it swims away, a testament to the cycle of nature. This is my passion, my love. Fishing is more than a hobby; it's a connection to the natural world, a reminder of the beauty and complexity of life. As I head back to shore, the sun rising higher in the sky, I feel a deep sense of contentment. This is where I belong, on the water, with my rod and my dreams. The day may be young, but already, it's been filled with purpose and joy. And as I clean up and prepare for whatever comes next, whether it's school, work, or another episode of a K-drama, I carry with me the peace and excitement of the morning's adventure. This is my life, a balance of responsibilities and passions, and I wouldn't have it any other way."
