en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"“I think I’m all set here,” he says, and lol of course he isn’t going","to kiss me. “But if I forgot anything, you can have Jake come pick it up.”","to actually leave; he's standing there, hands in his pockets, looking around",31,"to actually leave; he's standing there, hands in his pockets, looking around as if he's just realized he's forgotten something crucial, like his own exit strategy or the concept of personal space."
"Jake: younger brother to West (and only slightly less good-looking) and that type of college friend who knows everything about my life at UCLA but has never met my father, who lives only an hour away.","Jake introduced me to West; now Jake will be my sole remaining connection to West. The thought makes me a little sad, but then I remember I have the couch and T-virus zombies waiting for me inside.",completion,73,completion
"“You, too.” West smiles that eye-crinkling smile again, and","damn, I really wish I’d seen it more. “Bye, Anna.”","he reaches out, brushing a stray lock of hair from",19,"he reaches out, brushing a stray lock of hair from her face, his touch gentle and reassuring."
"I feel her attention move from the empty apartment to the side of my face, and when I smile","over at her, her blue eyes are round with worry. “Holy shit, Anna, I had no idea. Are you okay?”","she returns the gesture with a warmth that seems to fill the room, her eyes reflecting a depth of",39,"she returns the gesture with a warmth that seems to fill the room, her eyes reflecting a depth of emotion that speaks volumes of the connection we've silently forged in this brief encounter."
"“That is wonderful news, sweetheart! Oh, I’m so thrilled! Why don’t you fly down to John Wayne the night","before, stay at the house, and we’ll all take the plane over together? The flight to Singapore is a bear.”","airport and surprise him? It will be a moment he'll never forget, and it shows how much you care. Plus, it's",39,"airport and surprise him? It will be a moment he'll never forget, and it shows how much you care. Plus, it's a romantic gesture that will surely make his day brighter and bring a smile to his face, strengthening your bond as a couple."""
"“Anna?” he says, like he’s not entirely sure, and then does a full top-to-bottom sweep of my body, which recalls the lack of pants.","When he digs his hand into his luscious head of hair, I forget to be embarrassed again, because it all comes back to me.","causing my cheeks to flush a deep crimson, a reaction he seems to find amusing, as a smirk plays on his lips, his eyes twinkling",48,"causing my cheeks to flush a deep crimson, a reaction he seems to find amusing, as a smirk plays on his lips, his eyes twinkling with a mix of curiosity and amusement at my evident discomfort."
The expression he makes is like the meme of that one kid who smiles and then immediately bursts into tears.,West is staring at me like he’s doomed but must pretend to be happy about it. “Anna. You look… great?”,"His eyes widen, a sudden shift from the innocent grin, as if he's just realized the gravity of the situation,",40,"His eyes widen, a sudden shift from the innocent grin, as if he's just realized the gravity of the situation, his smile faltering, replaced by a look of sheer panic, his hands nervously fidgeting at his sides, betraying the inner turmoil that his outward demeanor desperately tries to conceal."
"Stepping aside, I let him pass, and he pulls up short at what’s on the television screen. Conan is",enthusiastically fucking a witch in a cave. We both clear our throats and look up at the ceiling instead.,"delivering a monologue about the absurdity of everyday life, his humor striking a chord with the late-night",38,"delivering a monologue about the absurdity of everyday life, his humor striking a chord with the late-night audience, his delivery impeccable, the laughter filling the room, a testament to his unique brand of comedy, a blend of wit and absurdity that has made him a household name, his presence on the screen a comforting familiarity, a beacon of light in the often-serious world of late-night talk shows, his ability to make people laugh a powerful tool, cutting through the noise of the day, reminding viewers of the joy found in simplicity, Conan O'Brien's presence on television a cherished ritual for many, his show a blend of interviews, sketches, and his own brand of humor, creating a space where laughter is king, and the absurd becomes the norm."
"He adjusts his posture on the sofa, turning slightly to face me. Oh, right. He came here to","ask me for help. I sit up, too, tucking a loose strand of hair behind my ear. Focus, Anna.","discuss the matter of the missing artifact. His expression is serious, betraying a sense of",37,"discuss the matter of the missing artifact. His expression is serious, betraying a sense of urgency that wasn't present before. ""I need your help,"" he says, his voice low and intense. ""The artifact, it's crucial, and someone is trying to keep it hidden. I believe it holds the key to something much bigger than we've been led to believe."" He pauses, taking a deep breath, as if the words were difficult to articulate. ""I need your expertise, your insight. We have to find it before it's lost forever."" His eyes lock onto mine, a silent plea for understanding and cooperation. The gravity of the situation is palpable, and I realize that whatever this artifact is, its discovery could change everything. The air between us is thick with anticipation and the weight of an impending adventure. ""So, what do we do first?"" I ask, my curiosity piqued, ready to dive into the mystery that has brought him to my doorstep. His response is immediate, a plan already forming in his mind. ""We start by gathering information,"" he says, his voice steady once more. ""We look into the history of the artifact, who's been involved, and what they might be hiding. We'll need to be discreet, careful not to attract attention."" As he outlines the steps, I can't help but feel a thrill of excitement. This isn't just another case; it's something significant, something that could alter the course of history. With a newfound sense of purpose, I nod in agreement, ready to embark on this journey with him. Together, we'll unravel the mystery of the missing artifact, no matter the obstacles in our path. "
"“I knew what Jake ordered for lunch and what kinds of stupid movies would make him laugh, and I could predict all his pickup lines","at parties, but we didn’t ever, like, sit down and do backstory. He didn’t even mention he had a brother until he suggested I marry you.”","because he was a creature of habit, predictable in his tastes and behaviors. But today, something was different. Jake walked into the room",51,"because he was a creature of habit, predictable in his tastes and behaviors. But today, something was different. Jake walked into the room with a spring in his step and a twinkle in his eye that I had never seen before. He ordered a salad instead of his usual burger, and when the movie started, he was silent, his gaze fixed on the screen with an intensity that made me sit up straight. His first line wasn't a worn-out joke but a genuine question about my day, followed by a genuine interest in my response. It was as if a switch had been flipped, and Jake, the man I thought I knew so well, was revealing a side of himself I had never seen. It was both thrilling and unsettling, leaving me to wonder if I had been missing something crucial about the people around me, assuming their predictability without truly seeing them. This new Jake was a mystery, and I found myself eager to learn more, to understand the cause of this sudden change, and perhaps most importantly, how it would affect our relationship moving forward."
