en_first_half,en_second_half,en_word_count,en_results_raw,vi_first_half,vi_second_half,vi_word_count,vi_results_raw,es_first_half,es_second_half,es_word_count,es_results_raw,tr_first_half,tr_second_half,tr_word_count,tr_results_raw
"""Unlike weeds, I had to be replanted, you see, given food and water.","On account of you. That was the deal Jalil made with his family.""",26,"In this way, I learned that growth isn't always about thriving in the wild; sometimes, it's about nurturing within a structured environment, which can be just as challenging and rewarding.","“Nhưng khác loài cỏ dại, mẹ được người ta mang đi trồng lại, con thấy đấy, được cho thức",ăn và nước uống. Vì con đấy. Đó là những gì Jalil đã thỏa thuận với gia đình ông ta.”,39,"Mẹ đặt con vào tay người lạ, nhưng con không bao giờ quên gốc gác của mình. Dù nơi nào con cũng tìm thấy sức mạnh từ những ký ức về người mẹ đã từng yêu thương con vô điều kiện.","–Pero, al contrario de lo que se hace con los hierbajos, a mí tenían que volver a plantarme, ¿entiendes?",Tenían que darme agua y comida. Por ti. Éste fue el acuerdo al que llegó Yalil con su familia.,38,"–Sí, claro que entiendo. Pero esta vez no se trata de simplemente regar la tierra y esperar que crezcan. Es cuestión de tiempo, esfuerzo y, sobre todo, confianza en el proceso. A veces, lo que parece imposible es solo una cuestión de perspectiva.","“Ancak, yabani otların aksine, benim yeniden bir yere ekilmem, beslenip","sulanmam gerekiyordu. Senin hatırına. İşte, Celil’in ailesiyle yaptığı sözleşme buydu.",20,"Ayrıca eczanelerde bulunabilecek çeşitli ilaçlarla birlikte yetiştirilirken, doğal ekosistemlerdeki yabani otların besin değeri çok daha yüksek olur."
"""When the pain got bad, I'd bite on a pillow and scream into it until I was hoarse. And still no one came to wipe my face or give me a drink of water. And you,","Mariam jo, you were in no rush. Almost two days you made me lay on that cold, hard floor. I didn't eat or sleep, all I did was push and pray that you would come out.""",72,"And you, why didn't you do something? Why did you just stand there, watching me suffer? It wasn't until much later that I realized how alone I truly was. No one seemed to care, and the silence was deafening. I learned that night the true meaning of isolation, a lesson that haunts me still. If only someone had intervened, maybe things would have been different. But as it stands, that night remains etched in my memory as a stark reminder of the worst moments of my life.","“Khi những cơn đau hành hạ, mẹ phải cắn vào gối và la hét cho đến khi lạc cả giọng. Vậy mà vẫn chẳng có ai đến để lau mồ hôi trên mặt mẹ hay rót cho mẹ một cốc nước. Và con, Mariam","bé bỏng, con cũng chẳng vội gì. Con đã để cho mẹ nằm trên sàn nhà cứng lạnh gần hai ngày liền. Mẹ không ăn, không ngủ, tất cả những gì mẹ làm được là cố rặn và cầu nguyện để con sớm chui ra.”",89,"Mariam, con gái nhỏ của mẹ, đã ngồi lặng lẽ bên cạnh, nắm chặt tay mẹ, cố gắng truyền thêm sức mạnh cho mẹ. Dù không có ai khác đến giúp đỡ,Mariam hiểu rằng trách nhiệm của cô là ở đây, bên cạnh mẹ, để chia sẻ nỗi đau và hy vọng rằng những giây phút này sẽ sớm qua đi. Mỗi lần mẹ thở hổn hển, Mariam đều nhẹ nhàng xoa lưng cho mẹ, mong rằng hành động nhỏ bé này có thể mang lại chút an ủi. Trong ánh đèn mờ ảo,Mariam cảm thấy mình là người duy nhất có thể làm điều gì đó, dù nhỏ bé, để giúp mẹ vượt qua cơn đau này.","–Cuando el dolor se hizo insoportable, mordí una almohada y grité hasta quedarme ronca. Pero nadie acudió a secarme la cara ni darme un trago de agua. Y","tú, Mariam yo, no tenías prisa. Casi dos días me tuviste tumbada en el frío y duro suelo. No comí ni dormí, sólo empujaba y rezaba para que salieras.",57,"Y en medio de la oscuridad y el silencio, sentí una profunda soledad que nunca había experimentado. Aquella noche, comprendí que la humanidad no siempre está presente para confortar. Sin embargo, en el fondo de mi corazón, algo dentro de mí comenzó a resistirse, a luchar contra la desesperación. Sabía que no estaba solo en mi lucha, que había fuerzas más allá de lo tangible que me acompañaban en silencio.","“Sancılar arttığında, yastığı ısırıyor, sesim kısılıncaya kadar bağırıyordum. Yine de, bir Allah kulu gelip yüzümü silmedi, bir bardak su vermedi. Sana gelince, Meryem co, hiç acele etmedin","kızını! O soğuk, taş gibi zeminde tam iki gün yatırdın beni. Ne bir şey yedim, ne de uyudum; sürekli ıkınıyor, bir an önce gelmen için Tanrı’ya yakarıyordum.",54,"Sana gelince, Meryem co, hiç acele etmedin. Ama bu dünyada her zaman ne kadar sabırlı olursun, her zaman bir sorunun var olacağını düşünmek gerekir. Her şeyin bir sonu var, ama bu durumda her şeyin sonu ne olacağını bilemiyorum. Belki de en doğru şey, sadece kendim için bir yola kavuşturmak. İşte böylece, her şeyin içinde kendimden uzaklaşmayı deneyebilirim."
"""Is that what you want?"" Mullah Faizullah said, looking at her with his soft, watery eyes, his","hands behind his stooping back, the shadow of his turban falling on a patch of bristling buttercups.",34,"""Is that what you want?"" Mullah Faizullah said, looking at her with his soft, watery eyes, his gaze filled with a mixture of pity and something else she couldn't quite place. She nodded slowly, her heart pounding in her chest, wondering if this was truly what she had been seeking all along, or if it was just another trap woven by the intricate web of his influence.","“Có phải đó là điều con muốn?” Giáo sĩ Faizullah hỏi, nhìn cô bé với đôi mắt dịu dàng và long lanh nước, đôi tay chắp","sau tấm lưng còng, bóng của chiếc khăn ông đội trên đầu đổ dài trên mảnh đất có những cây mao lương hoa vàng mọc tua tủa.",53,"“Có phải đó là điều con muốn?” Giáo sĩ Faizullah hỏi, nhìn cô bé với đôi mắt dịu dàng và long lanh nước, đôi tay chắp. Em không biết nữa thưa ngài, cô bé đáp, giọng run rẩy. “Em chỉ muốn mọi thứ trở nên tốt đẹp hơn, nhưng em không biết mình có nên làm theo con đường mà ngài đã chỉ cho em hay không.” Giáo sĩ Faizullah mỉm cười nhẹ, đặt tay lên đầu cô bé và nói: “Con bé yêu, con đã làm đúng. Hãy tin vào trái tim của mình và bước đi theo con đường mà con cảm thấy là đúng.”","–¿Es eso lo que quieres? – preguntó el ulema Faizulá, fijando en ella sus dulces ojos llorosos, con",las manos a la espalda y la sombra de su turbante proyectándose sobre una mata de hirsutos ranúnculos.,36,"–¿Es eso lo que quieres? – preguntó el ulema Faizulá, fijando en ella sus dulces ojos llorosos, con una mezcla de tristeza y esperanza. Ella asintió lentamente, sintiendo cómo el corazón le latía con fuerza en el pecho. ""Entonces, ¿estás segura de esto?"" insistió él, tomando su mano entre las suyas. ""Porque una vez que lo decidas, no habrá vuelta atrás,"" añadió, mientras un silencio tenso se extendía entre ambos, roto solo por el sonido de sus respiraciones entrecortadas.","“İstediğin bu mu?” dedi Molla Feyzullah o sevecen, sulu gözlerini kıza dikerek;","ellerini arkada, bükülmüş belinde kavuşturmuştu, sarığının gölgesi dikenli düğünçiçeklerinden oluşan, küçük öbeğe düşüyordu.",25,"Molla Feyzullah, kızın yüzüne gülümseyerek, ""Eğer bu değilse, ne istiyorsun?"" diye sordu. Kız başını sallayarak, ""Hiçbir şey istemiyorum,"" dedi. Molla ise, ""Yoksa bu senin isteğin mi?"" diye tekrar sordu, sanki bu sorma da bir tehdit gibiydi."
"She went on to say how Mil's wives had called her an ugly, lowly stone carver's daughter. How",they'd made her wash laundry outside in the cold until her face went numb and her fingertips burned.,36,"She went on to say how Mil's wives had called her an ugly, lowly stone carver's daughter. How they spread rumors about her family, painting them in the worst possible light. Despite the pain, she refused to let their words define her, instead focusing on her craft and the respect she earned through her hard work. Her resilience became a source of inspiration for many, proving that one's worth is not dictated by lineage but by actions and character.",Rồi bà tiếp tục nói về chuyện bị các bà vợ của Jalil gọi là con gái của người thợ đẽo đá xấu xí và thấp hèn như thế,"nào, chuyện họ bắt bà phải giặt quần áo ngoài trời lạnh cho đến lúc mặt tê cóng và các đầu ngón tay tím tái cả lại ra sao.",58,"Rồi bà tiếp tục nói về chuyện bị các bà vợ của Jalil gọi là con gái của người thợ đẽo đá xấu xí và thấp hèn như thế. Bà không thể chịu đựng được những lời lẽ ấy, nhưng bà biết rằng mình phải giữ bình tĩnh và không để họ thấy được nỗi đau trong lòng. Trong mắt họ, bà chỉ là một người phụ nữ không đáng giá, nhưng trong trái tim của Jalil, bà luôn là người đặc biệt. Những lời nói xấu ấy không thể làm suy giảm tình yêu và sự tôn trọng mà Jalil dành cho bà.","Y añadió que las mujeres de Yalil la habían llamado horrible y sucia hija de cantero, y que la habían obligado",a lavar la ropa en medio del frío hasta que la cara se le quedaba helada y le ardían los dedos.,42,"Y añadió que las mujeres de Yalil la habían llamado horrible y sucia hija de cantero, y que la habían obligado a limpiar excrementos en público como castigo por algo que ella no había hecho. A pesar de todo, ella mantuvo su dignidad y nunca se quejó, demostrando una fortaleza que sorprendió incluso a sus enemigos.","Sonra, başladı sıralamaya: Celil’in karılarının onu nasıl basit bir taş işçisinin çirkin kızı diye","aşağıladığını. Çamaşırı nasıl dışarıda, buz gibi havada yıkattıklarını; yüzünün soğuktan nasıl uyuştuğunu, parmak uçlarının yandığını.",29,"Sonra, başladı sıralamaya: Celil’in karılarının onu nasıl basit bir taş işçisinin çirkin kızı diye çağrıştırdıkları olaydan bahsetti. Celil, bu konuda çok duygusal davranıyordu ve karıları hakkında herhangi bir kelimeyi duymaktan korkuyordu. Onların bu tutumunu anlamak zorunda kalmadan, Celil de kendi hislerini ifade etmeye çalışıyordu. Bu konuda herkesin fikirleri farklıydı ve bu farklılıklar Celil'in aile içindeki ilişkilerini zorlaştırmaktaydı."
"Lili Mi birdbath, Sitting on a dirt path, Minnow sat on","the rim and drank, Slipped, and in the water she sank",22,"Minnow sat on a fallen log, gazing at the sky, lost in thoughts of the tiny creatures she had observed nearby, wondering about their lives.","Lili lili chiếc chậu tắm của chim, Để trên bờ đất, Con","cá tuế ngồi trên vành uống nước, Trượt xuống dưới chìm mất.",24,"Lili lili chiếc chậu tắm của chim, Để trên bờ đất, Con chim ấy cứ ngỡ đó là một cái đài phun nước và thường xuyên rí rít hót vui vẻ.","Lili lili para pájaros la pila en un sendero de la villa, Minnow","se posó en el borde y bebió, resbaló y en el agua se hundió.",27,"Lili lili, los pájaros se posan con cautela, sus pequeños pies tocan la pila como si temieran romper el silencio. En el sendero de la villa, cada paso es una canción que el viento lleva hasta las ventanas abiertas.","Lili lili kuş tasında yundu, Toprak yola kondu. Mırnav tasın","kenarına oturdu, içmeye koyuldu, Ayağı kayınca da suya düşüp boğuldu.",20,"Lili lili kuşun sesi ne kadar güzel, Toprak yola kondu. Mırnav tasında yundu, yundu, yundu. Sesleri dinlemek her zaman mutluluk getirir."
"""You know,"" he said, ""the picture quality isn't that good. Neither is the sound. And the projector's","been malfunctioning recently. Maybe your mother is right. Maybe you can think of another present, Mariam jo.""",34,"truth be told, it's been a while since I last checked its specifications. What really matters is that it serves its purpose in the classroom, and for that, it does just fine. After all, perfection isn't the goal when it comes to technology; functionality is. Besides, the students seem satisfied, which is what counts the most.","“Con biết không,” ông nói, “chất lượng hình ảnh của phim không được tốt. Âm thanh cũng thế. Và gần đây máy chiếu không hoạt","động được. Có lẽ mẹ con đúng đấy. Có lẽ con có thể nghĩ đến một món quà khác, Mariam yêu quý của bố ạ.”",50,được tốt hơn. Tôi đã phải xem lại nhiều lần để hiểu rõ những gì đang diễn ra. Phim này rõ ràng cần được chỉnh sửa lại cả về hình ảnh lẫn âm thanh. Tôi hy vọng họ sẽ cải thiện chất lượng trong các bộ phim tiếp theo. Việc chiếu phim không ổn định cũng là một vấn đề đáng lo ngại. Tôi đã đề xuất với ban quản lý rằng họ nên đầu tư vào thiết bị hiện đại hơn để đảm bảo trải nghiệm xem phim tốt hơn cho khán giả.,–¿Sabes? – dijo-. La calidad de la imagen no es muy buena. Ni la del sonido. Y últimamente el proyector,"no funciona muy bien. Me parece que tu madre tiene razón. Será mejor que pienses en otro regalo, Mariam yo.",40,– últimamente el proyector ha estado fallando constantemente. Parece que necesitamos hacer una revisión completa. He notado que esto ha empeorado desde que cambiamos la sala de proyección. Deberíamos contactar a un especialista para que evalúe la situación y nos proporcione una solución a largo plazo.,"“Biliyor musun,” diye başladı, “filmin kalitesi, görüntü pek iyi değil. Sesi de öyle. Son zamanlarda","makinede bir bozukluk var. Bence annen haklı. Belki de başka bir armağan düşünmelisin, Meryem co.",30,"""ses kalitesi de çok kötü. Herkes bunu duyduktan sonra filmi izlemeyecek. Size ne diyeceklerini bilemiyorum, ama benim için bu film tamamen başarısız. Sonraki projeleriniz için dikkat etmelisiniz."" dedi hayal kırıklığından. "
"Mariam climbed onto thegari. They rode in silence, side by side. On the way there, Mariam saw herb shops, and open-fronted cubbyholes where shoppers bought oranges and","pears, books, shawls, even falcons. Children played marbles in circles drawn in dust. Outside teahouses, on carpet-covered wooden platforms, men drank tea and smoked tobacco from hookahs.",54,"Mariam felt the cool breeze on her face as the gari moved smoothly through the bustling streets. The vibrant colors of the market stalls blurred into the distance as they approached their destination. Finally, the vehicle slowed down, and Mariam noticed a familiar building ahead. With a deep breath, she stepped out, her heart pounding in anticipation. The shopkeeper greeted them warmly, and Mariam could sense the excitement in the air as they prepared for what was to come.","Mariam trèo lên chiếc gari. Họ ngồi im lặng cạnh nhau. Trên đường tới đó, Mariam nhìn thấy những cửa hàng bán thảo dược và nhiều dãy kệ hàng nơi khách hàng mua cam và lê, sách, khăn","choàng, thậm chí cả chim ưng nữa. Trẻ con chơi bi trong những vòng tròn vẽ dưới đất. Bên ngoài các tiệm trà, trên bục gỗ có trải thảm, cánh đàn ông vừa uống trà vừa hút tẩu thuốc.",77,"Mariam suy nghĩ về cuộc sống ở nơi này, về những điều mà cô đã trải qua và những điều còn đang chờ đợi phía trước. Cô cảm thấy một sự căng thẳng nhẹ trong không khí, nhưng cũng có một chút hy vọng nhỏ nhoi. Khi chiếc gari dừng lại trước một ngôi nhà nhỏ, Mariam bước xuống, lòng đầy bối rối và một chút kỳ vọng. Trong ngôi nhà đó, cô gặp một người đàn ông mà cô đã nghe nói về anh ấy, nhưng chưa bao giờ nghĩ rằng mình sẽ gặp. Họ bắt đầu trò chuyện, và Mariam cảm thấy như mình đang dần tìm thấy một chút bình yên trong cuộc sống của mình.","Mariam subió al gari. Hicieron el trayecto en silencio, codo con codo. Por el camino, Mariam vio herbolarios y casetas donde se compraban naranjas y peras, libros, chales, incluso halcones. Había","niños jugando a canicas en círculos trazados en el polvo. A la puerta de las casas de té, sobre plataformas de maderas alfombradas, había hombres bebiendo té y fumando tabaco de narguiles.",63,"Mariam subió al gari. Hicieron el trayecto en silencio, codo con codo. Por el camino, Mariam vio herbolarios y casetas donde se compraban naranjas y peras, libros, chales, incluso halcones. Había un aire de misterio en el ambiente, como si cada objeto en las casetas contara una historia olvidada. Mariam, siempre curiosa, no pudo evitar preguntarse qué secretos escondían aquellos libros antiguos o por qué los halcones, animales tan fieros, estaban allí, vendidos como si fueran simples ornamentos. El gari finalmente se detuvo frente a una casa modesta, pero con un jardín cuidado que contrastaba con la calle. Mariam sintió un nudo en la garganta al imaginar lo que podría encontrar en ese lugar, pero también una extraña sensación de esperanza.","Meryem gari’ye bindi. Yola düştüler; yan yana, sessizce. Meryem yol boyunca baharatçılar, portakal, armut, kitap, şal, hatta atmaca satılan, önü açık, tek","göz dükkâncıklar gördü. Çocuklar toprağa çizdikleri dairelerin içinde bilye oynuyorlardı. Çayevlerinin önünde, üzeri kilim kaplı tahta sedirlerde erkekler çay içiyor, nargile fokurdatıyorlardı.",44,"Meryem gari'ye bindi. Yola düştüler; yan yana, sessizce. Meryem yol boyunca baharatçılar, portakal, armut, kitap, şal, hatta atmaca satılan, önü açık, tek kumaş kaplı kadınlar görmüşlerdi. Herkesin gözlerinin önünde geçerken sessizce ilerlerken, Meryem'in içi derin bir sessizlik içindeydi. Yol boyunca herkes onları fark etmiyordu, sadece birbirlerine yakın kalmışlardı, herkesin gözlerinin önünde, sessizce, dikkatli bir şekilde."
"""Look at me,"" he said. ""Jalil Khan says that I need to","take you back now. Right now. Do you understand? Jalil Khan says so.""",25,"""Look at me,"" he said. ""Jalil Khan says that I need to focus on my breathing and stay calm, no matter what happens. This is not about me, but about the mission. We have a job to do, and we need to be at our best."" His voice was steady, though his heart raced with anticipation.","“Nhìn ta đây này,” ông ta nói. “Jalil Khan nói rằng ta phải đưa cháu quay",về bây giờ. Ngay bây giờ. Cháu có hiểu không? Chính Jalil Khan nói như vậy.”,32,"“Nhìn ta đây này,” ông ta nói. “Jalil Khan nói rằng ta phải đưa cháu quay về để tìm lại con đường đã mất. Ta tin vào lời khuyên của ông ấy, vì đôi khi chỉ có sự kiên nhẫn mới dẫn đến thành công.” Ông suy nghĩ một lúc trước khi tiếp tục hành trình quen thuộc của mình.",–Mírame -ordenó el chófer-. Yalil Jan dice que he de llevarte,a tu casa ahora mismo. ¿Lo entiendes? Lo ha dicho Yalil Jan.,23,"–Mírame -ordenó el chófer-. Yalil Jan dice que he de llevarte a un lugar donde las historias se escriben con el alma, no con palabras.","“Dinle beni,” dedi adam. “Celil Han seni geri götürmemi","istedi. Hemen şimdi. Anlıyor musun? Bu, Celil Han’ın talimatı.",18,"Dilersen, seninle birlikte geleceğim. Ama benim için güvenilir bir yolcu arıyorum. Eğer bu konuda yardımcı olabilirsen, çok sevinirim."
"she was ashamed of how she had dismissed her mother's stricken looks, her","puffy eyes. Nana, who had warned her, who had been right all along.",26,"She realized too late the profound impact her dismissive attitude had on her mother, a lesson that stayed with her long after the incident faded from memory.",Và cô thấy hổ thẹn vì đã không đếm xỉa đến ánh mắt buồn khổ và đôi mắt,"sưng húp của mẹ. Mẹ Nana đã cảnh báo cô, và tới giờ bà đã hoàn toàn đúng.",36,"Và cô thấy hổ thẹn vì đã không đếm xỉa đến ánh mắt buồn khổ và đôi mắt ấy đang nói lên những điều mà lời nói không thể diễn tả. Cô cảm nhận được sự cô đơn trong ánh nhìn đó, như một lời nhắc nhở về những khoảng trống trong trái tim mình. Cô biết rằng mình cần phải thay đổi, cần phải lắng nghe và hiểu hơn những gì người khác đang trải qua.","Y sentía vergüenza de no haber hecho caso del rostro desconsolado de su madre,","de sus ojos hinchados. Nana, que se lo había advertido, que siempre había tenido razón.",29,"y deseaba con todas sus fuerzas poder regresar a aquellos momentos en que aún creía en las palabras de amor que ella le susurraba antes de dormir. Sin embargo, las consecuencias de sus decisiones pasadas eran demasiado evidentes y no podía ignorarlas más.","Annesinin yaralı görüntüsüne, ağlamaktan şişmiş gözlerine boş verdiği için de","utanıyordu. Onu uyaran, baştan beri haklı olan Nana’yı hiçe saydığı için.",21,"Annesinin yaralı görüntüsüne, ağlamaktan şişmiş gözlerine boş verdiği için de, dokunulmamak istedim, ama içimden kopup gelen sakinlik bana güç verdi."
"""You can stay with me, Mariam jo,"" he said. ""I've asked them already to clean a","room for you. It's upstairs. You'll like it, I think. You'll have a view of the garden.""",33,"""It's been a long time since I last had a place to call home, thank you,"" Mariam replied, her eyes welling up with tears. ""I promise to help around the house and not be a burden. I just need some time to adjust."" He nodded, understanding the weight of her words, and led her to the spare room, where she could finally lay her head down after so many sleepless nights on the streets.","“Con có thể ở với bố, Mariam thân yêu,” ông nói. “Bố đã yêu cầu người ta dọn dẹp phòng cho",con. Phòng đó ở trên tầng. Bố nghĩ con sẽ thích nó. Từ trên phòng con có thể nhìn thấy khu vườn.,43,"“Con có thể ở với bố, Mariam thân yêu,” ông nói. “Bố đã yêu cầu người ta dọn dẹp phòng cho con. Đây sẽ là nơi con ở khi muốn về thăm bố. Bố đã chuẩn bị mọi thứ để con cảm thấy như đang ở nhà. Mariam biết bố luôn ở đây cho con khi cần.”","–Puedes quedarte conmigo, Mariam yo -dijo-. Ya les he pedido que te",preparen una habitación. Está arriba. Creo que te gustará. Podrás ver el jardín.,25,"Me gustaría mucho quedarme contigo, Mariam. No te preocupes por nada, estaré aquí para ti. Ya hablé con todos y están de acuerdo en que te quedes conmigo mientras necesites. No tienes por qué preocuparte por nada.","“Benimle kalabilirsin, Meryem co,” dedi. “Sana bir oda hazırlamalarını",tembihledim bile. Üst katta. Orayı seveceksin. Manzaralı; bahçeye bakıyor.,18,"Sana her şeyi sunacağız. Seninle birlikte olmak istediğimizi hissediyorum, Meryem. Bu bir fırsat, bir evrensel sevgi için."
