en_first_half,en_second_half,en_word_count,en_results_raw,vi_first_half,vi_second_half,vi_word_count,vi_results_raw,es_first_half,es_second_half,es_word_count,es_results_raw,tr_first_half,tr_second_half,tr_word_count,tr_results_raw
George unslung his bindle and dropped it gently on the bank.,"“I ain’t sure it’s good water,” he said. “Looks kinda scummy.”",22,"George then stepped into the boat, securing the bindle within before setting off downstream, lost in thoughts of the journey ahead.","George gỡ ba lô, khẽ đặt xuống đất:",- Tao không chắc. Nước có vẻ dơ lắm.,17,"George hít một hơi thật sâu, cảm thấy mệt mỏi sau hành trình dài nhưng biết rằng còn nhiều việc cần làm trước khi về nhà.",George desató su hatillo y lo posó suavemente en la orilla.,—No estoy seguro de que esté buena –dijo—. Parece un poco sucia.,23,"George extrajo una pequeña mochila de dentro del hatillo y la abrió con cuidado. Dentro encontró un pequeño libro, una linterna y una carta doblada con esmero. Mientras inspeccionaba el contenido, no podía dejar de preguntarse el significado de aquel paquete que alguien había confiado en sus manos.","George sırtından dengini indirip usulca yere koydu. ""Pek","temize benzemiyor bu su,"" dedi. ""Köpükleri var baksana.",16,"George uzun bir nefes aldı ve dikkatle ayaklarının altındaki zemini inceledi. ""Pekala, bu durumda ne yapacağız?"" diye soruldu. Tıpkı beklediğim gibi, arkadaşları da şaşkınlıkla ona baktılar. ""Bir plan yapmamız gerekiyor,"" dedi George ve elindeki not defterini çıkardı. Bu tür sorunlarla başa çıkmak için uzun süredir düşünmüştü."
"“Oh, sure, George. I remember that now.” His hands went quickly into his side coat pockets. He said","gently, “George … I ain’t got mine. I musta lost it.” He looked down at the ground in despair.",37,"His hands went quickly into his side coat pockets. He said, ""That day we met by the old oak tree, the one with the hollow trunk. It all seems so distant now, yet the memory is vivid."" George nodded, his eyes reflecting a mix of nostalgia and perhaps a hint of regret. ""Yes, it was a pivotal moment, wasn't it? Those moments often are, don't you think?"" They stood there for a while, lost in their thoughts, the quiet of the afternoon broken only by the occasional rustle of leaves in the breeze.","- Ờ! Bây giờ tôi nhớ ra rồi. Nó vội thọc tay vào túi áo. Nó nói, giọng","run sợ: - Thôi chết rồi, anh George ơi, tôi đánh mất rồi. Nó nhìn xuống đất thất vọng.",37,"- Ờ! Bây giờ tôi nhớ ra rồi. Nó vội thọc tay vào túi áo. Nó nói, giọng khẩn trương: ""Phải tìm cách rời khỏi đây ngay lập tức. Có ai đó đang theo dõi chúng ta, tôi cảm nhận được điều đó."" Nó lùi lại vài bước, quan sát xung quanh, và sau một lúc, nó thở phào nhẹ nhõm khi không thấy bóng dáng ai. ""Chúng ta cần phải cẩn thận hơn,"" nó tự nhủ, ""mọi thứ đang trở nên phức tạp hơn chúng ta tưởng.""","—Ah, claro, George. Ahora me acuerdo. Introdujo rápidamente las manos en los bolsillos de su chaquetón y",agregó suavemente: —George... No tengo mi tarjeta. Debo de haberla perdido. Miró al suelo lleno de desesperación.,34,"Entonces comenzó a caminar rápidamente hacia la plaza, evitando mirar atrás. Tenía miedo, un miedo profundo que no podía explicar, como si algo malo estuviera a punto de suceder. George lo observaba desde lejos, preocupado, pero no se atrevía a acercarse, temiendo lo que podría encontrar.","""Tabii George, tabii hatırladım şimdi. Birdenbire ellerini ceketinin cebine daldırdı. Usulca mırıldandı:","""George... benim kartım yok. Kaybettim galiba. Büyük bir üzüntü içinde gözlerini yerden kaldırmıyordu.",25,"""Bir şeyi alıyor gibi görünüyor,"" diye fısıldadı. ""Ama neyse ki, bu geceki olaylar bana daha fazla açıklamayı istemiyor."" George kendi kendine güldü ve cebini kapadı. ""Belki de bu da en büyük sırrım,"" diye düşündü, ""ve en güvenli."" Ancak bu düşünce sadece geçici bir an için onu korkuttu. Daha sonra da, sanki her şeyi unutmış gibi, gerginliği atladı ve normal konuşmaya döndü."
"“I … I,” Lennie thought. His face grew tight with",thought. “I … ain’t gonna say nothin’. Jus’ gonna stan’ there.”,21,"Lennie's voice trembled as he struggled to find the right words, his mind racing with fear and uncertainty. His hands clenched into fists, and he felt the weight of the world pressing down on him, unsure of what to do next.",Lennie ấp úng. Mặt dài ra vì có vẻ nghĩ lung : -,Ta... Tôi... Tôi không được nói gì hết. Tôi sẽ đứng im đấy.,26,Lennie ấp úng. Mặt dài ra vì có vẻ nghĩ lung: - Điều này có thực sự quan trọng như chúng ta nghĩ không? Có lẽ chúng ta nên nhìn nhận vấn đề từ một góc độ khác.,—Yo... yo —empezó Lennie pensativo. Su rostro quedó tenso de tanto pensar—.,"Yo... no voy a decir nada. Me quedo allí quieto, sin decir nada.",25,"—No sé qué decir —continuó Lennie, mientras sus manos jugueteaban nerviosas con el borde de su camisa—. Solo sé que algo muy raro está pasando, y me preocupa mucho. No quiero que nos pase algo malo a nosotros o a nadie más.","""Ben... ben..."" Lennie, düşünüyordu. Düşünmekten yüzünün çizgileri","geriliyordu. ""Ben bir şey söylemeyeceğim. Hiç ağzımı açmayacağım.",15,Düşünmekten yüzünün çizgileri derinleşiyordu. Her şeyi doğru anlayabilmek için çok zorlanıyordu. Kadının sesi kulaklarının ucundaydı ancak konuşmaya cesaret edemiyordu.
"Lennie droned to himself softly, “I ain’t gonna say nothin’ …",I ain’t gonna say nothin’ … I ain’t gonna say nothin’.”,22,"Lennie droned to himself softly, “I ain’t gonna say nothin’ … but I sure do miss her smile, even though it’s just been a week.” He sighed heavily, lost in thoughts of the past few days filled with regret and longing.",Lennie lí nhí: - Không được nói gì hết...,Không được nói gì hết... Không được nói gì cả.,19,"Lennie lí nhí: - Không được nói gì hết... Chúng ta phải giữ bí mật này đến chết, hiểu chưa? Điều này quan trọng hơn tất cả những gì khác.",Lennie canturreó suavemente: —No voy a decir nada... No,voy a decir nada... No voy a decir nada.,18,"Lennie canturreó suavemente: —No voy a decir nada... No importa cuánto lo amenacen, él jamás traicionaría a George, su verdadero amigo, quien siempre lo ha cuidado.","Lennie, kendi kendine mırıldandı. ""Bir şey",söylemeyeceğim... bir şey söylemeyeceğim... bir şey söylemeyeceğim...,13,"Lennie, kendi kendine mırıldandı. ""Bir şey olmuyor, olamaz. Bu sadece benim aklıma gelen bir düşünce."" dedi, ancak kendine güvenini kaybetmeye başlamıyordu."
"“Run us out, hell,” said George disgustedly. “We run.","They was lookin’ for us, but they didn’t catch us.”",19,"“We run,” George repeated, shaking his head in disbelief, “but where do we go when there's no one left to welcome us?”",George đầy vẻ chán chường: - Trời! Tống cổ! Đấy là may mình trốn,"thoát nước. Tụi nó lùng riết lắm mà không thấy đấy thôi, con ạ",28,George đầy vẻ chán chường: - Trời! Tống cổ! Đấy là may mình trốn được mà không để lại dấu vết. Nhưng lần sau chắc không may mắn như vậy.,"—No nos echaron, qué diablos —dijo George con rabia—. Nosotros","fuimos los que corrimos. Nos buscaban, pero no nos encontraron.",20,"—No nos echaron, qué diablos —dijo George con rabia—. Nosotros, simplemente, no queríamos volver. Había algo en el aire, una sensación extraña que no podíamos ignorar. Decidimos marcharnos antes de que las cosas se pusieran peor.","George, tiksinti ile: ""Ne kovdular, ulan saloz,""","dedi. ""Biz yağladık tabanları. Bizi aradılar ama, bulamadılar.",15,"George, tiksintiyle devam etti: ""Birkaç kişi, sadece kendi çıkarları için bu kararları verirler."" Bu durumda, onların ahlaki konumları sorgulanmalı."
George still stared morosely at the fire. “When I think of the swell,"time I could have without you, I go nuts. I never get no peace.”",27,"George still stared morosely at the fire. “When I think of the swell of society and their expectations, it makes me want to retreat further into this very hearth. Every glance, every word feels like a judgment, and I can't shake the feeling that I'm not enough, no matter how hard I try to conform.” His voice trailed off as the flames danced before him, offering no solace.","George vẫn càu nhàu, nhìn vào bếp lửa: - Thật là điên đầu khi tao nghĩ là tao có",thể thỏa thuê như thế nào nếu không vướng mày. Tao có được một phút nào yên đâu !,38,"George vẫn càu nhàu, nhìn vào bếp lửa: - Thật là điên đầu khi tao nghĩ là tao có thể tìm thấy câu trả lời ở đây. Nhưng mọi thứ chỉ khiến tao rối hơn. Khói từ lửa bốc lên, tạo nên những hình thù kỳ lạ, như những câu hỏi mà tao không bao giờ có thể giải đáp được. George thở dài, biết rằng đêm nay sẽ không có câu trả lời nào từ những ngọn lửa này.",George seguía mirando empecinadamente el fuego. —Cuando pienso lo bien que lo,"pasaría sin ti, me vuelvo loco. No me dejas en paz nunca.",24,"George seguía mirando empecinadamente el fuego. —Cuando pienso lo bien que lo había pasado con ella, me duele el corazón. A veces, me pregunto si todo fue real o solo un sueño. Sin embargo, aquellos momentos compartidos son lo único que me queda para recordarla.","George, hep o asık suratla ateşe bakıyordu. ""Başımda sen olmasan ne",eğlenirdim. Düşündükçe aklımı oynatacağım geliyor. Bir dakika bile rahatım yok senin yüzünden.,23,"başımda olurdu,"" diye düşündü. George, ellerini kafasına dayayıp, sanki kendisine bir ceza veriliyordu. Ateş, sadece bir nesne değildi, utanç ve acı da burada toplanmıştı."
"Lennie avoided the bait. He had sensed his advantage. “If you don’t want me, you only jus’ got to say so, and I’ll",go off in those hills right there—right up in those hills and live by myself. An’ I won’t get no mice stole from me.”,47,"Lennie avoided the bait. He had sensed his advantage. “If you don’t want me, you only jus’ got to say so, and I’ll be on my way. I ain’t no trouble, and I’ll find my own work. You just let me know if you need me later.” With that, he turned and walked away, leaving George standing there, contemplating the weight of responsibility he had just shifted.","Lennie không muốn chui vào tròng. Nó cảm thấy nó đang được lợi thế. - Anh mà chán tôi, anh cứ việc nói ra,","tôi sẽ đi vào rừng, tít trên đỉnh đồi kia rồi tôi sống một mình. Và chẳng ai vứt chuột của tôi đi được nữa.",49,"Lennie không muốn chui vào tròng. Nó cảm thấy nó đang được lợi thế. - Anh mà chán tôi, anh cứ việc nói ra, tôi sẽ không sợ. Trong cuộc sống này, đôi khi chúng ta cần phải đối mặt với những điều không mong muốn thay vì tránh né. Điều quan trọng là giữ vững bản lĩnh và không để cảm xúc chi phối hành động của mình. Tôi không muốn bị lợi thế bởi những lời nói của ai đó mà không có bằng chứng. Hãy nói ra điều gì đó nếu đó là điều thực sự quan trọng, nhưng đừng chỉ vì muốn làm tổn thương người khác.","Lennie eludió el cebo. Había intuido que tenía ventaja. —Si no quieres estar conmigo, no tienes más que decirlo y en seguida","me marcho a las montañas, a esas de allá... Subo a las montañas y vivo solo. Y nadie me robará los ratones.",44,"Lennie se alejó rápidamente, consciente de que su silencio podría interpretarse de muchas maneras. Sin embargo, algo en la mirada de George lo hizo detenerse. —Espera, Lennie, no te vayas tan lejos. Sé que no es fácil para ti, pero necesitamos hablar.","Lennie, yutmadı. Ağır bastığını hissetmişti. ""Eğer beni istemiyorsan, açık açık söyle, nah şu","dağlara... Şu yukarıki dağlara çıkarım, tek başıma yaşarım. Parelerimi de kimse çalmaz benden.",26,"Lennie, yutmadı. Ağır bastığını hissetmişti. ""Eğer beni istemiyorsan, açık açık söyle, nah şu an benimle konuşmak istemiyorsun, değil mi?"" diye sordu. Kadın sustu ve gözlerini yere dikmişti. Lennie, bu sessizlikten nefret ediyordu."
George went on. “With us it ain’t like that. We got a future. We got somebody to talk to that gives a damn about us. We don’t have to sit in no bar,room blowin’ in our jack jus’ because we got no place else to go. If them other guys gets in jail they can rot for all anybody gives a damn. But not us.”,66,"George went on. “With us it ain’t like that. We got a future. We got somebody to talk to that gives a damn about us. We don’t have to sit in no bar all night, drowning our sorrows. We’ve got each other, and that’s something. There’s challenges, sure, but together, we can face them. It’s not about the past, it’s about the road ahead. We’re building something, a community, a family. And that’s worth fighting for.”","Geroge tiếp: - Riêng hai đứa mình thì lại khác. Tương lai mình đã vạch sẵn rồi, chúng ta có thể tâm sự than thở với nhau và giúp đỡ lẫn nhau. Việc gì phải ra quán",ngồi phung phí hết số tiền kiếm được vì không còn chỗ nào để lui tới. Bọn họ mà không may thì có thể ở tù rục xương vì chẳng ai để ý tới. Mình thì khác.,74,"Geroge tiếp: - Riêng hai đứa mình thì lại khác. Tương lai mình đã vạch sẵn rồi, chúng ta có thể tâm sự than thở với nhau và giúp đỡ lẫn nhau. Việc gì phải ra quán khi có nhau mà không cần đến ai khác? Chúng ta sẽ cùng nhau vượt qua mọi khó khăn, không ngại bất kỳ thử thách nào. Quan trọng là giữ vững tình bạn và tin tưởng lẫn nhau. Mỗi bước đi trong cuộc sống đều là cơ hội để học hỏi và trưởng thành. Đôi khi, những khoảnh khắc bình dị bên nhau lại là giá trị lớn nhất trong cuộc đời.","George prosiguió: —Con nosotros no pasa así. Tenemos un porvenir. Tenemos alguien con quien hablar, alguien que piensa en nosotros. No tenemos que sentarnos en un café malgastando","el dinero sólo porque no hay otro lugar adonde ir. Si esos otros tipos caen en la cárcel, pueden pudrirse allí porque a nadie le importa. Pero nosotros, no.",57,"George prosiguió: —Con nosotros no pasa así. Tenemos un porvenir. Tenemos alguien con quien hablar, alguien que piensa en nosotros. No tenemos que sentarnos en un café malgastando nuestras energías en charlas sin sentido. En cambio, podemos dedicar nuestro tiempo a proyectos que realmente importan, a construir algo que perdure más allá de nuestras vidas. No es solo cuestión de palabras, sino de acción y compromiso. Este es nuestro camino, y aunque no siempre será fácil, sabemos que vale la pena. Porque detrás de cada decisión está la esperanza de un mañana mejor, y eso nos da la fuerza necesaria para seguir adelante.","George devam etti: ""Bize gelince iş değişir. Bizim umduğumuz var. Bizim konuşacak, bize ilgi gösterecek bir kimsemiz var. Gidecek başka yeri olmadığı için,","bir meyhanede oturup bütün parasını harcayanlar gibi değiliz biz. Ötekiler kodese girecek olsalar, geberip gitseler de kimsenin umurunda olmaz. Ama biz öyle değiliz.",46,"George devam etti: ""Bize gelince iş değişir. Bizim umduğumuz var. Bizim konuşacak, bize ilgi gösterecek bir kimsemiz var. Gidecek başka yeri olmadığı için, bu durum bizim için çok zor. Ancak, umarım bu zorlukları aşabiliriz ve hedefimizi ulaşabiliriz. Herkesin bir rolü oynayacak ve herkesin katkıları gereklidir. Bu süreçte herkesin desteğini arayacağız."""
"“’Course you did. Well, look. Lennie—if you jus’ happen to get in trouble like you","always done before, I want you to come right here an’ hide in the brush.”",30,"Lennie—if you jus’ happen to get in trouble like you say, you know I’ll be right there with ya. We’ve been through too much together for you to face this alone. Just tell me what’s going on, and we’ll figure it out. That’s what friends are for, right?",- Tốt lắm! Nghe tao hao nữa đây! Lennie... nếu chẳng may mày có gây chuyện,"lôi thôi như lần trước, mày lập tức tìm chỗ này và nấp vào trong bụi rậm.",33,"- Tốt lắm! Nghe tao hao nữa đây! Lennie... nếu chẳng may mày có gây chuyện, mày nhớ phải giữ bình tĩnh và đừng làm hại ai. Tao sẽ ở đây để hỗ trợ mày, nhưng mày phải đảm bảo rằng hành động của mày không gây tổn thương đến bất kỳ ai. Đừng để cảm xúc làm chủ tao, hãy suy nghĩ cẩn thận trước khi hành động.","—Claro que sí. Bueno, oye, Lennie... Si llegas a verte en aprietos, como siempre","te ocurre, quiero que vengas a este lugar y te escondas en el matorral.",28,"Claro que puedes contar conmigo. He aprendido que en momentos difíciles, lo mejor es no perder la calma. Aunque las cosas parezcan desesperadas, siempre hay una solución si la buscamos con paciencia y determinación. Lennie, nunca te sientas solo, porque siempre estaré aquí para ti, amigo mío.","""Tabii. Peki öyleyse, dinle, Lennie... Geçen seferki gibi başını yine","belaya sokacak olursan, hemen koşup buraya gelir, çalıların arasında saklanırsın.",20,"""yere eğdiriyorsun. Ama bu sefer daha dikkatlice hareket etmelisin. Eğer sorunlar çıkarsa, size yardım edebilirim."" Lennie, dostunun sözlerine dikkatlice bakıyordu."
George stepped over and threw his blankets down on the burlap sack of straw that was a mattress. He,looked into his box shelf and then picked a small yellow can from it. “Say. What the hell’s this?”,38,"He sighed, weary from the long journey, and tried to make himself comfortable despite the hard surface. The cool night air seeped through the cracks in the walls, but there was no choice but to rest. Tomorrow would bring new challenges, and he needed to be ready.",George bước lại gần và ném bó chăn lên chiếc nệm rơm. Nó nhìn cái hòm,"và với lấy một cái hộp sắt màu vàng. - Này cụ, gì đây hả trời?",32,"George cẩn thận kiểm tra xung quanh trước khi mở nắp hòm. Trong bóng tối, anh có thể cảm nhận được một mùi hôi thối và sự tĩnh lặng đáng sợ. Khi ánh sáng từ ngọn nến chiếu vào, anh phát hiện ra những vật dụng cũ kỹ và một chiếc khăn trải bàn đã cũ. George không biết tại sao nhưng anh cảm thấy có điều gì đó không ổn trong hòm này.",George se acercó a un camastro y arrojó sus mantas en el saco de arpillera lleno de paja que formaba,el colchón. Miró el cajón de sus estantes y sacó de dentro una latita amarilla. —¡Eh! ¿Qué diablos es esto?,40,"George se acercó a un camastro y arrojó sus mantas en el saco de arpillera lleno de paja que formaba la cama. Miró alrededor del pequeño cuarto, notando la penumbra que se cernía sobre cada rincón. Sabía que el viaje sería largo y arduo, pero no podía permitirse el lujo de dudar. Cada fibra de su ser estaba preparada para enfrentar lo que vendría, aunque el miedo comenzaba a aguijonearle en el fondo del alma. En la oscuridad, George juró que nada ni nadie lo detendría en su camino hacia la libertad y la verdad.",George yaklaştı ve şilte vazifesini gören saman çuvalının üstüne battaniyesini attı. Raflık,"sandığına baktı ve içinden sarı bir teneke kutu aldı: ""Hey, bu da nesi?",25,"George, samanın üzerinde oturdu ve hafifçe kafasını sallayarak, bu işin zor olduğunu düşündü. Raflık, bu tür işlerde uzmanlaşmış biri değildi ancak, görevini yerine getirmek için en iyi şekilde çabaladı. Samanın altından yükselen iltihap gibi, her şeyi düzeltmek için bir yol arıyordu."
