,English,Translations,Cross-lingual
gpt-4o-2024-11-20,74.01676337846551,56.54416505480335,33.451536643026
Llama-3.1-405b,65.39643515673018,58.061872567096906,34.41865463142059
Llama-3.1-70B-Instruct_,60.66379840196681,37.24646588813768,20.825274016763377
Llama-3.1-70B-Instruct-quantized.w4a16,58.574062692071294,36.79573857816021,18.289275736084246
Llama-3.3-70B-Instruct,53.16533497234173,27.59680393362016,16.269073715882225
OLMo-2-1124-13B-Instruct,46.46588813767671,27.883630403605817,12.701482914248873
Llama-3.1-8B-Instruct_,40.012292562999384,23.90903503380455,9.381044487427467
OLMo-2-1124-7B-Instruct,43.82298709280885,20.446629788977667,7.801418439716312
Llama-3.1-8B-Instruct-quantized.w8a16,39.70497848801475,20.344191763982792,9.424027509133893
Llama-3.1-70B-Instruct-quantized.w8a16,33.06699446834665,19.54517516902274,7.522028798624543
Llama-3.1-8B-Instruct-quantized.w4a16,38.35279655808236,14.156935054292154,5.491081022995917
EuroLLM-9B-Instruct,28.703134603564845,19.319811514034008,2.084676552761659
Qwen2.5-7B-Instruct-1M,12.231100184388445,11.964761319401761,4.298302170642597
