en,Single_ent,Multiple_ents,en_masked,token_count
"This is heaven: her forehead pressed into me, her head under my arm, and my hand on her shoulder. We found each other by instinct. Even if I was half-asleep, I would never have done this knowingly. I wouldn’t know if she was okay with it. I don’t know it now either, but I am unable to move.",,[],,72
"“Okay.” I have the urge to wait outside the door, even though I know she wants privacy. I turn and ignore the sounds on the other side of the door. When I was lusting after her a few minutes ago, what I should have been doing was worrying about her hangover.",,[],,60
"I don’t pay attention to the movie. We all sit on the couch in a row, the tent abandoned. They’re watching the movie. I’m just here, near her. It seems like the toast did the trick for the nausea she had when she woke.",,[],,54
"“Sure.” I glance at Autumn before I get up. She’s nestled in a blanket, finishing the glass of water I got her and having another slice of toast. I take note again of how unfair it is that she can be so beautiful while hungover.",,[],,53
"I cannot look back and say when I fell in love with Autumn Rose. Something I felt for her before I even learned to read had grown and sharpened as we grew up together. If I tried to pin it down, I would guess the first time I had thought of myself as “in love with Autumn” would have been before fifth grade. I don’t know if a psychologist would believe someone that young can be in love. All I know is what happened to me.",,[],,96
"I was in love with her, but we were only eleven, so being just friends felt natural, even if in my mind it was assuredly temporary. We always talked like we were living our whole lives together like The Mothers; surely she would realize we should get married. But I never got the sense she was preoccupied with me in the same way. She did not understand why The Mothers said we could not have sleepovers in the same bed anymore. And I did. She did not, when our hands happened to touch, try to make the moment linger. And I did.",,[],,118
"“I mean, I don’t know any of them, dude,” I said. “That’s what I’m trying to tell you. I don’t know if I like any of them.”",,[],,38
"I laughed. “What is ‘my type’?” and he gave me that blank look, that “Autumn” look as I’d come to think of it.",,[],,34
"In elementary school, when she was particularly excited by a book, she would read it as we walked home, trusting me to make sure she didn’t run into anything. I remember being next to her and watching her cry as we walked, silent tears rolling down her cheeks, her gaze never wavering from the page. I also remember walking next to her as she laughed so hard that tears spilled out of the corners of her eyes.",,[],,87
"Autumn has her flaws. She’s offhandedly arrogant about her looks. She lacks tenacity or drive for anything that isn’t reading or writing. When she’s in a bad mood, you must tread carefully. She can, in the blink of an eye, casually strike with a few cruel words that get right to the heart of your insecurities.",,[],,72
I head downstairs to the kitchen and eat the leftover pizza. I recycle the box and pour a Coke. There’s an inch of rum left. I look at it and then put it back on the counter. It won’t help me. Maybe Autumn will want it before The Mothers come home tomorrow.,,[],,60
"I feel her shoulders slump, followed by the faintest of whimpers. She’s done crying. I could move, but I don’t. I hold her gently, careful to make sure she’s in control, and she can pull away with the slightest of movements.",,[],,55
"I understand this much: Autumn lives in this world and the fictions of her mind or those written by others like her. Whatever it is that puts us together as people, be it God, genes, or destiny, Autumn was made to tell stories. She’s going to be an amazing writer. She’s always been amazing. Whatever this novel is about, it’s going to blow my mind. I know it.",,[],,84
"“Not all dragons want to wipe out faeries, only some of them, and the other dragons are finally joining the faeries’ fight,” Autumn explained to me as if these were current events.",,[],,40
"“Yeah,” she says with a nod. She turns and faces forward, looking out the windshield. “I didn’t know it would hurt this much.”",,[],,31
"“You know, someday, when all your teeth are gone, you’ll regret being such a sugar goblin,” I tell her as we speed down the ramp, back onto the dark highway.",,[],,38
"“You’re majoring in premed,” she says, “and you’ve been eating greasy fast food with me nearly every night all summer. Admit that we’re both terrible and wasting our youthful bodies on trash food.”",,[],,43
"With our tacos in tow, our mission is half complete. I turn us back toward the highway and the odd little gas station that sells Autumn’s arcane candies.",,[],,33
“It’s eight o’clock at night!” I glance at her. “All you’ve had to eat were those two pieces of toast and that taco?”,,[],,30
"When Autumn is depressed or stressed or writing, she gets so inside her head that she forgets about her body. I can’t imagine not noticing that I’m hungry. I can’t imagine living so outside the physical world the way she does.",,[],,49
"I should probably tell Autumn that the “nice older man” inside, who always smiles and says hi to her, also leers at her when she’s facing away. I don’t think he’s dangerous, but it’s gross. He’s fifty at least. I’m eighteen, and I have a better handle on my hormones than him.",,[],,69
"Christmas might be too soon. She can’t keep track of her phone or her keys. How is she going to keep track of her drinks at parties? I’m going to have to stick around to make sure whatever guy she falls for treats her right. This time, if I see something, I’ll say something.",,[],,64
“Have you been thinking about what you’ll focus on in med school?” She’s leaning her temple against the window again. The floor of my car is littered with taco wrappers.,,[],,37
"I turn the music down. “I won’t figure that out until a couple years into classes,” I say. “It’s not like I know that much about the human body yet.” I pause, because I want to share something more with her. “I’ve been thinking about the brain a lot lately.”",,[],,63
"Autumn stands and stretches, but I keep reading. That’s how good the story is. I don’t think most people’s first drafts are this good, are they? She’s a great writer, and she’s only going to make it better.",,[],,51
