en,en_results,Single_ent,en_prompts_shuffled,en_prompts_shuffled_results
"It may be the first time I’m meeting the people gathered around the table, people who Ryan has known since childhood, but it hasn’t escaped anyone’s attention that I’m already fully embedded in his life. It’s the small touches a woman brings to a man’s home, like the matching throw pillows on the couch or the faint whiff of jasmine from the diffuser on the bookshelf, that every other woman notices the second she walks through the front door.","""title"": ""The Wife Between Us"", ""author"": ""Greer Hendricks and Sarah Pekkanen""",['ryan'],"whiff jasmine the fully the matching attention time Ryan people diffuser around woman man’s table, in the pillows but It I’m the small a second escaped walks to people a first his the the known of gathered that home, may life. childhood, touches the notices it the the be throw bookshelf, from door. hasn’t the embedded every through has front I’m on like other or she couch already anyone’s It’s on faint brings woman that meeting who the since","""title"": ""The Midnight Library"", ""author"": ""Matt Haig"""
"The smile on Ryan’s face tells me he knows how I feel about being asked this and he’ll step in again to answer for me, but I shake him off.","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides""",['ryan'],"shake how I Ryan’s him off. on for he’ll to feel but The me and smile knows in he being I this answer again asked tells step face about me,","""title"": ""Infinite Jest"", ""author"": ""David Foster Wallace"""
"Ryan would have given them more than they deserve, and that’s why I stopped him. I don’t mention it was at the truck stop on the outskirts of town where I worked in the small restaurant bar making sure no drink went empty. And I don’t mention that while they are familiar with lots of acronyms from MBA to MRS, the only one I’m acquainted with is GED.","""title"": ""Where the Crawdads Sing"", ""author"": ""Delia Owens""",['ryan'],"it with that’s went than mention drink while deserve, where lots MRS, worked they truck small GED. is the at I to mention why from bar would him. in don’t I stopped that of on And have was I’m familiar are I and sure given Ryan don’t outskirts they of the the acronyms town making with no only acquainted restaurant I the stop them one more MBA empty.","""title"": ""The Road"", ""author"": ""Cormac McCarthy"""
"I told Ryan I was afraid of how they would judge me once they found out my background was so different from theirs. He assured me he didn’t care what they thought, but he does. The fact that he caved and invited them all here and spent the week helping me get the menu just right tells me more than the whispers in the dark that he likes how different I am, different from the girls he grew up with.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""",['ryan'],"care the I from was the the all grew background from get but he me they me I different me different am, was how The in found tells than more invited Ryan here he judge of would and told he with. helping he caved fact I week different he out how spent He so what my up and didn’t that them the whispers just likes they the girls they assured once menu thought, right me does. dark theirs. that afraid","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"""
"I watch Ryan. I’ve whittled down our entire meeting to one sentence, and so far, he’s let me get away with it.","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins""",['ryan'],"entire to Ryan. me I let away whittled sentence, one I’ve meeting it. our he’s with so get and watch far, down","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
"I smile and laugh, not too loud and not too long, to show that I, too, am amused at the thought that Ryan would go to such extremes to meet me.","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins""",['ryan'],"thought to that Ryan smile to long, the extremes too, that not go too would I, and show am meet loud laugh, me. I and too to at such not amused","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
"“I totally nailed it,” I say, as I dip the last dinner plate into the sink full of soapy water. Ryan moves in behind me, his arms skimming my hips until they are wrapped around my waist. His chin settles on my shoulder, and his lips press against that spot on my neck in a way he knows I adore.","""title"": ""The Deal"", ""author"": ""Elle Kennedy""",['ryan'],"say, shoulder, moves me, settles my he of my totally until full against on my way chin his that it,” neck around soapy dip are my water. spot sink adore. the I as press knows lips “I waist. on arms wrapped His his a skimming and the dinner plate in Ryan I I hips they into last in behind nailed","""title"": ""Red, White &amp; Royal Blue"", ""author"": ""Casey McQuiston"""
"Ever since Ryan asked me to move in with him five days ago and I said yes, he’s been impatient for it to happen. I woke up the morning after the dinner party to him on the phone with a moving company, scheduling their services for later that day, thanks to a last-minute cancellation.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""",['ryan'],"party yes, morning company, to me been and with five to that dinner the move moving I day, impatient on ago Ever for last-minute happen. a cancellation. services asked in to to I scheduling thanks since said Ryan their later woke days phone it a the him him he’s up after for with the","""title"": ""Ulysses"", ""author"": ""James Joyce"""
"Ryan looks down at the tie, straightening it even though it’s already straight but needing something to do. He hasn’t touched me this morning and barely looked at me. Yep, total baby.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""",['ryan'],"already needing me Yep, do. touched this baby. at though total Ryan barely and straight straightening to it’s at it morning but me. something the He down hasn’t looked tie, even looks","""title"": ""Fifty Shades of Grey"", ""author"": ""E. L. James"""
"Twenty minutes after Ryan’s Tahoe pulls out of the driveway, I’m doing the same in my ten-year-old 4Runner. Lake Forbing is a medium-size town in north Louisiana that is known for its fertile farmlands and deep pockets of natural gas. There is a lot of money in this area, but it’s the quiet kind. It takes fifteen minutes to get to Lake View Apartments from Ryan’s house, and from what I can tell it’s nowhere near the lake this town was named after.","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides""",['ryan'],"out Tahoe this in is what from fertile Lake a Forbing was I’m area, it’s the minutes but in nowhere View deep in is of I known this to natural takes house, its kind. a 4Runner. for farmlands quiet north minutes ten-year-old and my it’s tell lot driveway, Lake of can after near pulls It Ryan’s town named of pockets and after. get doing the same fifteen town Ryan’s medium-size Twenty the the Louisiana money Apartments from gas. is lake to that There","""title"": ""The Lost Symbol"", ""author"": ""Dan Brown"""
"Pat follows me up the stairs while his helper opens the back of the large box truck. Stopping in front of the door, I pull a key out of my bag. “This is me.”","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins""",['pat'],"back a front pull Stopping up “This box door, is his me of in I bag. of opens Pat the truck. follows large while the out of my me.” helper stairs the the key","""title"": ""Ulysses"", ""author"": ""James Joyce"""
"I eye the first stack of boxes, each filled with the items I’ve spent the last four days picking out. Things Pat has been storing for me in that box truck until I was ready for him to bring them here. Things that I will move to Ryan’s house on Saturday. Things I will say I’ve owned for years rather than days.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""",['pat'],"house truck I boxes, years will the I owned Things say first four than storing the spent will with rather Pat last for for box was me Ryan’s for until filled in out. I that I’ve I’ve ready stack bring to picking on I Things them days. Things been of days him here. move Saturday. has each to eye items the that","""title"": ""The Life-Changing Magic of Tidying Up"", ""author"": ""Marie Kondo"""
"It takes two trips to get all the boxes upstairs. I pull five twenties out of my back pocket and hand them to Pat. This is not a service Goodwill offers, but for a slip of cash, he was more than happy to help.","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins""",['pat'],"back five to twenties takes help. a pocket trips out and all Goodwill offers, more This Pat. not two of It happy than is to I but he cash, for upstairs. the of them hand service to pull a was my boxes get slip","""title"": ""Ulysses"", ""author"": ""James Joyce"""
"Pat shrugs and looks back to his helper, who says, “Yeah, they’re in the back of the truck. Want them up here?”","""title"": ""The Road"", ""author"": ""Cormac McCarthy""",['pat'],"shrugs back up Want the his “Yeah, and Pat them truck. in the they’re looks who says, back to helper, of here?”","""title"": ""On the Road"", ""author"": ""Jack Kerouac"""
"In the kitchen area, I unzip the black bag and remove four menus from nearby restaurants and three pictures I printed from the kiosk at CVS of Ryan and me, plus seven magnets to hold each item in place on the refrigerator. Next, I grab the assortment of condiments and pour half of each one down the sink drain before lining them in the door of the refrigerator. Moving to the bathroom, black bag in tow, I pull out the shampoo and conditioner then pour half of each down the drain like I did with the condiments, before putting the bottles on the edge of the tub. Unwrapping a bar of Lever 2000 soap, I set it on top of the drain in the sink and turn the water on, rotating it every few minutes until the logo is gone and the edges are dulled, then drop it into the small built-in space on the shower wall. Toothpaste is last. Starting from the bottom, I squeeze a portion out but leave a glob or two on the rim of the sink, just like I do at Ryan’s house, even though I know he’ll fuss about it. Leaving the cap off, I drop the tube on the counter near the faucet.","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['ryan'],"the the the drop down on water rotating kiosk each on the I the the remove the one area, tube the counter I I three the on Moving a about of down I bathroom, the from bar half even before the in do it rim CVS are squeeze at out black and printed the Toothpaste sink Lever and set the pull restaurants each conditioner assortment built-in shampoo of grab with of of gone Ryan he’ll at half of drain the of did space Leaving in pictures condiments, but is black leave wall. or on, sink house, near 2000 bag faucet. I seven I it the and Starting from just the the of drain until Ryan’s from on I two item tow, the the menus plus drop and off, a shower Unwrapping on bottom, in bottles putting of to it the magnets a the the then sink, portion minutes the pour dulled, In though out refrigerator. logo tub. turn pour each kitchen into drain know the I fuss bag and every soap, condiments cap on top glob the is I last. refrigerator. to them and then in the the lining hold place edges it. door and the like edge of few like me, small unzip the four nearby Next, before I","""title"": ""House of Leaves"", ""author"": ""Mark Z. Danielewski"""
"I slide my hands into my front pockets and lean back against the wall next to the kitchen counter, crossing one ankle in front of the other. My movements are slow but calculated. It worries me she’s here, checking on me, and that she’ll feel the same need to do so on Saturday, when Ryan is here moving me out. I picked a place where neighbors don’t bother to get to know one another, and the rent includes utilities since units can be leased by the week. And one week was all I needed.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""",['ryan'],"need do ankle pockets wall to since I counter, she’ll needed. on the me rent into by lean place but front utilities and My to my a me, picked hands she’s Ryan so to and back out. kitchen I checking week all worries calculated. one of slow neighbors the the bother where on movements week. crossing when slide moving next that includes one against here get the my in leased are one I other. It be the units here, another, me front is the same and to was And feel don’t can know Saturday,","""title"": ""Normal People"", ""author"": ""Sally Rooney"""
"It must have piqued her interest when I rented one of the few unfurnished units. Usually if someone goes to the trouble of moving furniture in, they plan on staying longer than seven days, but I didn’t want Ryan to think my life was so transient that I didn’t even have my own couch so the furnished unit wasn’t an option. And here we are on day four and there’s nothing to show for my stay except eight boxes, strategically placed around the room.","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['ryan'],"even but goes are one around transient I the units. an longer on interest on I trouble have room. the there’s seven unfurnished stay have if days, for plan couch And Ryan think the It when unit here someone we didn’t Usually my staying show and my in, option. furnished boxes, moving my except four I to eight to of to strategically of placed they her few didn’t furniture so life must was want piqued rented day the than own wasn’t that so nothing","""title"": ""Room"", ""author"": ""Emma Donoghue"""
"“I am,” I answer, then glance at the name tag pinned to her low-cut blouse. “Shawna, your concern is unnecessary. And unwelcome.”","""title"": ""Fifty Shades of Grey"", ""author"": ""E. L. James""",['shawna'],"pinned her your And to glance blouse. name tag answer, “Shawna, unnecessary. low-cut the am,” then unwelcome.” is concern at I “I","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
"She clucks her tongue against the roof of her mouth, then turns to leave. It takes everything in me not to throw the bolt closed behind her. But I’m almost finished here, and there’s still more to be done before Ryan crosses the Louisiana state line at five thirty this afternoon.","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['ryan'],"at the Louisiana leave. She Ryan her her in this to throw line still not crosses be bolt turns mouth, closed afternoon. to behind done against five tongue here, But before the her. and It of me state more to there’s thirty then everything clucks takes I’m roof the finished almost","""title"": ""The Sound and the Fury"", ""author"": ""William Faulkner"""
"From the way Ryan tells it, one day he dropped by to check on his grandfather, only to find he had died peacefully in his sleep, and then a week later Ryan was moving in. The only possessions he brought with him were his clothes, toiletries, and a new mattress for the bedroom. Ryan probably would have made room for an ugly second-hand couch . . . if I had one.","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides""",['ryan'],"died if a to couch he check I tells Ryan the week one had with was it, he room From his in. dropped . way moving clothes, a only later the Ryan one. . and bedroom. have in peacefully mattress The and only new would made to Ryan he then brought him on sleep, for day for grandfather, find probably ugly second-hand possessions were toiletries, had his by . an his","""title"": ""The Room"", ""author"": ""Jonas Karlsson"""
"But it’s too big for Ryan. It’s two stories with a wide front porch and big backyard, white with dark green shutters, manicured flower beds, and a brick path that leads to the front door. It would take several minutes to walk through if you needed to check every room—big enough that someone could come in the carport door and you wouldn’t hear it from the main bedroom.","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['ryan'],"white several to the backyard, big main check stories Ryan. and wouldn’t the path manicured flower porch it’s It’s needed you that to would enough in It come leads brick carport for wide could minutes to hear if through room—big green front from big and bedroom. front shutters, it walk a the every someone with with you that a door beds, two take door. and too dark But","""title"": ""The Shining"", ""author"": ""Stephen King"""
They are silent spectators as I unload box after box. Ryan is pulling into the driveway just as I grab the last one. He jogs over the second he’s out of his car to relieve me of it.,"""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""",['ryan'],of the grab me unload after one. just silent pulling box. he’s second is to his jogs last the as of the Ryan driveway I into relieve spectators over They it. He are as out I box car,"""title"": ""Room"", ""author"": ""Emma Donoghue"""
"Mrs. Rogers stands up and walks to the edge of the porch, putting her as close as she can get without falling into her azalea bushes. “Y’all look busy over there!” she hollers back.","""title"": ""The Help"", ""author"": ""Kathryn Stockett""",['rogers'],"“Y’all stands get over there!” Mrs. she as she into walks her edge bushes. without her up of to look putting busy hollers the and as can falling close back. the porch, Rogers azalea","""title"": ""The Help"", ""author"": ""Kathryn Stockett"""
"Mrs. Rogers throws a told you so look at her husband as her suspicions are confirmed. “Oh. Well, I guess you young people skip over a few important steps these days.” She adds a stifled laugh to soften the jab.","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides""",['rogers'],"jab. her people Well, young days.” to She her a adds “Oh. skip are these stifled at husband important you look a told Rogers I laugh Mrs. guess soften over a confirmed. suspicions throws as so few you the steps","""title"": ""The Murder of Roger Ackroyd"", ""author"": ""Agatha Christie"""
Ryan laughs. “It’s been a while since I’ve had one of your Old Fashioneds. I’m looking forward to it.” Then he knocks his shoulder lightly against mine to get me moving toward the house.,"""title"": ""The Last Thing He Told Me"", ""author"": ""Laura Dave""",['ryan'],one Fashioneds. I’ve shoulder knocks looking get he “It’s a laughs. his been me it.” of while toward to had house. Old mine Ryan to your moving the since I’m Then against lightly forward,"""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
"Ryan is always tight lipped about what he does on Thursdays. And while he joked this morning about skipping work today, we both know he never would.","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides""",['ryan'],"he both he he never tight today, this we Ryan joked morning And skipping always know Thursdays. on does about is lipped while about what work would.","""title"": ""Catch-22"", ""author"": ""Joseph Heller"""
"Ryan follows me back to the apartment in his Tahoe. I’m glad I’m not in the car with him when he realizes where we’re going, but at least the idea that I was embarrassed about where I live rings true.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""",['ryan'],"glad least rings he the Tahoe. where at where with the Ryan I’m his going, was true. to I I’m we’re follows not the that in me live about back in apartment realizes when car idea him I but embarrassed","""title"": ""Infinite Jest"", ""author"": ""David Foster Wallace"""
"The lock gives a bit easier this time, and the second the door swings open Ryan has us inside and the door shut behind us. He paces the apartment with his hands on his hips. I hate to admit I like his growling prowl of the room, and the protective instinct vibrating through him is as foreign as it is welcome.","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['ryan'],"door this hips. it is swings The has time, I easier his his lock us. shut of the paces prowl a behind inside growling protective to hands through and gives as with is the room, apartment second Ryan as his He us instinct welcome. open admit the and him hate I the vibrating and the the like foreign bit on door","""title"": ""Normal People"", ""author"": ""Sally Rooney"""
"Ryan moves to the counter and picks up the closest perfume bottle. Holding it up, he inspects it from top to bottom, then does the same to the other three lined up next to it. “Do you collect these?”","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['ryan'],"to to next lined Holding other these?” does the “Do it picks the it. same and then counter you the three Ryan perfume bottom, to to bottle. it from up he moves collect top up, inspects up closest the","""title"": ""American Psycho"", ""author"": ""Bret Easton Ellis"""
"There is no mention that his mother collects perfume bottles as well, or the fact that I have something in common with her, and I won’t analyze how it makes me feel that he doesn’t let me know this is something we share. Ryan sets the bottle back down and begins opening drawers in the kitchen and then staring at the fridge. He plucks off one of the pictures of us and studies it. It’s a selfie we took not long after we met. It was cold outside and we’re both bundled up in front of the small fire pit in his backyard. I had brought over ingredients to make s’mores and we had bits of marshmallow and chocolate on our faces. In the picture, I am sitting in his lap and we are smiling big, cheek to cheek.","""title"": ""Reminders of Him"", ""author"": ""Colleen Hoover""",['ryan'],"in after collects his to no we bottle know brought fridge. one met. his we a how cheek. I kitchen Ryan both the cold mention up He and makes well, of not pictures of the it. begins chocolate that In ingredients lap he faces. in that is common of his our There of in fact over bits long opening and analyze sitting perfume we s’mores it me took that drawers have bundled am I and bottles mother picture, and as share. big, off selfie plucks cheek doesn’t marshmallow and her, the pit the us on at backyard. then with in we’re the let are staring to and something back fire in It had this the and the smiling down It’s studies or I small we we had me was front and is won’t outside feel sets I make something","""title"": ""Normal People"", ""author"": ""Sally Rooney"""
"I hear him gathering the containers, then opening the cabinet under the sink where the trash can hides. He dumps them on top of some take-out boxes and other items I found in one of the outdoor trash containers. Ryan pulls the can out and says, “Anything else need to go in here before I take it to the dumpster?”","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['ryan'],"can sink boxes gathering containers, the hides. to the it hear I them pulls here cabinet need one take-out of the before trash the him take says, in He of on the top else where outdoor containers. “Anything then the dumps found can dumpster?” Ryan other and the to I and some I go out under in trash items opening","""title"": ""Fight Club"", ""author"": ""Chuck Palahniuk"""
"I’m late for lunch with the girls. Sara and I texted back and forth over the course of the last few days trying to find a day that worked for everyone, and while adding me to their group message would have saved a lot of time, it will take more than one dinner party for that invitation.","""title"": ""Big Little Lies"", ""author"": ""Liane Moriarty""",['sara'],"and Sara the for last their that would everyone, find invitation. than I message for course adding to to group texted the lot me girls. time, have the over late of a worked forth take party it lunch few a dinner more back day trying that one of and with for days saved will I’m and while","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins"""
"While I might be willing to be interrogated by the women Ryan considers friends, I’m not opening myself up to anyone else. Not yet. Not until I’m sure I know more about them than they will ever know about me.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""",['ryan'],"until ever than the else. by me. know women Ryan yet. considers know While be about to willing up might friends, them I to will they anyone more opening be Not sure I’m myself I’m interrogated Not I not about","""title"": ""Normal People"", ""author"": ""Sally Rooney"""
"Sara stands when she sees me, motioning for me to join them. All four women use the time it takes me to walk across the room to survey my appearance. Their eyes glance between the deep slit up the side of my bright-blue maxi skirt, to the paper-thin white tee that does little to hide my baby-blue bra, to the stacks and stacks of bracelets that jingle when I walk. It took me a while to decide what look I wanted to give them—someone who wants to fit in or someone willing to stand out.","""title"": ""Big Little Lies"", ""author"": ""Liane Moriarty""",['sara'],"me time I to stacks the to wants glance to does to the appearance. to survey It decide takes who me side maxi a me white someone little stacks of paper-thin bright-blue hide between use to stand four of for All give wanted she my slit Their walk. room the in to and bracelets I or to bra, that them. across what Sara out. walk when skirt, motioning deep look my the my them—someone jingle tee the eyes stands took sees it willing to while women join me, fit when up that the to baby-blue","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood"""
"It’s a little awkward that the reason we’ve never met was because she wasn’t invited to Ryan’s for dinner, but that was his call. He tossed her name around but ultimately decided to exclude her because, as he put it, sometimes she can get on his “ever last fucking nerve.” Plus, she’s single and that threw off the numbers at the table.","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins""",['ryan'],"around Ryan’s tossed never her fucking the numbers as her that reason awkward exclude table. put because, Plus, was at but that to on invited she’s sometimes was his and can she name ultimately the to “ever his threw that single wasn’t He it, little but because call. nerve.” she met a last get decided dinner, we’ve It’s the he for off","""title"": ""Beautiful World, Where Are You"", ""author"": ""Sally Rooney"""
"Just as I’m stashing my purse on the floor by my chair, I feel the vibration of an incoming text. A quick glance tells me it’s from Ryan:","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins""",['ryan'],"quick purse stashing it’s me on incoming vibration my Just my as I’m floor Ryan: chair, tells I glance the an A of the text. feel from by","""title"": ""Normal People"", ""author"": ""Sally Rooney"""
"I’ve been staring at that invitation on Ryan’s fridge for two weeks. Even though we’re nowhere near Kentucky, we’ve been invited to a Derby watch party promising mint juleps and Hot Browns at a horse farm right outside of town. The invitation stated that hats, the bigger the better, were encouraged.","""title"": ""People We Meet on Vacation"", ""author"": ""Emily Henry""",['hot browns'],"promising the two been watch we’re Browns the I’ve outside hats, fridge at near and that better, right staring The for a mint invitation at Ryan’s though farm nowhere a were invited weeks. town. invitation Kentucky, on we’ve that bigger of encouraged. party juleps been stated Derby Hot horse to Even","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
"“I’m from Brookwood, which is really just a suburb of Tuscaloosa. I went to Bama for a couple of years but didn’t graduate. My parents and I were in a bad accident a few years ago. I was the only survivor. When I was released from the hospital, I realized I needed a change, so I’ve been moving around ever since then.”","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['bama'],"for a parents a years ago. I been was years couple is just survivor. released since was moving a I’ve only I accident hospital, My “I’m really so I realized around When I I were then.” but I from a and Tuscaloosa. ever in the of to from change, suburb went graduate. a Bama which didn’t needed the bad Brookwood, few of","""title"": ""The Girl on the Train"", ""author"": ""Paula Hawkins"""
"Ryan leans against the open door of the small workroom in the basement of the gallery. Lunch ended less than two hours ago, so I’m impressed with how fast word got to him.","""title"": ""Verity"", ""author"": ""Colleen Hoover""",['ryan'],"got less I’m two Lunch to in door Ryan how of than the impressed him. leans workroom hours ended the gallery. so of against basement the with ago, word small open fast the","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
"“But you shouldn’t have to handle that.” His hand reaches for mine, then he’s pulling me into his lap. I glance at the open door, hoping no one catches us like this. I’ve only had this job a couple of weeks, and everyone knows I only got it as a favor to Ryan and nothing more.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""",['ryan'],"I open at nothing hand have knows more. this. of mine, one you to catches into job me lap. reaches pulling I’ve like a Ryan shouldn’t “But only it handle hoping his favor he’s got and as had glance then this door, no and only couple the I His weeks, to everyone us for a that.”","""title"": ""Fifty Shades of Grey"", ""author"": ""E.L. James"""
"Ryan wraps an arm around me, anchoring me to him. His finger traces the top edge of my thin tee. “This is killing me right now, just so you know.”","""title"": ""The Deal"", ""author"": ""Elle Kennedy""",['ryan'],"you right traces him. His of is killing around “This wraps arm top tee. me, thin edge the now, to me anchoring Ryan so my finger an just know.” me","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides"""
"“Sara. She’s worried you hate them now.” He lets out a quiet laugh, then his expression changes. Gets serious. “Want to talk about it?” he asks.","""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""",['sara'],"now.” He She’s quiet out worried it?” he a changes. serious. lets then talk them “Want asks. hate about to Gets expression you “Sara. laugh, his","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides"""
"The muffled sound of his phone vibrating has him checking his watch to see who’s calling. Ryan groans as he stands up from his chair and digs his device out of his back pocket. “Give me a second,” he says as he steps into the hall to answer the call.","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides""",['ryan'],"checking calling. device as him answer second,” stands groans me hall back to phone pocket. his from up says sound steps a chair his the watch the “Give he who’s call. of vibrating as The into has his out he Ryan of see muffled his digs he to his and","""title"": ""Normal People"", ""author"": ""Sally Rooney"""
