Title,Release Date
Sense and sensibility,1811-01-01
Adventures of Sherlock Holmes,1892-10-14
Adventures of Huckleberry Finn,1884-12-10
The Great Gatsby,1925-04-10
Frankenstein,1818-01-01
Paper Towns,2008-10-16
Dune,1965-08-01
The Picture of Dorian Gray,1890-06-20
The_Handmaids Tale,1985-09-01
Alice s Adventures in Wonderland,1865-11-26
Pride and Prejudice,1813-01-28
1984,1949-06-08
The Boy in the Striped Pyjamas,2006-01-05
The Lightning Thief,2005-06-28
Dracula,1897-05-26
Of Mice and Men,1937-01-01
A Tale of Two Cities,1859-04-30
A thousand splendid suns,2007-05-22
Harry_Potter and the Deathly Hallows,2007-07-21
Fahrenheit 451,1953-10-19
You Like It Darker Stories,2024-05-21
The Paradise Problem,2024-05-14
The Ministry of Time,2024-05-07
Lies and Weddings,2024-05-21
Just for the Summer,2024-04-02
If Only I Had Told Her,2024-02-06
Funny Story,2024-04-23
Bride,2024-02-06
Below Zero,2022-04-05
